date,description,confederate,union,theater,cwsac_id
1864-08-28,"Jonesboro, GA - August 31-September 1",2000.0,1149.0,Western,GA022
1864-08-28,"Berryville, VA - September 3-4",195.0,312.0,Eastern,VA118
1864-09-18,"Opequon (3rd Winchester), VA - Sept. 19",3610.0,5020.0,Eastern,VA119
1864-09-18,"Fisher's Hill, VA - September 21 -22",1235.0,528.0,Eastern,VA120
1864-09-25,"Pilot Knob, MO - September 26-28",900.0,213.0,Trans-Mississippi,MO021
1864-09-25,"Chaffin's Farm, VA - September 29-30",1700.0,3300.0,Eastern,VA075
1864-09-25,"New Market Heights, VA - Sept. 29-30",50.0,850.0,Eastern,VA075
1864-10-02,"Peebles' Farm, VA - October 2",1300.0,2869.0,Eastern,VA074
1864-10-02,"Saltville I, VA - October 2",108.0,350.0,Western,VA076
1864-10-02,"Allatoona, GA - October 5",897.0,706.0,Western,GA023
1864-10-02,"Darbytown & New Market, VA - Oct 7",700.0,458.0,Eastern,VA077
1864-10-09,"Tom's Brook, VA - October 9",350.0,57.0,Eastern,VA121
1864-10-09,"Darbytown Road, VA - October 13",50.0,437.0,Eastern,VA078
1864-10-09,"Dalton III, GA - October 13",0.0,751.0,Western,
1864-10-09,"Glasgow, MO October 15",50.0,400.0,Trans-Mississippi,MO022
1864-10-16,"Cedar Creek, VA October 19",2910.0,5672.0,Eastern,VA122
1864-10-23,"Independence II, MO - October 22",140.0,,Trans-Mississippi,MO025
1864-10-23,"Westport, MO October 23",1500.0,1500.0,Trans-Mississippi,MO027
1864-10-23,"Mine Creek, KS - October 25",800.0,150.0,Trans-Mississippi,KS003
1864-10-23,"Boydton Plank Road, VA - October 27",1300.0,1758.0,Eastern,VA079
1864-10-23,"Decatur, AL - October 26-29",200.0,155.0,Western,AL004
1864-10-23,"Fair Oaks & D'Town Rd, VA - Oct. 27-28",100.0,1603.0,Eastern,VA080
1864-10-23,"Newtonia II, MO - October 28",24.0,26.0,Trans-Mississippi,MO029
1864-11-06,"Bull's Gap, TN - November 11-14",100.0,324.0,Western,TN033
1864-11-20,"Griswoldville, GA - November 22",650.0,62.0,Western,GA025
1864-11-27,"Buck Head Creek, GA - November 28",600.0,46.0,Western,GA026
1864-11-27,"Spring Hill, TN - November 29",500.0,350.0,Western,TN035
1864-11-27,"Sand Creek, CO - November 29",150.0,48.0,Trans-Mississippi,CO001
1864-11-27,"Franklin II, TN - November 30",7300.0,2633.0,Western,TN036
1864-11-27,"Honey Hill, SC - November 30",50.0,746.0,Western,SC010
1864-12-04,"Waynesborough, GA December 4",250.0,190.0,Western,GA027
1864-12-04,"Murfreesboro II, TN December 5 7",214.0,208.0,Western,TN037
1864-12-11,"Fort McAllister II, GA - December 13",230.0,134.0,Western,GA028
1864-12-11,"Nashville, TN - December 15-16",6500.0,3061.0,Western,TN038
1864-12-11,"Marion, VA - December 16-18",150.0,150.0,Western,VA081
1864-12-18,"Fort Fisher I, NC - December 7-27",160.0,160.0,Eastern,NC014
1865-01-08,"Fort Fisher II, NC - January 13-15",2533.0,1059.0,Eastern,NC015
1865-01-29,"Rivers Bridge, SC - February 2-3",170.0,92.0,Western,SC011
1865-02-05,"Hatcher's Run, VA - February 5-7",1000.0,1539.0,Eastern,VA083
1865-02-19,"Wilmington, NC - February 12-22",575.0,575.0,Eastern,NC016
1865-02-26,"Waynesboro, VA - March 2",1600.0,30.0,Eastern,VA123
1865-03-05,"Natural Bridge, FL March 6",25.0,148.0,Lower Seaboard,FL006
1865-03-05,"Wyse Fork, NC - March 7-10",1500.0,1300.0,Western,NC017
1865-03-05,"Monroe's Cross Roads, NC - March 10",86.0,183.0,Western,NC018
1865-03-12,"Averasboro, NC - March 16",865.0,682.0,Western,NC019
1865-03-19,"Bentonville, NC - March 19-21",2606.0,1527.0,Western,NC020
1865-03-19,"Fort Stedman, VA March 25",2681.0,1017.0,Eastern,VA084
1865-03-26,"Lewis's Farm, VA - March 29",371.0,381.0,Eastern,VA085
1865-03-26,"Dinwiddie Court House, VA - March 31",760.0,354.0,Eastern,VA086
1865-03-26,"White Oak Road, VA - March 31",1235.0,1781.0,Eastern,VA087
1865-03-26,"Five Forks, VA - April 1",3000.0,830.0,Eastern,VA088
1865-04-02,"Petersburg III, VA April 2",4852.0,3894.0,Eastern,VA089
1865-04-02,"Spanish Fort, AL - March 27-April 8",741.0,657.0,Western,AL005
1865-04-02,"Selma, AL - April 2",2700.0,359.0,Western,AL007
1865-04-02,"Sutherland Station, VA - April 2",600.0,366.0,Eastern,VA090
1865-04-02,"Namozine Church, VA - April 3",,81.0,Eastern,VA124
1865-04-02,"Amelia Springs, VA - April 5",,158.0,Eastern,VA091
