battle_id,battle_name,url,start_date,end_date,alternate_names,location,state,campaign,result,total_casualties,total_strength,cwsac_id,dbpedia_url
fisher-s-hill,Fisher's Hill,http://www.civilwar.org/battlefields/fisher-s-hill.html,1864-09-21,1864-09-22,,Shenandoah County,VA,Sheridan's Shenandoah Valley Campaign,Union Victory,,,VA120,http://dbpedia.org/resource/Battle_of_Fisher's_Hill
gaines-mill,Gaines' Mill,http://www.civilwar.org/battlefields/gaines-mill.html,1862-06-27,1862-06-27,,Hanover County,VA,Seven Days Battles,Confederate Victory,15500,91232,VA017,http://dbpedia.org/resource/Battle_of_Gaines's_Mill
shiloh,Shiloh,http://www.civilwar.org/battlefields/shiloh.html,1862-04-06,1862-04-07,Pittsburg Landing,Hardin County,TN,Federal Penetration up the Cumberland and Tennessee Rivers,Union Victory,23746,110053,TN003,http://dbpedia.org/resource/Battle_of_Shiloh
toms-brook,Tom's Brook,http://www.civilwar.org/battlefields/toms-brook.html,1864-10-09,1864-10-09,Woodstock Races,Shenandoah County,VA,Sheridan's Shenandoah Valley Campaign,Union Victory,407,9800,VA121,http://dbpedia.org/resource/Battle_of_Tom's_Brook
kelly-s-ford,Kelly's Ford,http://www.civilwar.org/battlefields/kelly-s-ford.html,1863-03-17,1863-03-17,,Culpeper County,VA,,Inconclusive,211,2900,VA029,http://dbpedia.org/resource/Battle_of_Kelly's_Ford
pea-ridge,Pea Ridge,http://www.civilwar.org/battlefields/pea-ridge.html,1862-03-06,1862-03-08,,Benton County,AR,,Union Victory,,,AR001,http://dbpedia.org/resource/Battle_of_Pea_Ridge
glendale,Glendale,http://www.civilwar.org/battlefields/glendale.html,1862-06-30,1862-06-30,Frazier's Farm,Henrico County,VA,Seven Days Battles,Inconclusive,7470,85000,VA020,http://dbpedia.org/resource/Battle_of_Glendale
five-forks,Five Forks,http://www.civilwar.org/battlefields/five-forks.html,1865-04-01,1865-04-01,,Dinwiddie County,VA,Appomattox Campaign,Union Victory,,,VA088,http://dbpedia.org/resource/Battle_of_Five_Forks
ballsbluff,Ball's Bluff,http://www.civilwar.org/battlefields/ballsbluff.html,1861-10-21,1861-10-21,"Harrison's Island, Leesburg",Loudoun County,VA,,Confederate Victory,1070,3429,VA006,http://dbpedia.org/resource/Battle_of_Ball's_Bluff
olustee,Olustee,http://www.civilwar.org/battlefields/olustee.html,1864-02-20,1864-02-20,,Baker County,FL,,Confederate Victory,,,FL005,http://dbpedia.org/resource/Battle_of_Olustee
