PersonID,Keyword
fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,European American
fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,Union
fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,Commanders
fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,Soldiers
fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,Commanders - Army
fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,Military
fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,Brigadier General
fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,US - Commander - TN029
fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,Male
fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,Colonel
dfceb806-44f4-4ef8-9582-0d41703725d8,European American
dfceb806-44f4-4ef8-9582-0d41703725d8,Male
b2dc590c-f108-4e13-a3e3-0d47a00668c3,European American
b2dc590c-f108-4e13-a3e3-0d47a00668c3,Commanders
b2dc590c-f108-4e13-a3e3-0d47a00668c3,Commanders - Army
b2dc590c-f108-4e13-a3e3-0d47a00668c3,Soldier
b2dc590c-f108-4e13-a3e3-0d47a00668c3,Military
b2dc590c-f108-4e13-a3e3-0d47a00668c3,Brigadier General
b2dc590c-f108-4e13-a3e3-0d47a00668c3,KY008
b2dc590c-f108-4e13-a3e3-0d47a00668c3,Male
b2dc590c-f108-4e13-a3e3-0d47a00668c3,CS - Commander - TN002
b2dc590c-f108-4e13-a3e3-0d47a00668c3,Confederate
7106d7d9-284b-454a-b0a7-0d60797c777b,European American
7106d7d9-284b-454a-b0a7-0d60797c777b,KS - Free State
7106d7d9-284b-454a-b0a7-0d60797c777b,Politician
7106d7d9-284b-454a-b0a7-0d60797c777b,KS
7106d7d9-284b-454a-b0a7-0d60797c777b,Civilian
7106d7d9-284b-454a-b0a7-0d60797c777b,Male
2bdcf35e-f609-43e7-bf34-0d6af4df295f,European American
2bdcf35e-f609-43e7-bf34-0d6af4df295f,Union
2bdcf35e-f609-43e7-bf34-0d6af4df295f,Commanders
