cwsac_id,belligerent,casualties_kwm_mean,casualties_k_mean,casualties_w_mean,casualties_m_mean,casualties_kwm_var,casualties_k_var,casualties_w_var,casualties_m_var,casualties_kw_mean,casualties_kw_var,strength_mean,strength_var,casualties_km_mean,casualties_wm_mean,casualties_km_var,casualties_wm_var
LA006,US,224,,,,0.08333333333333333,,,,,,,,,,,
LA007,Confederate,,,,,,,,,,,,,,,,
LA007,US,355,,,,0.08333333333333333,,,,,,,,,,,
LA008,Confederate,,,,,,,,,,,,,,,,
LA008,US,,,,,,,,,,,,,,,,
LA009,Confederate,100,,,,833.3333333333334,,,,,,,,,,,
LA009,US,150,,,,8.333333333333334,,,,,,,,,,,
LA010,Confederate,7500,,,,833.3333333333334,,,,,,,,,,,
LA010,US,1e4,,,,8333333.333333333,,,,,,,,,,,
LA011,Confederate,185,,,,0.08333333333333333,,,,,,,,,,,
LA011,US,652,,,,0.08333333333333333,,,,,,,,,,,
LA012,Confederate,219,,,,0.08333333333333333,,,,,,,,,,,
LA012,US,49,,,,0.08333333333333333,,,,,,838,0.08333333333333333,,,,
LA013,Confederate,301,,,,0.08333333333333333,,,,,,,,,,,
LA013,US,23,,,,0.08333333333333333,,,,,,,,,,,
LA014,Confederate,6,,,,0.08333333333333333,,,,,,,,,,,
LA014,US,150,,,,8.333333333333334,,,,,,,,,,,
LA015,Confederate,33,,,,0.08333333333333333,,,,,,,,,,,
LA015,US,465,,,,0.08333333333333333,,,,,,,,,,,
LA016,Confederate,121,,,,0.08333333333333333,,,,,,,,,,,
LA016,US,515,,,,0.08333333333333333,,,,,,,,,,,
LA017,Confederate,269,,,,0.08333333333333333,,,,,,350,8.333333333333334,,,,
LA017,US,48,,,,0.08333333333333333,,,,,,,,,,,
LA018,Confederate,1e3,,,,83333.33333333333,,,,,,,,,,,
LA018,US,2235,,,,0.08333333333333333,,,,,,,,,,,
LA019,Confederate,1626,,,,0.08333333333333333,,,,,,,,,,,
LA019,US,1369,,,,0.08333333333333333,,,,,,,,,,,
LA020,Confederate,57,,,,0.08333333333333333,,,,,,,,,,,
LA020,US,60,,,,8.333333333333334,,,,,,,,,,,
LA021,Confederate,400,,,,833.3333333333334,,,,,,,,,,,
LA021,US,200,,,,833.3333333333334,,,,,,,,,,,
LA022,Confederate,,,,,,,,,,,,,,,,
LA022,US,,,,,,,,,,,,,,,,
LA023,Confederate,500,,,,833.3333333333334,,,,,,,,,,,
LA023,US,360,,,,8.333333333333334,,,,,,,,,,,
MD001,Confederate,,,,,,,,,,,,,,,,
MD001,US,,,,,,,,,,,,,,,,
MD002,Confederate,2300,,,,833.3333333333334,,,,,,,,,,,
MD002,US,2325,,,,0.08333333333333333,,,,,,,,,,,
MD003,Confederate,10300,,,,833.3333333333334,,,,,,4e4,8333333.333333333,,,,
MD003,US,12400,,,,833.3333333333334,,,,,,6e4,8333333.333333333,,,,
MD004,Confederate,254,,,,0.08333333333333333,,,,,,,,,,,
MD004,US,400,,,,833.3333333333334,,,,,,,,,,,
MD006,Confederate,920,,,,8.333333333333334,,,,,,,,,,,
MD006,US,158,,,,0.08333333333333333,,,,,,,,,,,
MD007,Confederate,800,,,,833.3333333333334,,,,,,,,,,,
MD007,US,1294,,,,0.08333333333333333,,,,,,,,,,,
MD008,Confederate,30,,,,8.333333333333334,,,,,,,,,,,
MD008,US,30,,,,8.333333333333334,,,,,,,,,,,
MN001,Native American,,,,,,,,,,,,,,,,
MN001,US,26,,,,0.08333333333333333,,,,,,,,,,,
MN002,Native American,25,,,,0.08333333333333333,,,,,,,,,,,
MN002,US,41,,,,0.08333333333333333,,,,,,1500,833.3333333333334,,,,
MO001,Confederate,50,,,,8.333333333333334,,,,,,,,,,,
MO001,US,31,,,,0.08333333333333333,,,,,,1700,833.3333333333334,,,,
MO002,Confederate,74,,,,0.08333333333333333,,,,,,,,,,,
MO002,US,44,,,,0.08333333333333333,,,,,,,,,,,
MO003,Confederate,70,,,,8.333333333333334,,,,,,,,,,,
