"cwsac_id","dbpedia_uri","wikipedia_title","relation"
"NC001","http://dbpedia.org/resource/Battle_of_Hatteras_Inlet_Batteries","Battle_of_Hatteras_Inlet_Batteries","="
"NC002","http://dbpedia.org/resource/Battle_of_Roanoke_Island","Battle_of_Roanoke_Island","="
"NC003","http://dbpedia.org/resource/Battle_of_New_Bern","Battle_of_New_Bern","="
"NC004","http://dbpedia.org/resource/Battle_of_Fort_Macon","Battle_of_Fort_Macon","="
"NC005","http://dbpedia.org/resource/Battle_of_South_Mills","Battle_of_South_Mills","="
"NC006","http://dbpedia.org/resource/Battle_of_Tranter's_Creek","Battle_of_Tranter's_Creek","="
"NC007","http://dbpedia.org/resource/Battle_of_Kinston","Battle_of_Kinston","="
"NC008","http://dbpedia.org/resource/Battle_of_White_Hall","Battle_of_White_Hall","="
"NC009","http://dbpedia.org/resource/Battle_of_Goldsboro_Bridge","Battle_of_Goldsboro_Bridge","="
"NC010","http://dbpedia.org/resource/Battle_of_Fort_Anderson","Battle_of_Fort_Anderson","="
"NC011","http://dbpedia.org/resource/Battle_of_Washington","Battle_of_Washington","="
"NC012","http://dbpedia.org/resource/Battle_of_Plymouth_(1864)","Battle_of_Plymouth_(1864)","="
"NC013","http://dbpedia.org/resource/Battle_of_Albemarle_Sound","Battle_of_Albemarle_Sound","="
"NC014","http://dbpedia.org/resource/First_Battle_of_Fort_Fisher","First_Battle_of_Fort_Fisher","="
"NC015","http://dbpedia.org/resource/Second_Battle_of_Fort_Fisher","Second_Battle_of_Fort_Fisher","="
"NC016","http://dbpedia.org/resource/Battle_of_Wilmington","Battle_of_Wilmington","="
"NC017","http://dbpedia.org/resource/Battle_of_Wyse_Fork","Battle_of_Wyse_Fork","="
"NC018","http://dbpedia.org/resource/Battle_of_Monroe's_Crossroads","Battle_of_Monroe's_Crossroads","="
"NC019","http://dbpedia.org/resource/Battle_of_Averasborough","Battle_of_Averasborough","="
"NC020","http://dbpedia.org/resource/Battle_of_Bentonville","Battle_of_Bentonville","="
"ND001","http://dbpedia.org/resource/Battle_of_Big_Mound","Battle_of_Big_Mound","="
"ND002","http://dbpedia.org/resource/Battle_of_Dead_Buffalo_Lake","Battle_of_Dead_Buffalo_Lake","="
"ND003","http://dbpedia.org/resource/Battle_of_Stony_Lake","Battle_of_Stony_Lake","="
"ND004","http://dbpedia.org/resource/Battle_of_Whitestone_Hill","Battle_of_Whitestone_Hill","="
"ND005","http://dbpedia.org/resource/Battle_of_Killdeer_Mountain","Battle_of_Killdeer_Mountain","="
"NM001","http://dbpedia.org/resource/Battle_of_Valverde","Battle_of_Valverde","="
"NM002","http://dbpedia.org/resource/Battle_of_Glorieta_Pass","Battle_of_Glorieta_Pass","="
"OH001","http://dbpedia.org/resource/Battle_of_Buffington_Island","Battle_of_Buffington_Island","="
"OH002","http://dbpedia.org/resource/Battle_of_Salineville","Battle_of_Salineville","="
"OK001","http://dbpedia.org/resource/Battle_of_Round_Mountain","Battle_of_Round_Mountain","="
"OK002","http://dbpedia.org/resource/Battle_of_Chusto-Talasah","Battle_of_Chusto-Talasah","="
"OK003","http://dbpedia.org/resource/Battle_of_Chustenahlah","Battle_of_Chustenahlah","="
"OK004","http://dbpedia.org/resource/Battle_of_Old_Fort_Wayne","Battle_of_Old_Fort_Wayne","="
"OK005","http://dbpedia.org/resource/Battle_of_Middle_Boggy_Depot","Battle_of_Middle_Boggy_Depot","="
"OK006","http://dbpedia.org/resource/Battle_of_Cabin_Creek","Battle_of_Cabin_Creek","="
"OK007","http://dbpedia.org/resource/Battle_of_Honey_Springs","Battle_of_Honey_Springs","="
"PA001","http://dbpedia.org/resource/Battle_of_Hanover","Battle_of_Hanover","="
"PA002","http://dbpedia.org/resource/Battle_of_Gettysburg","Battle_of_Gettysburg","="
"SC001","http://dbpedia.org/resource/Battle_of_Fort_Sumter","Battle_of_Fort_Sumter","="
"SC002","http://dbpedia.org/resource/Battle_of_James_Island","Battle_of_James_Island","="
"SC003","http://dbpedia.org/resource/Battle_of_Simmon's_Bluff","Battle_of_Simmon's_Bluff","="
"SC004","http://dbpedia.org/resource/First_Battle_of_Charleston_Harbor","First_Battle_of_Charleston_Harbor","="
"SC005","http://dbpedia.org/resource/First_Battle_of_Fort_Wagner","First_Battle_of_Fort_Wagner","="
"SC006","http://dbpedia.org/resource/Battle_of_Grimball's_Landing","Battle_of_Grimball's_Landing","="
"SC007","http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner","Second_Battle_of_Fort_Wagner","="
"SC008","http://dbpedia.org/resource/Second_Battle_of_Charleston_Harbor","Second_Battle_of_Charleston_Harbor","="
"SC009","http://dbpedia.org/resource/Second_Battle_of_Fort_Sumter","Second_Battle_of_Fort_Sumter","="
