battle_id,belligerent,commander_number,PersonID,last_name,first_name,middle_name,middle_initial,rank,navy
Knoxville (attack on Fort Sanders),US,1,c5f9dd77-1122-48f0-8840-614720ba50d8,Burnside,Ambrose,Everett,E.,Major General,False
Pocataligo,Confederate,1,,Walker,William,,S. ,Colonel,False
Pocataligo,US,1,0bbf8c45-2f41-4b08-98ce-222e943adac8,Brannan,John,,M.,Brigadier General,False
Batteries Wagner and Gregg,Confederate,1,183d0a7d-f06a-4c7b-a575-7616e491618b,Beauregard,Pierre,Gustave Toutant,G. T.,General,False
Batteries Wagner and Gregg,US,1,29c87347-958e-438f-b06a-5b3e586564cd,Gillmore,Quincy,Adams,A.,Brigadier General,False
Battery Wagner,Confederate,1,183d0a7d-f06a-4c7b-a575-7616e491618b,Beauregard,Pierre,Gustave Toutant,G. T.,General,False
Battery Wagner,US,1,29c87347-958e-438f-b06a-5b3e586564cd,Gillmore,Quincy,Adams,A.,Major General,False
Olustee,Confederate,1,488f8bc8-8cb9-4ad0-ab8f-82fd06799387,Finegan,Joseph,,,Brigadier General,False
Olustee,US,1,ae4b233a-c76c-41c5-a0bd-ad6340f39cb9,Seymour,Truman,,,Brigadier General,False
Wilderness,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Wilderness,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,False
Wilderness,US,2,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
Spotsylvania Court House,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Spotsylvania Court House,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,False
Spotsylvania Court House,US,2,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
Yellow Tavern,Confederate,1,6df9b482-4757-474f-80a9-bd1d82228a63,Stuart,James,Ewell Brown,E. B.,Major General,False
Yellow Tavern,US,1,407e5664-e1ff-49aa-984d-79f7508a5e7f,Sheridan,Philip,Henry,H.,Major General,False
North Anna River,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
North Anna River,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,False
North Anna River,US,2,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
