battle,belligerent,fullname,rank,navy,last_name,first_name,middle_name,suffix
GA012,US,Oliver O. Howard,Major General,False,Howard,Oliver,O.,
GA013,Confederate,Joseph E. Johnston,General,False,Johnston,Joseph,E.,
GA013,US,William T. Sherman,Major General,False,Sherman,William,T.,
GA014,Confederate,John Bell Hood,Lieutenant General,False,Hood,John,Bell,
GA014,US,Joseph Hooker,Major General,False,Hooker,Joseph,,
GA014,US,John M. Schofield,Major General,False,Schofield,John,M.,
GA015,Confederate,Joseph E. Johnston,General,False,Johnston,Joseph,E.,
GA015,US,William T. Sherman,Major General,False,Sherman,William,T.,
GA016,Confederate,John Bell Hood,General,False,Hood,John,Bell,
GA016,US,George H. Thomas,Major General,False,Thomas,George,H.,
GA017,Confederate,John B. Hood,General,False,Hood,John,B.,
GA017,US,William T. Sherman,Major General,False,Sherman,William,T.,
GA017,US,James B. McPherson,Major General,False,McPherson,James,B.,
GA017,US,John A. Logan,Major General,False,Logan,John,A.,
GA018,Confederate,Stephen D. Lee,Lieutenant General,False,Lee,Stephen,D.,
GA018,Confederate,Alexander P. Stewart,Lieutenant General,False,Stewart,Alexander,P.,
GA018,US,Oliver O. Howard,Major General,False,Howard,Oliver,O.,
GA019,Confederate,Stephen D. Lee,Lieutenant General,False,Lee,Stephen,D.,
GA019,Confederate,William B. Bate,Major General,False,Bate,William,B.,
GA019,US,John M. Schofield,Major General,False,Schofield,John,M.,
GA020,Confederate,Joseph Wheeler,Major General,False,Wheeler,Joseph,,
GA020,US,James B. Steedman,Major General,False,Steedman,James,B.,
GA020,US,Bernard Laiboldt,Colonel,False,Laiboldt,Bernard,,
GA021,Confederate,William H. Jackson,Brigadier General,False,Jackson,William,H.,
GA021,Confederate,Daniel Reynolds,Brigadier General,False,Reynolds,Daniel,,
GA021,US,H. Judson Kilpatrick,Brigadier General,False,Kilpatrick,H.,Judson,
GA022,Confederate,William J. Hardee,Lieutenant General,False,Hardee,William,J.,
GA022,US,William T. Sherman,Major General,False,Sherman,William,T.,
GA023,Confederate,Samuel G. French,Major General,False,French,Samuel,G.,
GA023,US,John M. Corse,Brigadier General,False,Corse,John,M.,
GA025,Confederate,Joseph Wheeler,Major General,False,Wheeler,Joseph,,
GA025,Confederate,Pleasant J. Philips,Brigadier General,False,Philips,Pleasant,J.,
GA025,US,Charles C. Walcutt,Brigadier General,False,Walcutt,Charles,C.,
GA026,Confederate,Joseph Wheeler,Major General,False,Wheeler,Joseph,,
GA026,US,H. Judson Kilpatrick,Brigadier General,False,Kilpatrick,H.,Judson,
GA027,Confederate,Joseph Wheeler,Major General,False,Wheeler,Joseph,,
GA027,US,H. Judson Kilpatrick,Brigadier General,False,Kilpatrick,H.,Judson,
