battleNum,battleDetail,beginDate,endDate,unknownDay,lat,lng,shrtNm,desc,type,killed,usCasTot,csCasTot
729,GA017,1864-07-22,1864-07-22,False,0.10774271796027,-0.269374535623964,Atlanta,Battle of Atlanta,Battle,12140,3641,8499
730,NM001,1862-02-21,1862-02-21,False,0.00622658816414941,-0.0197441954840064,,"Engagement at Valverde, N. Mex.",Battle,389,202,187
731,,1864-07-21,1864-07-21,False,0.176463823063364,-0.441037284466812,,"Engagement at Bald  Hill, GA",Battle,0,0,0
732,,1864-11-09,1864-11-09,False,0.105531259914189,-0.263846253014967,,"Skirmish near Atlanta, Ga.",Skirmish,0,0,0
733,GA018,1864-07-28,1864-07-28,False,0.0875369076905348,-0.219004822594184,Ezra Church,Battle of Ezra Church,Battle,3562,562,3000
734,,1863-08-18,1863-08-18,False,0.151685498091804,-0.40351448972888,,"Skirmish at Payne's Plantation, near Grenada, Miss.",Skirmish,0,0,0
735,,1865-02-15,1865-02-15,False,0.186221925637303,-0.444719048298533,,"Skirmish at Bates' Ferry, Congaree River, S.C.",Skirmish,0,0,0
736,,1863-08-30,1863-08-30,False,0.269015969710302,-0.746184084190104,,"Skirmish at Washington, Ark.",Skirmish,0,0,0
737,,1864-05-28,1864-05-28,False,0.244449122203936,-0.678041696109141,,"Skirmish at Washington, Ark.",Skirmish,0,0,0
738,,1865-03-11,1865-03-11,False,0.26485270498827,-0.73463621260019,,"Skirmish at Washington, Ark.",Skirmish,0,0,0
739,,1864-04-05,1864-04-05,False,0.22537907097981,-0.61550516490625,,"Skirmish at Marks' Mills, AR",Skirmish,0,0,0
740,AR015,1864-04-25,1864-04-25,False,0.0639493671833716,-0.174644280956228,,"Action at Marks' Mills, AR",Battle,743,450,293
741,,1863-08-17,1863-08-17,False,0.0167954499002518,-0.0446440576603135,,"Skirmish at Grenada, Miss. ",Skirmish,0,0,0
742,,1864-07-16,1864-07-22,False,0.249244829198646,-0.623250355920301,,"Skirmish at Turner's Ferry, GA",Skirmish,0,0,0
743,,1864-10-19,1864-10-19,False,0.320702927040103,-0.801935246019189,,"Skirmish near Turner's Ferry, Ga.",Skirmish,0,0,0
744,,1864-02-21,1864-02-21,False,0.094660413742712,-0.248348002586863,,"Skirmish at Prairie Station, MS",Skirmish,0,0,0
745,,1864-04-13,1864-04-13,False,0.0113013884547857,-0.0311967495173358,,"Action at Moscow, AR",Skirmish,0,0,0
