slug,state,start_date,end_date,nature_location,troops_engaged,event_type,casualties,killed_wounded,killed,wounded,missing_captured
South_Carolina/1865-02-15-skirmish-red-bank-creek,South Carolina,1865-02-15,1865-02-15,"Skirmish, Red Bank Creek",PENNSYLVANIA--28th and 147th Infantry.,Skirmish,,,,,
South_Carolina/1865-02-15-skirmish-two-league-cross-roads-near-lexington,South Carolina,1865-02-15,1865-02-15,"Skirmish, Two League Cross Roads, near Lexington",NEW YORK--137th Infantry. OHIO--113th Infantry. PENNSYLVANIA--79th Infantry.,Skirmish,,,,,
South_Carolina/1865-02-16-1865-02-17-skirmishes-about-columbia,South Carolina,1865-02-16,1865-02-17,Skirmishes about Columbia,"ILLINOIS--Battery ""H"", 1st Light Artillery; 26th, 40th and 103rd Infantry. INDIANA--12th, 97th and 100th Infantry. IOWA--4th, 6th, 9th, 25th, 26th, 30th and 31st Infantry. MICHIGAN--Battery ""B"", 1st Light Artillery MISSOURI--27th, 31st and 32nd Infantry. OHIO--46th and 76th Infantry. WISCONSIN--12th Battery Light Artillery Union loss, 20 killed and wounded.",Skirmishes,,20,,,
South_Carolina/1865-02-18-occupation-of-charleston,South Carolina,1865-02-18,1865-02-18,Occupation of Charleston,PENNSYLVANIA--52nd Infantry. RHODE ISLAND--3rd Heavy Artillery (Detachment).,Occupation,,,,,
South_Carolina/1865-02-22-skirmish-near-camden,South Carolina,1865-02-22,1865-02-22,Skirmish near Camden,(No Reports.),Skirmish,,,,,
South_Carolina/1865-02-22-skirmish-wateree-river,South Carolina,1865-02-22,1865-02-22,"Skirmish, Wateree River","ILLINOIS--Battery ""H"", 1st Light Artillery",Skirmish,,,,,
South_Carolina/1865-02-23-skirmish-near-camden,South Carolina,1865-02-23,1865-02-23,Skirmish near Camden,(No Reports.),Skirmish,,,,,
South_Carolina/1865-02-24-skirmish-camden,South Carolina,1865-02-24,1865-02-24,"Skirmish, Camden",ILLINOIS--12th and 66th Infantry.,Skirmish,,,,,
South_Carolina/1865-02-25-skirmish-west-s-cross-roads,South Carolina,1865-02-25,1865-02-25,"Skirmish, West's Cross Roads","ILLINOIS--63rd and 93rd Infantry (Detachments). INDIANA--48th Infantry, and foragers.",Skirmish,,,,,
South_Carolina/1865-02-26-skirmish-lynch-s-creek,South Carolina,1865-02-26,1865-02-26,"Skirmish, Lynch's Creek",ILLINOIS--7th (Mounted) Infantry. IOWA--2nd and 7th Infantry. OHIO--81st Infantry.,Skirmish,,,,,
South_Carolina/1865-02-26-skirmish-near-stroud-s-mills,South Carolina,1865-02-26,1865-02-26,Skirmish near Stroud's Mills,ILLINOIS--104th Infantry (Detachment).,Skirmish,,,,,
South_Carolina/1865-02-27-skirmish-mount-elon,South Carolina,1865-02-27,1865-02-27,"Skirmish, Mount Elon","ILLINOIS--15th Cavalry (Co. ""K""). OHIO--4th Independent Cavalry Company.",Skirmish,,,,,
South_Carolina/1865-02-27-skirmish-cloud-s-house,South Carolina,1865-02-27,1865-02-27,"Skirmish, Cloud's House",ILLINOIS--104th Infantry. PENNSYLVANIA--79th Infantry.,Skirmish,,,,,
South_Carolina/1865-02-28-skirmish-near-cheraw,South Carolina,1865-02-28,1865-02-28,Skirmish near Cheraw,"MICHIGAN--Battery ""C"", 1st Light Artillery OHIO--69th Infantry.",Skirmish,,,,,
South_Carolina/1865-02-28-skirmish-near-rocky-mount,South Carolina,1865-02-28,1865-02-28,Skirmish near Rocky Mount,ILLINOIS--104th Infantry. OHIO--94th Infantry.,Skirmish,,,,,
South_Carolina/1865-03-01-skirmish-wilson-s-store,South Carolina,1865-03-01,1865-03-01,"Skirmish, Wilson's Store",(No Reports.),Skirmish,,,,,
South_Carolina/1865-03-02-skirmish-thompson-s-creek-near-chesterfield,South Carolina,1865-03-02,1865-03-02,"Skirmish, Thompson's Creek, near Chesterfield","CONNECTICUT--5th Infantry. MASSACHUSETTS--2nd Infantry. NEW YORK--123rd and 141st Infantry. OHIO--Battery ""C"", 1st Light Artillery PENNSYLVANIA--46th Infantry.",Skirmish,,,,,
South_Carolina/1865-03-03-skirmish-thompson-s-creek-near-cheraw,South Carolina,1865-03-03,1865-03-03,"Skirmish, Thompson's Creek, near Cheraw","CONNECTICUT--5th Infantry. MASSACHUSETTS--2nd Infantry. NEW YORK--123rd and 141st Infantry. OHIO--Battery ""C"", 1st Light Artillery PENNSYLVANIA--46th Infantry.",Skirmish,,,,,
South_Carolina/1865-03-03-skirmish-juniper-creek-near-cheraw,South Carolina,1865-03-03,1865-03-03,"Skirmish, Juniper Creek, near Cheraw",ILLINOIS--64th Infantry. MISSOURI--18th Infantry. OHIO--27th and 39th Infantry.,Skirmish,,,,,
South_Carolina/1865-03-03-skirmish-near-big-black-creek,South Carolina,1865-03-03,1865-03-03,Skirmish near Big Black Creek,"Detachment Pioneers, 3rd Div., 15th Corps.",Skirmish,,,,,
South_Carolina/1865-03-03-skirmish-near-blakeny,South Carolina,1865-03-03,1865-03-03,Skirmish near Blakeny,Cavalry Scouts.,Skirmish,,,,,
South_Carolina/1865-03-03-skirmish-near-himsborough,South Carolina,1865-03-03,1865-03-03,Skirmish near Himsborough,WISCONSIN--10th Battery Light Artillery and Cavalry Scouts.,Skirmish,,,,,
South_Carolina/1865-03-04-1865-03-06-expedition-from-cheraw-to-florence-and-skirmishes,South Carolina,1865-03-04,1865-03-06,Expedition from Cheraw to Florence and skirmishes,ILLINOIS--7th and 9th Mounted Infantry. MISSOURI--29th Mounted Infantry (Detachment 15th Corps Foragers).,Expedition,,,,,
South_Carolina/1865-03-05-skirmish-near-cheraw,South Carolina,1865-03-05,1865-03-05,Skirmish near Cheraw,Foragers 3rd Div. 15th Corps.,Skirmish,,,,,
South_Carolina/1865-03-08-skirmish-love-s-or-blue-bridge,South Carolina,1865-03-08,1865-03-08,"Skirmish, Love's or Blue Bridge","Lieut, Dewey and Foragers.",Skirmish,,,,,
South_Carolina/1865-03-08-engagement-monroe-s-cross-roads,South Carolina,1865-03-08,1865-03-08,"Engagement, Monroe's Cross Roads","ALABAMA--1st Cavalry. KENTUCKY--5th Cavalry. OHIO--5th Cavalry. WISCONSIN--10th Battery Light Artillery; Dismounted Cavalry Brigade. Union loss, 19 killed, 61 wounded, 103 missing. Total, 183.",Engagement,183,80,19,61,103
South_Carolina/1865-04-05-1865-04-15-expedition-from-charleston-to-santee-river,South Carolina,1865-04-05,1865-04-15,Expedition from Charleston to Santee River,(No Reports.),Expedition,,,,,
South_Carolina/1865-04-05-1865-04-25-expedition-from-georgetown-to-camden,South Carolina,1865-04-05,1865-04-25,Expedition from Georgetown to Camden,"MASSACHUSETTS--4th Cavalry (Detachment); 54th (Colored) Infantry. NEW YORK--Battery ""F"", 3rd Light Artillery; 56th and 157th Infantry. OHIO--25th and 107th Infantry. UNITED STATES--32nd and 102nd Colored Infantry.",Expedition,,,,,
South_Carolina/1865-04-09-skirmish-dingle-s-mills,South Carolina,1865-04-09,1865-04-09,"Skirmish, Dingle's Mills","NEW YORK--Battery ""F"", 3rd Light Artillery; 56th and 157th Infantry.",Skirmish,,,,,
South_Carolina/1865-04-15-skirmish-statesburg,South Carolina,1865-04-15,1865-04-15,"Skirmish, Statesburg","MASSACHUSETTS--4th Cavalry (Detachment); 54th (Colored) Infantry. NEW YORK--Battery ""F"", 3rd Light Artillery; 56th and 157th Infantry. OHIO--25th and 107th Infantry. UNITED STATES--32nd and 102nd (Colored) Infantry.",Skirmish,,,,,
South_Carolina/1865-04-17-occupation-of-camden,South Carolina,1865-04-17,1865-04-17,Occupation of Camden,"MASSACHUSETTS--4th Cavalry (Detachment); 54th (Colored) Infantry. NEW YORK--Battery ""F"" 3rd Light Artillery; 56th and 157th Infantry. OHIO--25th and 107th Infantry. UNITED STATES--32nd and 102nd (Colored) Infantry.",Occupation,,,,,
South_Carolina/1865-04-18-skirmish-bradford-springs,South Carolina,1865-04-18,1865-04-18,"Skirmish, Bradford Springs",UNITED STATES--102nd (Colored) Infantry.,Skirmish,,,,,
South_Carolina/1865-04-18-skirmish-boykin-s-mills,South Carolina,1865-04-18,1865-04-18,"Skirmish, Boykin's Mills","MASSACHUSETTS--4th Cavalry (Detachment); 54th (Colored) Infantry. NEW YORK--Battery ""F"" 3rd Light Artillery; 56th and 157th Infantry. OHIO--25th and 107th Infantry. UNITED STATES--32nd and 102nd (Colored) Infantry. Union loss, 9 killed, 18 wounded, 1 missing. Total, 28.",Skirmish,28,27,9,18,1
South_Carolina/1865-04-19-skirmish-denkin-s-mills-and-at-beech-creek-near-statesburg,South Carolina,1865-04-19,1865-04-19,"Skirmish, Denkin's Mills and at Beech Creek, near Statesburg","MASSACHUSETTS--4th Cavalry (Detachment); 54th (Colored) Infantry. NEW YORK--Battery ""F"" 3rd Light Artillery; 56th and 157th Infantry. OHIO--25th and 107th Infantry. UNITED STATES--32nd and 102nd (Colored) Infantry. Union loss, 10 wounded.",Skirmish,,,,10,
Kentucky/1861-09-03-occupation-hickman-and-columbus,Kentucky,1861-09-03,1861-09-03,"Occupation, Hickman and Columbus",By Confederate forces.,Occupation,,,,,
Kentucky/1861-09-04-engagements-hickman-and-columbus,Kentucky,1861-09-04,1861-09-04,"Engagements, Hickman and Columbus","UNITED STATES--Gunboats ""Tyler"" and ""Lexington"".",Engagement,,,,,
Kentucky/1861-09-05-1861-09-06-expedition-from-cairo-ill-to-paducah,Kentucky,1861-09-05,1861-09-06,"Expedition from Cairo, Ill.,, to Paducah","ILLINOIS--Battery ""K"", 1st Light Artillery; 9th and 12th Infantry.",Expedition,,,,,
Kentucky/1861-09-06-occupation-of-paducah,Kentucky,1861-09-06,1861-09-06,Occupation of Paducah,"ILLINOIS--Battery ""K"", 1st Light Artillery; 9th and 12th Infantry.",Occupation,,,,,
Kentucky/1861-09-18-occupation-of-bowling-green,Kentucky,1861-09-18,1861-09-18,Occupation of Bowling Green,By Confederate forces.,Occupation,,,,,
Kentucky/1861-09-19-skirmish-barboursville,Kentucky,1861-09-19,1861-09-19,"Skirmish, Barboursville",KENTUCKY--Recruits.,Skirmish,,,,,
Kentucky/1861-09-21-1861-09-22-reconnaissance-toward-columbus,Kentucky,1861-09-21,1861-09-22,Reconnaissance toward Columbus,ILLINOIS--7th Infantry.,Reconnaissance,,,,,
Kentucky/1861-09-22-skirmish-mayfield-creek,Kentucky,1861-09-22,1861-09-22,"Skirmish, Mayfield Creek",ILLINOIS--7th Infantry (Detachment).,Skirmish,,,,,
Kentucky/1861-09-26-affair-muddy-river,Kentucky,1861-09-26,1861-09-26,"Affair, Muddy River","Destruction of Lock, at mouth of.",Affair,,,,,
Kentucky/1861-09-26-1861-09-30-expedition-from-cumberland-ford-to-clay-county,Kentucky,1861-09-26,1861-09-30,Expedition from Cumberland Ford to Clay County,Confederate reports.,Expedition,,,,,
Kentucky/1861-09-01-1861-09-30-skirmish-laurel-creek,Kentucky,1861-09-01,1861-09-30,"Skirmish, Laurel Creek",Confederate reports.,Skirmish,,,,,
Kentucky/1861-09-29-skirmish-hopkinsville,Kentucky,1861-09-29,1861-09-29,"Skirmish, Hopkinsville",KENTUCKY--Home Guard.,Skirmish,,,,,
Kentucky/1861-09-29-affairs-at-albany-and-travisville,Kentucky,1861-09-29,1861-09-29,Affairs at Albany and Travisville,KENTUCKY--12th Infantry.,Affair,,,,,
Kentucky/1861-10-08-skirmish-hillsborough,Kentucky,1861-10-08,1861-10-08,"Skirmish, Hillsborough","KENTUCKY--Flemingsburg Home Guard. Union loss, 3 killed, 2 wounded. Total, 5.",Skirmish,5,5,3,2,
Kentucky/1861-10-12-skirmish-upton-s-hill,Kentucky,1861-10-12,1861-10-12,"Skirmish, Upton's Hill",INDIANA--39th Infantry.,Skirmish,,,,,
Kentucky/1861-10-12-1861-10-13-skirmishes-near-clintonville-and-on-the-pomme-de-terre,Kentucky,1861-10-12,1861-10-13,Skirmishes near Clintonville and on the Pomme De Terre,Confederate reports.,Skirmishes,,,,,
Kentucky/1861-10-18-skirmish-near-rockcastle-hills,Kentucky,1861-10-18,1861-10-18,Skirmish near Rockcastle Hills,(No Reports.),Skirmish,,,,,
Kentucky/1861-10-21-action-rockcastle-hills-or-camp-wild-cat,Kentucky,1861-10-21,1861-10-21,"Action, Rockcastle Hills or Camp Wild Cat","INDIANA--33rd Infantry. KENTUCKY--1st Cavalry; 7th Infantry. OHIO--Battery ""B"", 1st Light Artillery; 14th and 17th Infantry. Union loss, 4 killed, 21 wounded. Total, 25.",Action,25,25,4,21,
Kentucky/1861-10-23-capture-of-hazel-green,Kentucky,1861-10-23,1861-10-23,Capture of Hazel Green,OHIO--33rd Infantry (2 Cos.).,Capture,,,,,
Kentucky/1861-10-23-skirmish-near-hodgensville,Kentucky,1861-10-23,1861-10-23,Skirmish near Hodgensville,"INDIANA--6th Infantry (Detachment). Union loss, 3 wounded.",Skirmish,,,,3,
Kentucky/1861-10-23-action-west-liberty,Kentucky,1861-10-23,1861-10-23,"Action, West Liberty","OHIO--1st Cavalry (Co. ""B""); Battery ""E"", 1st Light Artillery; 2nd Infantry. Union loss, 2 wounded, 2 missing. Total, 4.",Action,4,2,,2,2
Kentucky/1861-10-24-attack-on-camp-joe-underwood,Kentucky,1861-10-24,1861-10-24,Attack on Camp Joe Underwood,Confederate reports.,Attack,,,,,
Kentucky/1861-10-26-skirmish-saratoga,Kentucky,1861-10-26,1861-10-26,"Skirmish, Saratoga","ILLINOIS--9th Infantry (Cos. ""B"", ""H"", ""I""). Union loss, 4 wounded.",Skirmish,,,,4,
Kentucky/1861-10-26-skirmish-eddyville,Kentucky,1861-10-26,1861-10-26,"Skirmish, Eddyville","ILLINOIS--9th Infantry (Cos. ""B"", ""H"", ""I""). UNITED STATES--Gunboat ""Conestoga"".",Skirmish,,,,,
Kentucky/1861-10-29-skirmish-woodbury,Kentucky,1861-10-29,1861-10-29,"Skirmish, Woodbury","KENTUCKY--3rd Cavalry; 17th and 26th Infantry. Union loss, 1 wounded.",Skirmish,,,,1,
Kentucky/1861-10-31-skirmish-morgantown,Kentucky,1861-10-31,1861-10-31,"Skirmish, Morgantown",KENTUCKY--Home Guard.,Skirmish,,,,,
Kentucky/1861-11-07-1861-11-09-demonstration-on-columbus-from-paducah,Kentucky,1861-11-07,1861-11-09,Demonstration on Columbus from Paducah,"ILLINOIS--Thielman's Cavalry; Buell's Battery Light Artillery; 9th, 12th and 40th Infantry. INDIANA--23rd Infantry.",Demonstration,,,,,
Kentucky/1861-11-08-engagement-ivy-mountain,Kentucky,1861-11-08,1861-11-08,"Engagement, Ivy Mountain",KENTUCKY--16th Infantry. OHIO--2nd and 21st Infantry.,Engagement,,,,,
Kentucky/1861-11-09-action-piketown,Kentucky,1861-11-09,1861-11-09,"Action, Piketown","KENTUCKY--16th Infantry. OHIO--Battery ""E"", 1st Light Artillery; 2nd, 21st, 33rd and 59th Infantry. Union loss, 4 killed, 26 wounded. Total, 30.",Action,30,30,4,26,
Kentucky/1861-11-20-skirmish-brownsville,Kentucky,1861-11-20,1861-11-20,"Skirmish, Brownsville",(No Reports.),Skirmish,,,,,
Kentucky/1861-11-24-1861-12-05-expedition-from-columbus-to-caseyville,Kentucky,1861-11-24,1861-12-05,Expedition from Columbus to Caseyville,MISSOURI--8th Infantry (3 Cos.).,Expedition,,,,,
Kentucky/1861-12-01-1861-12-13-operations-about-mill-springs-and-somerset,Kentucky,1861-12-01,1861-12-13,Operations about Mill Springs and Somerset,INDIANA--33rd Infantry. KENTUCKY--12th Infantry. OHIO--17th and 35th Infantry.,Operations,,,,,
Kentucky/1861-12-01-demonstration-on-fort-holt,Kentucky,1861-12-01,1861-12-01,Demonstration on Fort Holt,"ILLINOIS--Battery ""A"", 1st Light Artillery",Demonstration,,,,,
Kentucky/1861-12-01-skirmish-whippoorwill-creek,Kentucky,1861-12-01,1861-12-01,"Skirmish, Whippoorwill Creek",KENTUCKY--26th Infantry.,Skirmish,,,,,
Kentucky/1861-12-01-1861-12-02-skirmishes-goggin-s-camp,Kentucky,1861-12-01,1861-12-02,"Skirmishes, Goggin's Camp",Confederate reports.,Skirmishes,,,,,
Kentucky/1861-12-04-1861-12-07-expedition-to-bacon-creek-bridge,Kentucky,1861-12-04,1861-12-07,Expedition to Bacon Creek Bridge,Confederate reports.,Expedition,,,,,
Kentucky/1861-12-05-1861-12-08-scout-to-russellville,Kentucky,1861-12-05,1861-12-08,Scout to Russellville,Confederate reports.,Scout,,,,,
Kentucky/1861-12-08-skirmish-fishing-creek-near-somerset,Kentucky,1861-12-08,1861-12-08,Skirmish. Fishing Creek near Somerset,"OHIO--35th Infantry. Union loss, 1 killed, 1 wounded, 15 missing. Total, 17.",Skirmish,17,2,1,1,15
Kentucky/1861-12-08-skirmish-fishing-creek,Kentucky,1861-12-08,1861-12-08,"Skirmish, Fishing Creek",KENTUCKY--1st Cavalry.,Skirmish,,,,,
Kentucky/1861-12-12-skirmish-gradysville,Kentucky,1861-12-12,1861-12-12,"Skirmish, Gradysville",KENTUCKY--5th Cavalry.,Skirmish,,,,,
Kentucky/1861-12-12-skirmish-bagdad-shelby-co,Kentucky,1861-12-12,1861-12-12,"Skirmish, Bagdad, Shelby Co","KENTUCKY--6th Infantry. Union loss, 1 wounded.",Skirmish,,,,1,
Kentucky/1861-12-17-action-rowlett-s-station,Kentucky,1861-12-17,1861-12-17,"Action, Rowlett's Station","INDIANA--32nd Infantry. Union loss, 10 killed, 22 wounded. Total, 32.",Action,32,32,10,22,
Kentucky/1861-12-18-reconnaissance-to-mill-springs,Kentucky,1861-12-18,1861-12-18,Reconnaissance to Mill Springs,(No Reports.),Reconnaissance,,,,,
Kentucky/1861-12-23-1862-01-30-operations-in-eastern-kentucky-garfield-s-against-humphrey-marshall,Kentucky,1861-12-23,1862-01-30,Operations in Eastern Kentucky. Garfield's against Humphrey Marshall,KENTUCKY--1st Cavalry; 14th and 22nd Infantry. OHIO--McLaughlin's Squadron Cavalry; 40th and 42nd Infantry. WEST VIRGINIA--1st and 2nd Cavalry.,Operations,,,,,
Kentucky/1861-12-28-skirmish-grider-s-ferry,Kentucky,1861-12-28,1861-12-28,"Skirmish, Grider's Ferry",(No Reports.),Skirmish,,,,,
Kentucky/1861-12-28-action-sacramento,Kentucky,1861-12-28,1861-12-28,"Action, Sacramento","KENTUCKY--3rd Cavalry. Union loss, 1 killed, 8 wounded. Total, 9.",Action,9,9,1,8,
Kentucky/1861-12-28-1861-12-31-expedition-to-camp-beauregard-and-viola,Kentucky,1861-12-28,1861-12-31,Expedition to Camp Beauregard and Viola,"ILLINOIS--2nd Cavalry (Detachment). Thielman's Cavalry (Detachment). UNITED STATES--4th Cavalry (Cos. ""C"" and ""I"").",Expedition,,,,,
Kentucky/1862-01-01-reconnaissance-of-columbus,Kentucky,1862-01-01,1862-01-01,Reconnaissance of Columbus,UNITED STATES--Gunboats.,Reconnaissance,,,,,
Kentucky/1862-01-07-action-jennie-s-creek,Kentucky,1862-01-07,1862-01-07,"Action, Jennie's Creek","OHIO--42nd Infantry. WEST VIRGINIA--1st (4 Cos.) and 2nd Cavalry. Union loss, 3 killed, 1 wounded. Total, 4.",Action,4,4,3,1,
Kentucky/1862-01-08-skirmish-fishing-creek,Kentucky,1862-01-08,1862-01-08,"Skirmish, Fishing Creek",(No Reports.),Skirmish,,,,,
Kentucky/1862-01-10-engagement-middle-creek-near-prestonburg,Kentucky,1862-01-10,1862-01-10,"Engagement, Middle Creek near Prestonburg","KENTUCKY--1st Cavalry; 14th and 22nd Infantry. OHIO--McLaughlin's Squadron Cavalry; 40th and 42nd Infantry. Union loss, 2 killed, 25 wounded, 14 missing. Total, 41.",Engagement,41,27,2,25,14
Kentucky/1862-01-14-reconnaissance-of-columbus,Kentucky,1862-01-14,1862-01-14,Reconnaissance of Columbus,UNITED STATES--Gunboats.,Reconnaissance,,,,,
Kentucky/1862-01-15-1862-01-21-reconnaissance-from-paducah-to-fort-henry-tenn,Kentucky,1862-01-15,1862-01-21,"Reconnaissance from Paducah to Fort Henry, Tenn.","IOWA--2nd, 7th, 12th and 14th Infantry. ILLINOIS--4th Cavalry; Battery ""A"", 1st Light Artillery; 9th and 12th Infantry.",Reconnaissance,,,,,
Kentucky/1862-01-15-1862-01-21-expedition-from-cairo-ill-into-kentucky,Kentucky,1862-01-15,1862-01-21,"Expedition from Cairo, Ill.,, into Kentucky","ILLINOIS--Carmichael's, Stewart's, Dollins' and O'Harnett's Cavalry Cos.; Batteries ""D"" and ""E"", 2nd Light Artillery; 10th, 18th, 27th, 29th, 30th, 31st and 48th Infantry.",Expedition,,,,,
Kentucky/1862-01-19-engagement-logan-s-cross-roads-mill-springs-on-fishing-creek,Kentucky,1862-01-19,1862-01-19,"Engagement, Logan's Cross Roads, Mill Springs, on Fishing Creek","INDIANA--10th Infantry. KENTUCKY--Battery ""B"", Light Artillery; 1st Cavalry; 4th, 10th and 12th Infantry. MICHIGAN--1st Engineers. MINNESOTA--2nd Infantry. OHIO--Batteries ""B"" and ""C"", 1st Light Artillery; 9th, 14th, 16th, 17th, 31st, 35th and 38th Infantry. TENNESSEE--1st and 2nd Infantry. UNITED STATES--18th Infantry. Union loss, 39 killed, 207 wounded. Total, 246.",Engagement,246,246,39,207,
Kentucky/1862-01-24-1862-01-30-expedition-to-little-sandy-and-piketon,Kentucky,1862-01-24,1862-01-30,Expedition to Little Sandy and Piketon,KENTUCKY--14th Infantry.,Expedition,,,,,
Kentucky/1862-01-28-1862-02-02-operations-near-greensburg-and-lebanon,Kentucky,1862-01-28,1862-02-02,Operations near Greensburg and Lebanon,OHIO--1st Cavalry.,Operations,,,,,
Kentucky/1862-02-01-skirmish-bowling-green,Kentucky,1862-02-01,1862-02-01,"Skirmish, Bowling Green","INDIANA--2nd Cavalry (Co. ""H"").",Skirmish,,,,,
Kentucky/1862-02-13-skirmish-fort-heiman,Kentucky,1862-02-13,1862-02-13,"Skirmish, Fort Heiman",ILLINOIS--41st Infantry.,Skirmish,,,,,
Kentucky/1862-02-14-skirmish-flat-lick-ford-cumberland-river,Kentucky,1862-02-14,1862-02-14,"Skirmish, Flat Lick Ford, Cumberland River",KENTUCKY--6th Cavalry. INDIANA--49th Infantry.,Skirmish,,,,,
Kentucky/1862-02-15-occupation-of-bowling-green,Kentucky,1862-02-15,1862-02-15,Occupation of Bowling Green,"ILLINOIS--19th and 24th Infantry. INDIANA--5th Independent Battery Light Artillery; 37th Infantry. OHIO--4th Cavalry; Battery ""E"", 1st Light Artillery; 18th Infantry. MICHIGAN--Battery ""A"", 1st Light Artillery",Occupation,,,,,
Kentucky/1862-03-03-action-columbus,Kentucky,1862-03-03,1862-03-03,"Action, Columbus",ILLINOIS--2nd Cavalry (Battalion); 27th and 55th Infantry. OHIO--54th and 71st Infantry.,Action,,,,,
Kentucky/1862-03-03-occupation-of-columbus,Kentucky,1862-03-03,1862-03-03,Occupation of Columbus,ILLINOIS--2nd Cavalry (Battalion); 27th and 55th Infantry. OHIO--54th and 71st Infantry.,Occupation,,,,,
Kentucky/1862-03-04-skirmish-near-columbus,Kentucky,1862-03-04,1862-03-04,Skirmish near Columbus,ILLINOIS--27th Infantry.,Skirmish,,,,,
Kentucky/1862-03-08-1862-03-14-expedition-from-paducah-to-tennessee-river-and-operations-about-crump-s-landing,Kentucky,1862-03-08,1862-03-14,Expedition from Paducah to Tennessee River and operations about Crump's Landing,"ILLINOIS--4th Cavalry; Batteries ""B"" and ""E"", 1st Light Artillery; 40th and 55th Infantry. INDIANA--6th Independent Battery Light Artillery IOWA--6th Infantry. OHIO--46th, 48th, 53rd, 54th, 57th, 70th, 71st, 72nd and 77th Infantry.",Expedition,,,,,
Kentucky/1862-03-14-1862-03-17-expedition-to-pound-gap,Kentucky,1862-03-14,1862-03-17,Expedition to Pound Gap,KENTUCKY--22nd Infantry. OHIO--McLaughlin's Squadron Cavalry; 40th and 42nd Infantry.,Expedition,,,,,
Kentucky/1862-03-16-action-pound-gap,Kentucky,1862-03-16,1862-03-16,"Action, Pound Gap",KENTUCKY--22nd Infantry. OHIO--McLaughlin's Squadron Cavalry; 40th and 42nd Infantry.,Action,,,,,
Kentucky/1862-05-11-affair-cave-city,Kentucky,1862-05-11,1862-05-11,"Affair, Cave City","Capture of a train on Louisville & Nashville R. R. by Morgan. Union loss, 8 missing.",Affair,,,,,8
Kentucky/1862-06-06-skirmish-tompkinsville,Kentucky,1862-06-06,1862-06-06,"Skirmish, Tompkinsville","PENNSYLVANIA--9th Cavalry (Cos. ""C"", ""I"", ""M""). Union loss, 1 killed, 5 wounded. Total, 6.",Skirmish,6,6,1,5,
Kentucky/1862-06-11-skirmish-monterey-owen-co,Kentucky,1862-06-11,1862-06-11,"Skirmish, Monterey, Owen Co","INDIANA--13th Battery Light Artillery; Blood's Mounted Provost Guard. Union loss, 2 wounded.",Skirmish,,,,2,
Kentucky/1862-06-20-1862-06-23-affairs-in-owen-county,Kentucky,1862-06-20,1862-06-23,Affairs in Owen County,KENTUCKY--18th Infantry.,Affair,,,,,
Kentucky/1862-06-20-skirmish-leesby-s-mill,Kentucky,1862-06-20,1862-06-20,"Skirmish, Leesby's Mill","KENTUCKY.--Home Guard. Union loss, 2 killed.",Skirmish,,,2,,
Kentucky/1862-06-30-skirmish-henderson,Kentucky,1862-06-30,1862-06-30,"Skirmish, Henderson","MICHIGAN--Battery ""F"", 1st Light Artillery",Skirmish,,,,,
Kentucky/1862-07-04-1862-07-28-operations-against-morgan,Kentucky,1862-07-04,1862-07-28,Operations against Morgan,"INDIANA--13th Independent Battery Light Artillery; 50th, 55th and 60th Infantry. KENTUCKY--7th Cavalry; 18th and 28th Infantry, Home Guard. MICHIGAN--11th Infantry. UNITED STATES--16th Infantry (Co. ""B"", 2nd Battalion). PENNSYLVANIA--9th Cavalry.",Operations,,,,,
Kentucky/1862-07-09-skirmish-tompkinsville,Kentucky,1862-07-09,1862-07-09,"Skirmish, Tompkinsville","PENNSYLVANIA--9th Cavalry (Cos. ""E"", ""I"" and ""M""). Union loss, 4 killed, 7 wounded, 19 missing. Total, 30.",Skirmish,30,11,4,7,19
Kentucky/1862-07-10-skirmish-glasgow,Kentucky,1862-07-10,1862-07-10,"Skirmish, Glasgow",PENNSYLVANIA--9th Cavalry.,Skirmish,,,,,
Kentucky/1862-07-12-skirmish-lebanon,Kentucky,1862-07-12,1862-07-12,"Skirmish, Lebanon","KENTUCKY--28th Infantry (Detachment); Lebanon Home Guard. Union loss, 2 killed, 65 missing. Total, 67.",Skirmish,67,2,2,,65
Kentucky/1862-07-14-skirmish-near-mackville,Kentucky,1862-07-14,1862-07-14,Skirmish near Mackville,KENTUCKY--Home Guard.,Skirmish,,,,,
Kentucky/1862-07-17-action-and-surrender-cynthiana,Kentucky,1862-07-17,1862-07-17,Action and surrender Cynthiana,"KENTUCKY--7th Cavalry (Detachment); 18th Infantry (Detachment); Home Guard of Cynthiana, Cincinnati and Brackin Cos. Union loss, 8 killed, 46 wounded. Total, 54.",Action,54,54,8,46,
Kentucky/1862-07-18-raid-on-henderson,Kentucky,1862-07-18,1862-07-18,Raid on Henderson,(No Reports.),Raid,,,,,
Kentucky/1862-07-19-action-paris,Kentucky,1862-07-19,1862-07-19,"Action, Paris",INDIANA--13th Independent Battery Light Artillery KENTUCKY--7th Cavalry; 18th Infantry; Paris Home Guard. MICHIGAN--11th Infantry. PENNSYLVANIA--7th Cavalry.,Action,,,,,
Kentucky/1862-07-29-surrender-russellville,Kentucky,1862-07-29,1862-07-29,"Surrender, Russellville","INDIANA--70th Infantry; Russellville Home Guard. Union loss, 1 wounded.",Surrender,,,,1,
Kentucky/1862-08-03-action-morganfield,Kentucky,1862-08-03,1862-08-03,"Action, Morganfield",KENTUCKY--8th Cavalry.,Action,,,,,
