slug,state,start_date,end_date,nature_location,troops_engaged,event_type,casualties,killed_wounded,killed,wounded,missing_captured
Maryland/1862-09-09-skirmish-nolansville,Maryland,1862-09-09,1862-09-09,"Skirmish, Nolansville","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""). Loss, 1 wounded.",Skirmish,,,,1,
Maryland/1862-09-10-skirmish-middletown,Maryland,1862-09-10,1862-09-10,"Skirmish, Middletown",ILLINOIS--8th Cavalry.,Skirmish,,,,,
Maryland/1862-09-10-skirmish-near-boonsborough,Maryland,1862-09-10,1862-09-10,Skirmish near Boonsborough,MARYLAND--1st Cavalry (Detachment).,Skirmish,,,,,
Maryland/1862-09-10-1862-09-11-skirmishes-sugar-loaf-mt,Maryland,1862-09-10,1862-09-11,"Skirmishes, Sugar Loaf Mt","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""). MAINE--6th Infantry. MASSACHUSETTS--1st Cavalry. NEW YORK--43rd Infantry. PENNSYLVANIA--8th Cavalry; 49th and 137th Infantry. WISCONSIN--5th Infantry. UNITED STATES--5th and 6th Cavalry; Batteries ""A"", ""B"" and ""M"" 2nd Artillery Union loss, 1 killed, 1 wounded. Total, 2.",Skirmishes,2,2,1,1,
Maryland/1862-09-11-skirmish-near-williamsport,Maryland,1862-09-11,1862-09-11,Skirmish near Williamsport,ILLINOIS--12th Cavalry.,Skirmish,,,,,
Maryland/1862-09-12-action-frederick-city,Maryland,1862-09-12,1862-09-12,"Action, Frederick City","ILLINOIS--8th Cavalry. KENTUCKY--Simmond's Battery Light Artillery NEW YORK--1st (Lincoln) Cavalry. OHIO--3rd Independent Cavalry Company; 11th and 28th Infantry. PENNSYLVANIA--8th and 12th Cavalry. UNITED STATES--Batteries ""B"", ""L"" and ""M"", 2nd Artillery Union loss, 2 killed, 1 wounded, 12 missing. Total, 15.",Action,15,3,2,1,12
Maryland/1862-09-12-1862-09-13-action-maryland-heights,Maryland,1862-09-12,1862-09-13,"Action, Maryland Heights","MARYLAND--1st Cavalry (2 Cos.); 1st (3 cos.), and 3rd Potomac Home Brigade Infantry. NEW YORK--5th Heavy Artillery (Cos. ""F"", ""I""); 39th, 115th and 126th Infantry. OHIO--32nd Infantry. RHODE ISLAND--7th Battalion Cavalry.",Action,,,,,
Maryland/1862-09-13-skirmish-middletown,Maryland,1862-09-13,1862-09-13,"Skirmish, Middletown","INDIANA--3rd Cavalry (Cos. ""A"", ""B""). ILLINOIS--8th Cavalry. MASSACHUSETTS--1st Cavalry. PENNSYLVANIA--8th Cavalry. UNITED STATES--Batteries ""C"", ""G"", 3rd Artillery Union loss (including Catoctin Mountain, Jefferson and South Mountain, Sept. 13), 5 killed, 22 wounded, 5 missing. Total, 32.",Skirmish,32,27,5,22,5
Maryland/1862-09-13-skirmish-catoctin-mountain,Maryland,1862-09-13,1862-09-13,"Skirmish, Catoctin Mountain","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""). UNITED STATES--Batteries ""B"", ""L"", and ""M"", 2nd Artillery",Skirmish,,,,,
Maryland/1862-09-13-skirmish-jefferson,Maryland,1862-09-13,1862-09-13,"Skirmish, Jefferson",NEW YORK--9th Infantry. PENNSYLVANIA--6th Cavalry.,Skirmish,,,,,
Maryland/1862-09-13-skirmish-south-mountain,Maryland,1862-09-13,1862-09-13,"Skirmish, South Mountain",PENNSYLVANIA--6th Cavalry.,Skirmish,,,,,
Maryland/1862-09-14-skirmish-near-petersville,Maryland,1862-09-14,1862-09-14,Skirmish near Petersville,(No Reports.),Skirmish,,,,,
Maryland/1862-09-14-battle-of-south-mountain,Maryland,1862-09-14,1862-09-14,Battle of South Mountain,"CONNECTICUT--11th Infantry. ILLINOIS--8th and 12th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""), 7th, 14th and 19th Infantry. KENTUCKY--Simmond's Battery Light Artillery MAINE--1st Cavalry; 6th Battery Light Artillery MARYLAND--2nd Infantry. MASSACHUSETTS--1st Cavalry; 8th Battery Light Artillery; 12th, 13th, 27th, 28th and 35th Infantry. MICHIGAN--8th and 17th Infantry. NEW HAMPSHIRE--6th and 9th Infantry. NEW YORK--Battery ""L"", 1st Light Artillery; 9th, 21st, 22nd, 23rd, 24th, 26th, 30th, 35th, 46th, 51st, 76th, 78th, 79th, 80th, 82nd, 83rd, 84th, 89th, 93rd, 94th, 97th, 104th and 105th Infantry. OHIO--3rd Independent Cavalry Company; 1st Independent Battery Light Artillery; 11th, 12th, 23rd, 28th, 30th and 36th Infantry. PENNSYLVANIA--Battery ""B"", 1st Light Artillery; Independent Battery ""D"", Light Artillery; 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th and 13th Reserve Infantry; 11th, 45th, 48th, 50th, 51st, 56th, 88th, 90th, 100th and 107th Infantry. RHODE ISLAND--4th Infantry. WISCONSIN--2nd, 6th and 7th Infantry. UNITED STATES--1st and 2nd Sharpshooters. Union loss, 325 killed, 1,403 wounded, 85 missing. Total, 1,813.",Battle,1813,1728,325,1403,85
Maryland/1862-09-14-battle-of-crampton-s-gap-south-mountain,Maryland,1862-09-14,1862-09-14,"Battle of Crampton's Gap, South Mountain.","MAINE--5th, 6th and 7th Infantry. MASSACHUSETTS--1st Battery Light Artillery NEW JERSEY--Battery ""A"", Light Artillery; 1st, 2nd, 3rd and 4th Infantry. NEW YORK--1st Independent Battery Light Artillery; 16th, 18th, 27th, 31st, 32nd, 33rd, 49th and 77th Infantry. PENNSYLVANIA--4th and 6th Cavalry; 95th and 96th Infantry. VERMONT--2nd, 3rd, 4th, 5th and 6th Infantry. Union loss, 113 killed, 418 wounded, 2 missing. Total, 533.",Battle,533,531,113,418,2
Maryland/1862-09-15-action-boonsborough,Maryland,1862-09-15,1862-09-15,"Action, Boonsborough","ILLINOIS--8th Cavalry. UNITED STATES--Battery ""A"", 2nd Artillery Union loss, 1 killed, 15 wounded, 3 missing. Total, 19.",Action,19,16,1,15,3
Maryland/1862-09-15-skirmish-white-s-ford,Maryland,1862-09-15,1862-09-15,"Skirmish, White's Ford",PENNSYLVANIA--23rd Infantry. RHODE ISLAND--1st Cavalry.,Skirmish,,,,,
Maryland/1862-09-15-skirmish-conrad-s-ferry,Maryland,1862-09-15,1862-09-15,"Skirmish, Conrad's Ferry",RHODE ISLAND--1st Cavalry.,Skirmish,,,,,
Maryland/1862-09-15-skirmish-antietam-creek-near-keedysville,Maryland,1862-09-15,1862-09-15,"Skirmish, Antietam Creek, near Keedysville","NEW HAMPSHIRE--5th Infantry. UNITED STATES--Battery ""A"", 2nd Artillery Union loss, 4 wounded.",Skirmish,,,,4,
