battle_id,id,cwsac_id
Battle_of_Rutherford's_Farm,,VA115
Battle_of_Sailor's_Creek,,VA093
Battle_of_Saint_Charles,,AR002
Battle_of_Saint_John's_Bluff,,FL003
Battle_of_Saint_Mary's_Church,,VA066
Battle_of_Salem_Church,,VA033
Battle_of_Salineville,,OH002
Battle_of_Saltville_I,,VA076
Battle_of_Saltville_II,,VA082
Battle_of_Santa_Rosa_Island,,FL001
Battle_of_Sappony_Church,,VA067
Battle_of_Savage's_Station,,VA019
Battle_of_Selma,,AL007
Battle_of_Seven_Pines,,VA014
Battle_of_Sewell's_Point,,VA001
Battle_of_Shepherdstown,,WV016
Battle_of_Shiloh,,TN003
Battle_of_Simmon's_Bluff,,SC003
Battle_of_Smithfield_Crossing,,WV015
Battle_of_Snyder's_Bluff,,MS005
Battle_of_South_Mills,,NC005
Battle_of_South_Mountain,,MD002
Battle_of_Spanish_Fort,,AL005
Battle_of_Spotsylvania_Court_House,,VA048
Battle_of_Spring_Hill,,TN035
Battle_of_Staunton_River_Bridge,,VA113
Battle_of_Stirling's_Plantation,,LA016
Battle_of_Stones_River,,TN010
Battle_of_Stony_Lake,,ND003
Battle_of_Sutherland's_Station,,VA090
Battle_of_Swift_Creek,,VA050
Battle_of_Tampa,,FL002
Battle_of_Thompson's_Station,,TN013
Battle_of_Thoroughfare_Gap,,VA025
Battle_of_Tom's_Brook,,VA121
Battle_of_Totopotomoy_Creek,,VA057
Battle_of_Tranter's_Creek,,NC006
Battle_of_Trevilian_Station,,VA099
Battle_of_Tupelo,,MS015
Battle_of_Upperville,,VA038
Battle_of_Utoy_Creek,,GA019
Battle_of_Valverde,,NM001
Battle_of_Vaught's_Hill,,TN014
Battle_of_Vermillion_Bayou,,LA008
Battle_of_Walkerton,,VA125
Battle_of_Ware_Bottom_Church,,VA054
Battle_of_Washington,,NC011
Battle_of_Wauhatchie,,TN021
"Battle_of_Waynesboro,_Georgia",,GA027
"Battle_of_Waynesboro,_Virginia",,VA123
Battle_of_Westport,,MO027
Battle_of_White_Hall,,NC008
Battle_of_White_Oak_Road,,VA087
Battle_of_Whitestone_Hill,,ND004
Battle_of_Williamsburg,,VA010
Battle_of_Williamsport,,MD004
Battle_of_Wilmington,,NC016
