"belligerent","battle_name","cwsac_id","relation"
"US","Wilcox's Bridge, N. C","NC017","="
"US","Wilderness, Va","VA046","="
"US","Williamsburg, Va","VA010","="
"US","Williamsport, Md","MD004","="
"US","Wilson's Creek, Mo","MO004","="
"US","Wilson's Raid, Va","VA113",">"
"US","Wilson's Raid, Va","VA067",">"
"US","Wilson's Raid, Va","VA068",">"
"US","Winchester, Va","VA107","="
"US","Yellow Tavern, Va","VA052","="
