"belligerent","battle_name","state","killed","wounded","missing","casualties","cavalry","start_date","end_date"
"Union","Fort Davidson, Mo","MO","28","56","100","184",1,"1864-9-26","1864-9-26"
"Union","Chaffin's Farm, Va","VA","383","2,299","645","3,327",0,"1864-9-28","1864-9-28"
"Union","Poplar Spring Church, Va","VA","187","900","1,802","2,889",0,"1864-9-30","1864-9-30"
"Union","Petersburg Trenches, Va","VA","74","304","424","802",0,"1864-9-1","1864-9-30"
"Union","Saltville, Va","VA","54","190","104","348",1,"1864-10-2","1864-10-2"
"Union","Allatoona Pass, Ga","GA","142","352","212","706",0,"1864-10-5","1864-10-5"
"Union","Darbytown Road, Va","VA","49","253","156","458",0,"1864-10-7","1864-10-7"
"Union","Tom's Brook; Woodstock, Va","VA","9","67","0","76",1,"1864-10-9","1864-10-9"
"Union","Strasburg, Va","VA","30","144","40","214",1,"1864-10-13","1864-10-13"
"Union","Darbytown Road, Va","VA","36","358","43","437",0,"1864-10-13","1864-10-13"
"Union","Cedar Creek, Va","VA","644","3,430","1,591","5,665",0,"1864-10-19","1864-10-19"
"Union","Little Blue, Mo","MO","18","83","14","115",1,"1864-10-21","1864-10-21"
"Union","Independence, Mo","MO","14","58","11","83",1,"1864-10-22","1864-10-22"
"Union","Decatur, Ala","VA","10","45","100","155",1,"1864-10-26","1864-10-26"
"Union","Boydton Road, Va","VA","166","1,028","564","1,758",1,"1864-10-27","1864-10-27"
"Union","Darbytown Road; Fair Oaks, Va","VA","118","787","698","1,603",0,"1864-10-27","1864-10-27"
"Union","Petersburg Trenches, Va","VA","159","520","633","1,312",0,"1864-10-1","1864-10-31"
"Union","Rood's Hill, Va","VA","18","52","10","80",1,"1864-11-22","1864-11-22"
"Union","Griswoldville, Ga","GA","10","52","0","62",0,"1864-11-22","1864-11-22"
"Union","Honey Hill, S. C","SC","91","631","26","748",0,"1864-11-30","1864-11-30"
"Union","Franklin, Tenn","TN","189","1,033","1,104","2,326",0,"1864-11-30","1864-11-30"
"Union","Siege of Petersburg","VA","57","258","108","423",0,"1864-11-1","1864-11-30"
"Union","Murfreesboro, Tenn","TN","30","175","0","205",0,"1864-12-5","1864-12-5"
"Union","Deveaux's Neck, S. C","SC","39","390","200","629",0,"1864-12-6","1864-12-9"
"Union","Fort McAllister, Ga","GA","24","110","0","134",0,"1864-12-13","1864-12-13"
"Union","Nashville, Tenn","TN","387","2,558","112","3,057",0,"1864-12-15","1864-12-16"
"Union","Marion, Va","VA","18","58","0","76",0,"1864-12-18","1864-12-18"
