combatant	starty	startm	startd	endy	endm	endd	battle_name	state	cwsac	killed	wounded	missing	casualties	cavalry
US	1863	9	29	1863	9	29	Morganzia, La	LA	LA016	16	45	453	514	
US	1863	10	14	1863	10	14	Bristoe Station, Va	VA	VA040	50	335	161	546	
US	1863	10	20	1863	10	20	Philadelphia, Tenn	TN		7	25	447	479	
US	1863	10	27	1863	10	27	Wauhatchie, Tenn	TN	TN021	75	300	8	383	
US	1863	11	3	1863	11	3	Grand Coteau, La	LA		25	129	562	716	
US	1863	11	6	1863	11	6	Droop Mountain, W. Va	WV	WV012	30	88	1	119	
US	1863	11	7	1863	11	7	Rappahannock Station, Va	VA	VA043	83	328	6	417	
US	1863	11	7	1863	11	7	Kelly's Ford, Va	VA		6	39	0	45	
US	1863	11	16	1863	11	16	Campbell's Station, Tenn	TN	TN023	31	211	74	316	
US	1863	11	1	1863	11	30	Siege of Knoxville, Tenn	TN		92	393	202	687	
US	1863	11	25	1863	11	25	Missionary Ridge (Chattanooga, Tenn)	TN	TN024	597	3,781	304	4,682	
US	1863	11	23	1863	11	23	Orchard Knob (Chattanooga, Tenn)	TN	TN024	26	161	13	200	
US	1863	11	24	1865	11	24	Lookout Mountain (Chattanooga, Tenn)	TN	TN024	64	404	32	500	
US	1863	11	27	1863	11	27	Ringgold; Graysville, Ga	GA	GA005	65	367	0	432	
US	1863	11	26	1863	11	30	Mine Run Campaign, Va	VA	VA044	173	1,099	381	1,653	
US	1863	12	2	1863	12	2	Walker's Ford, W. Va	WV		9	43	12	64	
US	1863	12	14	1863	12	14	Bean's Station, Tenn	TN	TN026	16	51	48	115	
US	1863	12	29	1863	12	29	Mossy Creek, Tenn	TN	TN027	18	86	5	109	
US	1864	2	1	1864	2	3	Bachelor's Creek, N. C	NC		9	15	302	326	
US	1864	2	6	1864	2	6	Morton's Ford, Va	VA	VA045	10	208	42	260	
US	1864	2	20	1864	2	20	Olustee, Fla	FL	FL005	203	1,152	506	1,861	
US	1864	2	27	1864	2	27	Buzzard's Roost, Ga	GA	GA006	17	272	0	289	
US	1864	3	5	1864	3	5	Yazoo City, Miss	MS		21	89	21	131	
US	1864	4	3	1864	4	3	Okolona, Ark	AR		16	74	0	90	
US	1864	4	8	1864	4	9	Sabine Cross Roads, La and Pleasant Hill, La	LA	LA019	258	1,487	1,772	3,517	
US	1864	4	17	1864	4	20	Plymouth, N. C	NC	NC012	20	80	1,500	1,600	
US	1864	4	23	1864	4	23	Cane River, La	LA	LA021	40	160	0	200	
US	1864	4	25	1864	4	25	Marks's Mills, Ark	AR	AR015	100	250	100	450	
US	1864	4	30	1864	4	30	Jenkins's Ferry, Ark	AR	AR016	64	378	86	528	
US	1864	5	1	1864	5	1	Alexandria, La	LA		23	67	21	111	
US	1864	5	5	1864	5	9	Rocky Face Ridge (Atlanta Campaign)	GA	GA007	141	720	39	900	
US	1864	5	13	1864	5	15	Resaca (Atlanta Campaign)	GA	GA008	470	2,399	131	3,000	
US	1864	5	25	1864	5	25	New Hope Church (Atlanta Campaign)	GA	GA010	157	800	43	1,000	
US	1864	5	27	1864	5	27	Pickett's Mills (Atlanta Campaign)	GA	GA012	298	1,519	83	1,900	
US	1864	5	28	1864	5	31	Dallas (Atlanta Campaign)	GA	GA011	282	1,439	79	1,800	
US	1864	5	1	1864	5	31	Adairsville, Cassville, Rome Cross Roads, etc (Atlanta Campaign)	GA	GA009	110	559	30	699	
US	1864	6	1	1864	6	4	Dallas (Atlanta Campaign)	GA	GA011	134	686	80	900	
US	1864	6	14	1864	6	19	Pine Mountain (Atlanta Campaign)	GA	GA013	164	839	97	1,100	
