comm_id,dbpedia_url,commander,last_me,middle_me,first_me
CS46,http://dbpedia.org/resource/Henry_R._Jackson,774622f2-c105-42e3-9075-41cbb74be3cf,Jackson,R.,Henry
CS48,http://dbpedia.org/resource/Humphrey_Marshall_(general),177215cb-88d2-431e-8beb-c53e83c3b83c,Marshall,,Humphrey
CS48,http://dbpedia.org/resource/Humphrey_Marshall_(general),177215cb-88d2-431e-8beb-c53e83c3b83c,Marshall,,Humphery
CS49,http://dbpedia.org/resource/John_A._Poindexter,1d6e2f15-0896-413c-ab38-91b165a3329d,Poindexter,,J.A.
CS5,http://dbpedia.org/resource/Alexander_P._Stewart,912394fa-8be2-4739-a9d5-9bbda31d3d71,Stewart,P.,Alexander
CS50,http://dbpedia.org/resource/J._E._B._Stuart,6df9b482-4757-474f-80a9-bd1d82228a63,Stuart,,J.E.B.
CS52,http://dbpedia.org/resource/John_T._Hughes,645cd124-638f-4d9a-a47c-ff23d8cb9375,Hughes,,J.T.
CS55,http://dbpedia.org/resource/James_E._Carter_(soldier),4e9ee593-7867-4dbb-9944-9f8c6631b276,Carter,E.,James
CS57,http://dbpedia.org/resource/James_Fleming_Fagan,66599684-582c-4caa-aff0-7220f9c67c1f,Fagan,F.,James
CS58,,9e763ac1-7568-4cd7-a187-339f404fea4a,Frazier,,James
CS59,http://dbpedia.org/resource/James_Longstreet,0418b77d-5826-4c1d-9621-9d92c48d77b5,Longstreet,,James
CS6,http://dbpedia.org/resource/Alfred_E._Jackson,b6e8d0d4-34af-4a5f-9009-82fda601381d,Jackson,E.,Alfred
CS60,,3469c117-c317-4233-be44-66115446b543,McCullough,,James
CS62,http://dbpedia.org/resource/James_Patrick_Major,3c363735-fef1-4278-bba5-c8cc4ffcacec,Major,P.,James
CS63,http://dbpedia.org/resource/James_Rold_Chalmers,fd7cdb21-03cc-4b81-b697-86043f0b00da,Chalmers,R.,James
CS64,,53c12fca-3989-44af-a46f-2de2bdc218e1,Rains,S.,James
CS65,http://dbpedia.org/resource/Jeremiah_V._Cockrell,230d1f45-4ece-43b2-a42f-4a7eef043702,Cockrell,Vard,Jeremiah
CS66,http://dbpedia.org/resource/Joel_Allen_Battle,bea19d58-760b-49bb-80d6-1f3db517f22f,Battle,A.,Joel
CS67,"http://dbpedia.org/resource/John_Bullock_Clark,_Jr.",bfab9af5-0976-464c-bd74-f04426f499ba,Clark,B.,John
CS68,http://dbpedia.org/resource/John_Brown_Gordon,bc4a67e5-b1be-43e1-9a83-240f4fe5346b,Gordon,B.,John
CS69,http://dbpedia.org/resource/John_B._Magruder,256b790f-0cad-46d6-80aa-7e176890da83,Magruder,B.,John
CS7,http://dbpedia.org/resource/Alfred_Mouton,78a5beff-63c4-42ef-a506-0eef45bcc8ad,Mouton,,Alfred
CS70,http://dbpedia.org/resource/John_Bell_Hood,84b6d739-3384-4291-86ba-f75ae6637069,Hood,Bell,John
CS71,http://dbpedia.org/resource/John_C._Breckinridge,f6caa729-7cfc-4aec-a064-e40c1cfdf01b,Breckinridge,C.,John
CS72,http://dbpedia.org/resource/John_C._Pemberton,03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Pemberton,C.,John
CS73,http://dbpedia.org/resource/John_Echols,44b1acbb-5772-49a7-9abb-60a3eea27bfc,Echols,,John
CS74,http://dbpedia.org/resource/John_B._Floyd,a35f09f2-1d82-485d-96c1-00e23cc44a16,Floyd,,John
CS75,http://dbpedia.org/resource/John_Gregg_(CSA),55cf9433-a8d5-4665-96cc-3f8dd99995ef,Gregg,,John
CS76,http://dbpedia.org/resource/John_Hunt_Morgan,813a4704-9ba5-4fda-b14d-f0c9136f575a,Morgan,Hunt,John
CS79,http://dbpedia.org/resource/John_McCausland,67b5534a-73a9-4652-b762-312ca56436c8,McCausland,,John
CS8,http://dbpedia.org/resource/Ambrose_R._Wright,d0779979-1010-4b55-abe4-24977d8cb5f3,Wright,,Ambrose
CS81,http://dbpedia.org/resource/John_Pegram_(general),488ca773-3d4d-4cdb-b636-1bc4c39b119c,Pegram,,John
CS82,,7aa288ec-f00b-41a0-af8c-447d625390bb,Burbridge,Q.,John
CS84,http://dbpedia.org/resource/John_S._Bowen,121a2f46-8937-472b-aca1-7a6afd0d8f57,Bowen,S.,John
CS85,http://dbpedia.org/resource/John_S._Marmaduke,7b7bfdd4-920e-4d28-a2eb-44e33941d4b0,Marmaduke,S.,John
CS86,http://dbpedia.org/resource/John_Stuart_Williams,90c5f347-8e4a-4244-8b76-978cfb6fb65d,Williams,S.,John
CS89,http://dbpedia.org/resource/Johnson_Hagood_(governor),ab232acd-f2f4-4776-9a87-570765a95ad6,Hagood,,Johnson
CS9,http://dbpedia.org/resource/Beverly_Robertson,06b8daf9-11b4-4e8b-9af4-8adaaa9b1d9c,Robertson,,Beverly
CS91,http://dbpedia.org/resource/Joseph_C._Porter,0d613f5d-3504-48ea-ab91-8e807307e7f9,Porter,C.,Joseph
CS92,http://dbpedia.org/resource/Joseph_E._Johnston,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,E.,Joseph
CS93,http://dbpedia.org/resource/Joseph_Finnegan_(Brigadier_general),488f8bc8-8cb9-4ad0-ab8f-82fd06799387,Finegan,,Joseph
CS95,http://dbpedia.org/resource/Joseph_O._Shelby,874fad05-2f21-424a-8f03-1358747940d4,Shelby,,Joseph
CS96,http://dbpedia.org/resource/Joseph_Wheeler,22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7,Wheeler,,Joseph
CS97,http://dbpedia.org/resource/Jubal_Early,77a0625d-2996-4af0-b46f-db7388f851d5,Early,A.,Jubal
CS98,http://dbpedia.org/resource/Lafayette_McLaws,90903b53-9a64-4cb6-8d68-a525cc3c0ac3,McLaws,,Lafayette
CS99,http://dbpedia.org/resource/Leonidas_Polk,e71bce51-e400-4ab2-a3a4-4fec249ca448,Polk,,Leonidas
US1,http://dbpedia.org/resource/Andrew_A._Humphreys,0739970d-f176-49aa-958c-f26397e326bb,Humphreys,,A.A.
US10,,c55e883a-d863-4734-a379-39b9aee91a36,Hall,S.,Albert
US100,http://dbpedia.org/resource/Joseph_B._Plummer,4d4f0629-ef04-4744-a2fa-f1de813a61ab,Plummer,,J.B.
US101,http://dbpedia.org/resource/John_C._Caldwell,10a2108a-97b6-4443-b672-7ff287420770,Caldwell,,J.C.
US102,http://dbpedia.org/resource/James_Henry_Lane_(Union_general),ae5ec1e6-412c-4769-a108-56f59955df85,Lane,,J.H.
US103,http://dbpedia.org/resource/Jacob_Dolson_Cox,322caa07-991a-497a-91dc-38cead426f64,Cox,D.,Jacob
