"battle","belligerent","commander_number","PersonID","last_name","first_name","middle_name","middle_initial","rank","navy"
"MO015","Confederate",2,"716a36b9-d4d4-4925-b23c-8306d9c01a57","Thompson","Gideon","","W.","Colonel",0
"MO015","Confederate",3,"34987df9-c3da-4e66-a7ef-39d982ac4290","Hays","Upton","","","Colonel",0
"MO016","Confederate",1,"0585679d-c4d3-46b9-a774-1c06c6d7f9e9","Cooper","Douglas","Hancock","H.","Colonel",0
"MO017","Confederate",1,"7aa288ec-f00b-41a0-af8c-447d625390bb","Burbridge","John","","Q.","Colonel",0
"MO017","Confederate",2,"d0448aad-c7ec-418b-ad15-845e7ada97b3","Greene","Colton","","","Colonel",0
"MO018","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"MO019","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"MO020","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"MO021","Confederate",1,"8f232cc9-43e7-4627-ab45-d8fe6873c472","Price","Sterling","","","Major General",0
"MO022","Confederate",1,"874fad05-2f21-424a-8f03-1358747940d4","Shelby","Joseph","Orville","O.","Brigadier General",0
"MO022","Confederate",2,"bfab9af5-0976-464c-bd74-f04426f499ba","Clark","John","Bullock","B.","Brigadier General",0
"MO023","Confederate",1,"8f232cc9-43e7-4627-ab45-d8fe6873c472","Price","Sterling","","","Major General",0
"MO024","Confederate",1,"8f232cc9-43e7-4627-ab45-d8fe6873c472","Price","Sterling","","","Major General",0
"MO025","Confederate",1,"66599684-582c-4caa-aff0-7220f9c67c1f","Fagan","James","Fleming","F.","Brigadier General",0
"MO025","Confederate",2,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"MO026","Confederate",1,"874fad05-2f21-424a-8f03-1358747940d4","Shelby","Joseph","Orville","O.","Brigadier General",0
"MO026","Confederate",2,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
