,X,uri,fuzzy_name
126,470,http://dbpedia.org/resource/17th_Kansas_Militia_Infantry_Regiment,17th Kansas Militia Infantry Regiment
422,1645,http://dbpedia.org/resource/17th_Regiment_Kansas_Volunteer_Infantry,17th Regiment Kansas Volunteer Infantry
229,846,,17th Regiment Kentucky Volunteer Infantry
357,1376,http://dbpedia.org/resource/18th_Kansas_Militia_Infantry_Regiment,18th Kansas Militia Infantry Regiment
302,1150,,18th Regiment Kentucky Volunteer Infantry
441,1746,http://dbpedia.org/resource/18th_Vermont_Volunteer_Infantry_Regiment,18th Vermont Volunteer Infantry Regiment
257,967,http://dbpedia.org/resource/198th_Signal_Battalion_(United_States),198th Signal Battalion (United States)
199,744,http://dbpedia.org/resource/19th_and_24th_Consolidated_Arkansas_Infantry_Regiment,19th and 24th Consolidated Arkansas Infantry Regiment
168,631,http://dbpedia.org/resource/19th_Kansas_Militia_Infantry_Regiment,19th Kansas Militia Infantry Regiment
132,483,,19th Regiment Kentucky Volunteer Infantry
492,1960,http://dbpedia.org/resource/19th_Regiment_Maryland_Volunteer_Infantry,19th Regiment Maryland Volunteer Infantry
312,1174,http://dbpedia.org/resource/1st_Arkansas_Consolidated_Infantry_Regiment_(Trans-Mississippi),1st Arkansas Consolidated Infantry Regiment (Trans-Mississippi)
238,876,http://dbpedia.org/resource/1st_Colorado_Infantry_Regiment,1st Colorado Infantry Regiment
564,2290,http://dbpedia.org/resource/1st_Iowa_Volunteer_Infantry_Regiment_(African_Descent),1st Iowa Volunteer Infantry Regiment (African Descent)
60,234,http://dbpedia.org/resource/1st_Kansas_Militia_Infantry_Regiment,1st Kansas Militia Infantry Regiment
172,645,,1st Kentucky Artillery
264,983,http://dbpedia.org/resource/1st_Maine_Battery,1st Maine Battery
562,2277,http://dbpedia.org/resource/1st_Minnesota_Sharpshooters_Company,1st Minnesota Sharpshooters Company
546,2200,,1st Minnesota Volunteer Cavalry Regiment
57,223,http://dbpedia.org/resource/1st_Missouri_Regiment_of_Colored_Infantry,1st Missouri Regiment of Colored Infantry
248,930,,1st New Hampshire Light Battery
245,923,http://dbpedia.org/resource/1st_Ohio_Independent_Cavalry_Battalion,1st Ohio Independent Cavalry Battalion
38,152,,1st Regiment Kentucky Volunteer Infantry
282,1051,,1st Regiment Michigan Volunteer Engineers and Mechanics
482,1914,http://dbpedia.org/resource/1st_Regiment_Nebraska_Volunteer_Infantry,1st Regiment Nebraska Volunteer Infantry
536,2163,http://dbpedia.org/resource/1st_Regiment_New_York_Dragoons,1st Regiment New York Dragoons
356,1375,http://dbpedia.org/resource/1st_Regiment_Tennessee_Heavy_Artillery_(African_Descent),1st Regiment Tennessee Heavy Artillery (African Descent)
247,926,http://dbpedia.org/resource/1st_Rhode_Island_Infantry,1st Rhode Island Infantry
554,2248,http://dbpedia.org/resource/1st_Vermont_Brigade,1st Vermont Brigade
549,2216,,1st Virginia Infantry
275,1018,,1st Virginia Infantry Battalion
243,901,http://dbpedia.org/resource/20th_Kansas_Militia_Infantry_Regiment,20th Kansas Militia Infantry Regiment
249,932,,20th Pennsylvania Infantry
365,1400,,20th Texas Infantry
339,1292,http://dbpedia.org/resource/21st_Kansas_Militia_Infantry_Regiment,21st Kansas Militia Infantry Regiment
81,330,,21st Regiment Kentucky Volunteer Infantry
561,2276,http://dbpedia.org/resource/22nd_Kansas_Militia_Infantry_Regiment,22nd Kansas Militia Infantry Regiment
212,791,,22nd Pennsylvania Cavalry
61,237,,22nd Regiment Kentucky Volunteer Infantry
313,1175,,23rd Regiment Kentucky Volunteer Infantry
430,1692,,24th Regiment Kentucky Volunteer Infantry
571,2303,,25th Regiment Kentucky Volunteer Infantry
45,169,,26th Regiment Kentucky Volunteer Infantry
390,1510,http://dbpedia.org/resource/27th_Battalion_Virginia_Partisan_Rangers,27th Battalion Virginia Partisan Rangers
69,284,,27th Regiment Kentucky Volunteer Infantry
106,421,,28th Regiment Kentucky Volunteer Infantry
58,228,,29th Regiment Kentucky Volunteer Infantry
134,487,http://dbpedia.org/resource/2nd_Arkansas_Field_Battery,2nd Arkansas Field Battery
5,14,http://dbpedia.org/resource/2nd_Company_of_Minnesota_Sharpshooters,2nd Company of Minnesota Sharpshooters
444,1759,http://dbpedia.org/resource/2nd_Kansas_Militia_Infantry_Regiment,2nd Kansas Militia Infantry Regiment
190,709,http://dbpedia.org/resource/2nd_Louisiana_Regiment_Native_Guard_Infantry,2nd Louisiana Regiment Native Guard Infantry
182,672,,2nd Louisiana Regiment New Orleans Infantry
379,1478,http://dbpedia.org/resource/2nd_Maine_Battery,2nd Maine Battery
578,2319,http://dbpedia.org/resource/2nd_Missouri_Regiment_of_Colored_Infantry,2nd Missouri Regiment of Colored Infantry
294,1109,http://dbpedia.org/resource/2nd_Regiment_Kansas_Volunteer_Infantry,2nd Regiment Kansas Volunteer Infantry
260,972,http://dbpedia.org/resource/2nd_Regiment_Kansas_Volunteer_Infantry_(Colored),2nd Regiment Kansas Volunteer Infantry (Colored)
42,164,,2nd Regiment Kentucky Volunteer Infantry
16,68,,"2nd Regiment of Cavalry, Massachusetts Volunteers"
521,2093,http://dbpedia.org/resource/2nd_Regiment_Tennessee_Heavy_Artillery_(African_Descent),2nd Regiment Tennessee Heavy Artillery (African Descent)
235,867,http://dbpedia.org/resource/2nd_Vermont_Brigade,2nd Vermont Brigade
305,1157,,30th Regiment Kentucky Volunteer Mounted Infantry
495,1976,,31st Regiment Kentucky Volunteer Infantry
292,1107,,32nd Regiment Kentucky Volunteer Infantry
30,122,,32nd Regiment of New York Volunteers
362,1390,,33rd Regiment Kentucky Volunteer Infantry
174,651,,34th Battalion Virginia Cavalry
104,404,,34th Regiment Kentucky Volunteer Infantry
139,507,,35th Battalion Virginia Cavalry
288,1073,,35th Regiment Kentucky Volunteer Infantry
450,1774,,36th Battalion Virginia Cavalry
432,1716,,37th Battalion Virginia Cavalry
319,1217,,39th Regiment Kentucky Volunteer Infantry
188,694,http://dbpedia.org/resource/3rd_Kansas_Militia_Infantry_Regiment,3rd Kansas Militia Infantry Regiment
512,2044,http://dbpedia.org/resource/3rd_Louisiana_Regiment_Native_Guard_Infantry,3rd Louisiana Regiment Native Guard Infantry
360,1385,http://dbpedia.org/resource/3rd_Maine_Battery,3rd Maine Battery
406,1583,http://dbpedia.org/resource/3rd_Missouri_Regiment_of_Colored_Infantry,3rd Missouri Regiment of Colored Infantry
88,343,"http://dbpedia.org/resource/3rd_Missouri,_US_Reserve_Corps_Infantry_(3_months,_1861)","3rd Missouri, US Reserve Corps Infantry (3 months, 1861)"
125,467,,3rd Regiment Kentucky Volunteer Infantry
307,1162,,41st Battalion Virginia Cavalry
17,76,http://dbpedia.org/resource/43rd_Battalion_Virginia_Cavalry,43rd Battalion Virginia Cavalry
52,203,,46th Battalion Virginia Cavalry
473,1876,,47th Battalion Virginia Cavalry
460,1817,http://dbpedia.org/resource/4th_Kansas_Militia_Infantry_Regiment,4th Kansas Militia Infantry Regiment
493,1968,http://dbpedia.org/resource/4th_Maine_Battery,4th Maine Battery
321,1223,,4th Pennsylvania Cavalry
545,2198,,4th Regiment Massachusetts Volunteer Heavy Artillery
476,1884,"http://dbpedia.org/resource/4th_U.S._Light_Artillery,_Battery_H","4th U.S. Light Artillery, Battery H"
63,244,"http://dbpedia.org/resource/4th_U.S._Light_Artillery,_Battery_I","4th U.S. Light Artillery, Battery I"
535,2160,"http://dbpedia.org/resource/4th_U.S._Light_Artillery,_Battery_M","4th U.S. Light Artillery, Battery M"
46,172,http://dbpedia.org/resource/4th_Wisconsin_Volunteer_Regiment,4th Wisconsin Volunteer Regiment
