BattlefieldCode,belligerent,commander_number,commander
LA022,Confederate,1,dd70b0b4-401c-47ce-b3fb-a2b68da3194c
LA022,US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3
LA023,Confederate,1,dd70b0b4-401c-47ce-b3fb-a2b68da3194c
LA023,US,1,20e1eb2c-b6ef-40fd-9762-ebbac239e67b
MD001,Confederate,1,21d06a25-9c4f-4dea-a766-f60d20632999
MD001,US,1,fdae3f67-9283-4185-8511-2a1a6c974127
MD002,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f
MD002,US,1,113829b2-e1ff-4458-8dce-9a4da30810dd
MD003,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f
MD003,US,1,113829b2-e1ff-4458-8dce-9a4da30810dd
MD004,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f
MD004,US,1,15a8b826-e060-430a-bb4c-61936b75252e
MD006,Confederate,1,6df9b482-4757-474f-80a9-bd1d82228a63
MD006,US,1,90849b39-6f3a-4d88-af29-ddded5d1733a
MD007,Confederate,1,77a0625d-2996-4af0-b46f-db7388f851d5
MD007,US,1,2a86c08b-654e-47fd-a1a4-3c79cedcbceb
MD008,Confederate,1,67b5534a-73a9-4652-b762-312ca56436c8
MD008,US,1,d17d8043-2102-4329-8363-06b6a3dc04c0
MN001,Native American,1,0e8387e5-8e55-40e0-be54-2bd0b781aebb
MN001,US,1,3b15e83c-c6ea-49ff-8d24-6a6417ee0992
MN002,Confederate,1,0e8387e5-8e55-40e0-be54-2bd0b781aebb
MN002,US,1,9839110b-154f-4796-aa4f-dd402e2382ca
MO001,Confederate,1,7b7bfdd4-920e-4d28-a2eb-44e33941d4b0
MO001,US,1,a590cf3d-2e52-49bb-83fc-dd1911ba651d
MO002,Confederate,1,5dd70580-bef1-4fd8-aa2a-c286446fed9c
MO002,US,1,2f47ce28-50f4-4728-8a6f-01d50726a032
MO003,Confederate,1,b3f983fa-c518-4e8e-8747-97f65104077a
MO003,US,1,a39669a8-b6d8-45a2-a0d3-e2a08065f296
MO004,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472
MO004,US,1,a590cf3d-2e52-49bb-83fc-dd1911ba651d
MO004,Confederate,2,536cbc9d-7b3e-4225-a660-25374cc1026e
MO004,US,2,4a50678b-9211-4c6a-828e-d9607876849a
MO005,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472
MO005,US,1,ae5ec1e6-412c-4769-a108-56f59955df85
MO005,Confederate,2,53c12fca-3989-44af-a46f-2de2bdc218e1
MO006,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472
