battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
WV012,CS,,,,,,,,,,,,,,,,,,,,,,
GA020,US,,,,,,,,,,,,,,,,,,,,,,
GA020,CS,,,,,,,,,,,,,,,,,,,,,,
GA011,CS,,,,,,,,,,,,,,,,,,,,,,
AL002,US,,,,,,,,,,,,,,,,,,,,,,
AL002,CS,,,,,,,,,,,,,,,,,,,,,,
LA004,US,,,,,,,,,,,,,,,,,,,,,,
LA004,CS,,,,,,,,,,,,,,,,,,,,,,
KY001,US,,,,,,,,,,,,,,,,,,,,,,
KY001,CS,,,,,,,,,,,,,,,,,,,,,,
VA026,US,,,,,,,,,,,,,,,,,,,,,,
VA026,CS,,,,,,,,,,,,,,,,,,,,,,
WV004,US,,,,,,,,,,,,,,,,,,,,,,
WV004,CS,,,,,,,,,,,,,,,,,,,,,,
VA102,US,,,,,,,,,,,,,,,,,,,,,,
VA102,CS,,,,,,,,,,,,,,,,,,,,,,
MO002,US,,,,,,,,,,,,,,,,,,,,,,
MO002,CS,,,,,,,,,,,,,,,,,,,,,,
VA077,US,,,,,,,,,,,,,,,,,,,,,,
VA077,CS,,,,,,,,,,,,,,,,,,,,,,
NC003,US,,,,,,,,,,,,,,,,,,,,,,
NC003,CS,,,,,,,,,,,,,,,,,,,,,,
AR012,US,,,,,,,,,,,,,,,,,,,,,,
AR012,CS,,,,,,,,,,,,,,,,,,,,,,
AR006,US,,,,,,,,,,,,,,,,,,,,,,
AR006,CS,,,,,,,,,,,,,,,,,,,,,,
VA120,US,,,,,,,,,,,,,,,,,,,,,,
VA120,CS,,,,,,,,,,,,,,,,,,,,,,
MO019,US,,,,,,,,,,,,,,,,,,,,,,
MO019,CS,,,,,,,,,,,,,,,,,,,,,,
AL003,US,,,,,,,,,,,,,,,,,,,,,,
AL003,CS,,,,,,,,,,,,,,,,,,,,,,
TN021,US,,,,,,,,,,,,,,,,,,,,,,
TN021,CS,,,,,,,,,,,,,,,,,,,,,,
AR016,US,,,,,,,,,,,,,,,,,,,,,,
AR016,CS,,,,,,,,,,,,,,,,,,,,,,
VA070,US,,,,,,,,,,,,,,,,,,,,,,
VA070,CS,,,,,,,,,,,,,,,,,,,,,,
VA073,US,,,,,,,,,,,,,,,,,,,,,,
VA073,CS,,,,,,,,,,,,,,,,,,,,,,
AR018,US,,,,,,,,,,,,,,,,,,,,,,
AR018,CS,,,,,,,,,,,,,,,,,,,,,,
OK007,US,,,,,,,,,,,,,,,,,,,,,,
OK007,CS,,,,,,,,,,,,,,,,,,,,,,
AL001,US,,,,,,,,,,,,,,,,,,,,,,
AL001,CS,,,,,,,,,,,,,,,,,,,,,,
NC009,US,,,,,,,,,,,,,,,,,,,,,,
NC009,CS,,,,,,,,,,,,,,,,,,,,,,
GA003,US,,,,,,,,,,,,,,,,,,,,,,
GA003,CS,,,,,,,,,,,,,,,,,,,,,,
LA009,US,,,,,,,,,,,,,,,,,,,,,,
LA009,CS,,,,,,,,,,,,,,,,,,,,,,
VA104,US,,,,,,,,,,,,,,,,,,,,,,
VA104,CS,,,,,,,,,,,,,,,,,,,,,,
NC005,US,,,,,,,,,,,,,,,,,,,,,,
NC005,CS,,,,,,,,,,,,,,,,,,,,,,
VA002,US,,,,,,,,,,,,,,,,,,,,,,
VA002,CS,,,,,,,,,,,,,,,,,,,,,,
VA118,US,,,,,,,,,,,,,,,,,,,,,,
VA118,CS,,,,,,,,,,,,,,,,,,,,,,
VA101,US,,,,,,,,,,,,,,,,,,,,,,
VA101,CS,,,,,,,,,,,,,,,,,,,,,,
GA016,US,,,,,,,,,,,,,,,,,,,,,,
GA016,CS,,,,,,,,,,,,,,,,,,,,,,
TN022,US,,,,,,,,,,,,,,,,,,,,,,
TN022,CS,,,,,,,,,,,,,,,,,,,,,,
AR009,US,,,,,,,,,,,,,,,,,,,,,,
AR009,CS,,,,,,,,,,,,,,,,,,,,,,
MD008,US,,,,,,,,,,,,,,,,,,,,,,
MD008,CS,,,,,,,,,,,,,,,,,,,,,,
NC011,US,,,,,,,,,,,,,,,,,,,,,,
NC011,CS,,,,,,,,,,,,,,,,,,,,,,
VA010,US,,,,,,,,,,,,,,,,,,,,,,
VA010,CS,,,,,,,,,,,,,,,,,,,,,,
TN034,US,,,,,,,,,,,,,,,,,,,,,,
TN034,CS,,,,,,,,,,,,,,,,,,,,,,
VA027,US,,,,,,,,,,,,,,,,,,,,,,
VA027,CS,,,,,,,,,,,,,,,,,,,,,,
TN031,US,,,,,,,,,,,,,,,,,,,,,,
TN031,CS,,,,,,,,,,,,,,,,,,,,,,
VA036,US,,,,,,,,,,,,,,,,,,,,,,
VA036,CS,,,,,,,,,,,,,,,,,,,,,,
TN037,US,,,,,,,,,,,,,,,,,,,,,,
TN037,CS,,,,,,,,,,,,,,,,,,,,,,
VA050,US,,,,,,,,,,,,,,,,,,,,,,
VA050,CS,,,,,,,,,,,,,,,,,,,,,,
VA030,US,,,,,,,,,,,,,,,,,,,,,,
VA030,CS,,,,,,,,,,,,,,,,,,,,,,
MO026,US,,,,,,,,,,,,,,,,,,,,,,
MO026,CS,,,,,,,,,,,,,,,,,,,,,,
TN026,US,,,,,,,,,,,,,,,,,,,,,,
TN026,CS,,,,,,,,,,,,,,,,,,,,,,
VA039,US,,,,,,,,,,,,,,,,,,,,,,
VA039,CS,,,,,,,,,,,,,,,,,,,,,,
GA013,US,,,,,,,,,,,,,,,,,,,,,,
GA013,CS,,,,,,,,,,,,,,,,,,,,,,
NC002,US,,,,,,,,,,,,,,,,,,,,,,
NC002,CS,,,,,,,,,,,,,,,,,,,,,,
AL005,US,,,,,,,,,,,,,,,,,,,,,,
AL005,CS,,,,,,,,,,,,,,,,,,,,,,
VA083,US,,,,,,,,,,,,,,,,,,,,,,
VA083,CS,,,,,,,,,,,,,,,,,,,,,,
MO025,US,,,,,,,,,,,,,,,,,,,,,,
MO025,CS,,,,,,,,,,,,,,,,,,,,,,
LA016,US,,,,,,,,,,,,,,,,,,,,,,
LA016,CS,,,,,,,,,,,,,,,,,,,,,,
VA124,US,,,,,,,,,,,,,,,,,,,,,,
VA124,CS,,,,,,,,,,,,,,,,,,,,,,
VA059,US,,,,,,,,,,,,,,,,,,,,,,
VA059,CS,,,,,,,,,,,,,,,,,,,,,,
MO013,US,,,,,,,,,,,,,,,,,,,,,,
MO013,CS,,,,,,,,,,,,,,,,,,,,,,
AL006,US,,,,,,,,,,,,,,,,,,,,,,
AL006,CS,,,,,,,,,,,,,,,,,,,,,,
GA027,US,,,,,,,,,,,,,,,,,,,,,,
GA027,CS,,,,,,,,,,,,,,,,,,,,,,
WV002,US,,,,,,,,,,,,,,,,,,,,,,
WV002,CS,,,,,,,,,,,,,,,,,,,,,,
MD006,US,,,,,,,,,,,,,,,,,,,,,,
MD006,CS,,,,,,,,,,,,,,,,,,,,,,
SC006,US,,,,,,,,,,,,,,,,,,,,,,
SC006,CS,,,,,,,,,,,,,,,,,,,,,,
KS004,US,,,,,,,,,,,,,,,,,,,,,,
KS004,CS,,,,,,,,,,,,,,,,,,,,,,
VA018,US,,,,,,,,,,,,,,,,,,,,,,
VA018,CS,,,,,,,,,,,,,,,,,,,,,,
VA071,US,,,,,,,,,,,,,,,,,,,,,,
VA071,CS,,,,,,,,,,,,,,,,,,,,,,
GA028,US,,,,,,,,,,,,,,,,,,,,,,
GA028,CS,,,,,,,,,,,,,,,,,,,,,,
WV016,US,,,,,,,,,,,,,,,,,,,,,,
WV016,CS,,,,,,,,,,,,,,,,,,,,,,
TX006,US,,,,,,,,,,,,,,,,,,,,,,
TX006,CS,,,,,,,,,,,,,,,,,,,,,,
VA054,US,,10000,,,,,,,,,,,,,,,,,,,,
VA054,CS,,10000,,,,,,,,,,,,,,,,,,,,
MS005,US,,,,,,,,,,,,,,,,,,,,,,
MS005,CS,,,,,,,,,,,,,,,,,,,,,,
SC009,US,,,,,,,,,,,,,,,,,,,,,,
SC009,CS,,,,,,,,,,,,,,,,,,,,,,
MD002,US,,,,,,,,,,,,,,,,,,,,,,
MD002,CS,,,,,,,,,,,,,,,,,,,,,,
MD001,US,,,,,,,,,,,,,,,,,,,,,,
MD001,CS,,,,,,,,,,,,,,,,,,,,,,
PA002,US,,,,,,,,,,,,,,,,,,,,,,
