battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
TN018,CS,,,,,,,,,,,,,,,,,,,,,,
TN018,US,,,,,,,,,,,,,,,,,,,,,,
LA020,CS,,,,,,,,,,,,,,,,,,,,,,
LA020,US,,,,,,,,,,,,,,,,,,,,,,
WV015,CS,,,,,,,,,,,,,,,,,,,,,,
WV015,US,,,,,,,,,,,,,,,,,,,,,,
GA008,CS,,,,,,,,,,,,,,,,,,,,,,
GA008,US,,,,,,,,,,,,,,,,,,,,,,
WV003,CS,,,,,,,,,,,,,,,,,,,,,,
WV003,US,,,,,,,,,,,,,,,,,,,,,,
OK005,CS,,,,,,,,,,,,,,,,,,,,,,
OK005,US,,,,,,,,,,,,,,,,,,,,,,
NC019,CS,,,,,,,,,,,,,,,,,,,,,,
NC019,US,,,,,,,,,,,,,,,,,,,,,,
VA013,CS,,,,,,,,,,,,,,,,,,,,,,
VA013,US,,,,,,,,,,,,,,,,,,,,,,
VA052,CS,,,,,,,,,,,,,,,,,,,,,,
VA052,US,,,,,,,,,,,,,,,,,,,,,,
KY003,CS,,,,,,,,,,,,,,,,,,,,,,
KY003,US,,,,,,,,,,,,,,,,,,,,,,
VA020,CS,,,,,,,,,,,,,,,,,,,,,,
VA020,US,,,,,,,,,,,,,,,,,,,,,,
TN021,CS,,,,,,,,,,,,,,,,,,,,,,
TN021,US,,,,,,,,,,,,,,,,,,,,,,
TN012,CS,,,,,,,,,,,,,,,,,,,,,,
TN012,US,,,,,,,,,,,,,,,,,,,,,,
VA033,CS,,,,,,,,,,,,,,,,,,,,,,
VA033,US,,,,,,,,,,,,,,,,,,,,,,
LA023,CS,,,,,,,,,,,,,,,,,,,,,,
LA023,US,,,,,,,,,,,,,,,,,,,,,,
TN017,CS,,,,,,,,,,,,,,,,,,,,,,
TN017,US,,,,,,,,,,,,,,,,,,,,,,
KS001,CS,,,,,,,,,,,,,,,,,,,,,,
KS001,US,,,,,,,,,,,,,,,,,,,,,,
FL004,CS,,,,,,,,,,,,,,,,,,,,,,
FL004,US,,,,,,,,,,,,,,,,,,,,,,
AR004,CS,,,,,,,,,,,,,,,,,,,,,,
AR004,US,,,,,,,,,,,,,,,,,,,,,,
MO007,CS,,,,,,,,,,,,,,,,,,,,,,
MO007,US,,,,,,,,,,,,,,,,,,,,,,
VA065,CS,,,,,,,,,,,,,,,,,,,,,,
VA065,US,,,,,,,,,,,,,,,,,,,,,,
VA044,CS,,,,,,,,,,,,,,,,,,,,,,
VA044,US,,,,,,,,,,,,,,,,,,,,,,
NM002,CS,,,,,,,,,,,,,,,,,,,,,,
NM002,US,,,,,,,,,,,,,,,,,,,,,,
GA004,CS,,,,,,,,,,,,,,,,,,,,,,
GA004,US,,,,,,,,,,,,,,,,,,,,,,
NC003,CS,,,,,,,,,,,,,,,,,,,,,,
NC003,US,,,,,,,,,,,,,,,,,,,,,,
OK002,CS,,,,,,,,,,,,,,,,,,,,,,
OK002,US,,,,,,,,,,,,,,,,,,,,,,
GA003,CS,,,,,,,,,,,,,,,,,,,,,,
GA003,US,,,,,,,,,,,,,,,,,,,,,,
MD001,CS,,,,,,,,,,,,,,,,,,,,,,
MD001,US,,,,,,,,,,,,,,,,,,,,,,
LA015,CS,,,,,,,,,,,,,,,,,,,,,,
LA015,US,,,,,,,,,,,,,,,,,,,,,,
LA002,CS,,,,,,,,,,,,,,,,,,,,,,
LA002,US,,,,,,,,,,,,,,,,,,,,,,
GA026,CS,,,,,,,,,,,,,,,,,,,,,,
GA026,US,,,,,,,,,,,,,,,,,,,,,,
