battle,combatant,fullname,rank,first_name,last_name,middle_name,suffix
MD007,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
MD007,US,Lew Wallace,Major General,Lew,Wallace,,
MD008,CS,John McCausland,Brigadier General,John,McCausland,,
MD008,US,Benjamin F. Kelly,Brigadier General,Benjamin,Kelly,F.,
MN001,I,Little Crow,Chief,Little,Crow,,
MN001,US,Timothy J. Sheehan,First Lieutenant,Timothy,Sheehan,J.,
MN002,I,Little Crow,Chief,Little,Crow,,
MN002,US,Henry Hastings Sibley,Colonel,Henry,Sibley,Hastings,
MO001,CS,John S. Marmaduke,Colonel,John,Marmaduke,S.,
MO001,US,Nathaniel Lyon,Brigadier General,Nathaniel,Lyon,,
MO002,US,Franz Sigel,Colonel,Franz,Sigel,,
MO003,US,John Scott,Lieutenant Colonel,John,Scott,,
MO004,US,Nathaniel Lyon,Brigadier General,Nathaniel,Lyon,,
MO004,US,Samuel D. Sturgis,Major General,Samuel,Sturgis,D.,
MO005,CS,Sterling Price,Major General,Sterling,Price,,
MO005,CS,James S. Rains,Brigadier General,James,Rains,S.,
MO005,US,J.H. Lane,Colonel,J.H.,Lane,,
MO006,CS,Sterling Price,Major General,Sterling,Price,,
MO006,US,James A. Mulligan,Colonel,James,Mulligan,A.,
MO007,CS,M. Jeff Thompson,Brigadier General,M.,Thompson,Jeff,
MO007,US,J.B. Plummer,Colonel,J.B.,Plummer,,
MO007,US,William P. Carlin,Colonel,William,Carlin,P.,
MO008,CS,James Frazier,Colonel,James,Frazier,,
MO008,US,James Zagonyi,Major,James,Zagonyi,,
MO009,CS,Gideon J. Pillow,Brigadier General,Gideon,Pillow,J.,
MO009,US,Ulysses S. Grant,Brigadier General,Ulysses,Grant,S.,
MO010,CS,Caleb Dorsey,Colonel,Caleb,Dorsey,,
MO010,US,Benjamin M. Prentiss,Brigadier General,Benjamin,Prentiss,M.,
MO011,CS,J.A. Poindexter,Colonel,J.A.,Poindexter,,
MO011,US,W.M.G. Torrence,Major,W.M.G.,Torrence,,
MO012,CS,John P. McCown,Brigadier General,John,McCown,P.,
MO012,CS,William W. Mackall,Brigadier General,William,Mackall,W.,
MO012,US,John Pope,Brigadier General,John,Pope,,
MO012,US,Andrew H. Foote,Flag Officer,Andrew,Foote,H.,
MO013,CS,Joseph C. Porter,Colonel,Joseph,Porter,C.,
MO013,US,John McNeil,Colonel,John,McNeil,,
MO014,CS,J.T. Hughes,Colonel,J.T.,Hughes,,
MO014,CS,G.W. Thompson,Colonel,G.W.,Thompson,,
MO014,US,James T. Buel,Lieutenant Colonel,James,Buel,T.,
MO015,CS,Jeremiah Vard Cockrell,Colonel,Jeremiah,Cockrell,Vard,
MO015,CS,G.W. Thompson,Colonel,G.W.,Thompson,,
MO015,CS,Upton Hays,Colonel,Upton,Hays,,
MO015,US,Emory S. Foster,Major,Emory,Foster,S.,
MO016,CS,Douglas H. Cooper,Colonel,Douglas,Cooper,H.,
MO016,US,Friedrich Salomon,Brigadier General,Friedrich,Salomon,,
MO017,CS,John Q. Burbridge,Colonel,John,Burbridge,Q.,
MO017,CS,Colton Greene,Colonel,Colton,Greene,,
MO017,US,Hiram E. Barstow,Captain,Hiram,Barstow,E.,
MO018,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
MO018,US,Egbert B. Brown,Brigadier General,Egbert,Brown,B.,
MO019,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
MO019,US,Samuel Merrill,Colonel,Samuel,Merrill,,
MO020,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
MO020,US,John McNeil,Brigadier General,John,McNeil,,
MO021,CS,Sterling Price,Major General,Sterling,Price,,
MO021,US,Thomas Ewing Jr.,Brigadier General,Thomas,Ewing,,Jr.
MO022,CS,John B. Clark,Brigadier General,John,Clark,B.,
MO022,CS,Joseph Shelby,Brigadier General,Joseph,Shelby,,
MO022,US,Chester Harding,Colonel,Chester,Harding,,
MO023,CS,Sterling Price,Major General,Sterling,Price,,
MO023,US,James G. Blunt,Major General,James,Blunt,G.,
MO024,CS,Sterling Price,Major General,Sterling,Price,,
MO024,US,Samuel R. Curtis,Major General,Samuel,Curtis,R.,
MO025,CS,James F. Fagan,Brigadier General,James,Fagan,F.,
MO025,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
MO025,US,Alfred Pleasonton,Major General,Alfred,Pleasonton,,
MO026,CS,Joseph Shelby,Brigadier General,Joseph,Shelby,,
MO026,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
MO026,US,James G. Blunt,Major General,James,Blunt,G.,
MO026,US,Alfred Pleasonton,Major General,Alfred,Pleasonton,,
MO027,CS,Sterling Price,Major General,Sterling,Price,,
MO027,US,Samuel R. Curtis,Major General,Samuel,Curtis,R.,
MO028,CS,Sterling Price,Major General,Sterling,Price,,
MO028,US,John McNeil,Brigadier General,John,McNeil,,
MO029,CS,Sterling Price,Major General,Sterling,Price,,
MO029,US,James G. Blunt,Major General,James,Blunt,G.,
MS001,CS,Sterling Price,Major General,Sterling,Price,,
MS001,US,William S. Rosecrans,Major General,William,Rosecrans,S.,
