year,date,event1,event2,event3,event4,event5,event6,event7,event8,
1862,Thurs 22 May,"Corinth Campaign, Miss.",,,,,,,,
1862,Fri 23 May,"Front Royal I, Va.@ Lewisburg, Va.@ Corinth Campaign, Miss.",,,,,,,,
1862,Sat 24 May,"Newtown, Va.@  Corinth Campaign, Miss.",,,,,,,,
1862,Sun 25 May,"Winchester II, Va.@ Corinth Campaign, Miss.",,,,,,,,
1862,Mon 26 May,"Corinth Campaign, Miss.",,,,,,,,
1862,Tues 27 May,"Hanover Court House I, Va. (Slash Church, Peake's Station, Kinney's Farm I)  ","Corinth Campaign, Miss.",,,,,,,
1862,Fri 30 May,"Corinth I, Miss. (Campaign ended) ","Front Royal H, Va","Booneville I, Miss.",,,,,,
1862,Sat 31 May,"Fair Oaks I, Va. (Seven Pines)",,,,,,,,
1862,Sun 1 June,"Fair Oaks, Va. (Seven Pines)",,,,,,,,
1862,Wed 4 June,"Fort Pillow I, Tenn. (USS Benton and five other ships)",,,,,,,,
1862,Thurs 5 June," Memphis I, Tenn.","Fort Pillow I, Tenn.",,,,,,,
1862,Fri 6 June,"Memphis I, Tenn. (USS Queen of the West and three other ships vs. CSS Van Dorn and seven other ships)  ","Fort Pillow I, Tenn.",,,,,,,
1862,Sun 8 June,"Cross Keys, Va. (Union Church)",,,,,,,,
1862,Mon 9 June," Grand Gulf I, Miss.","Port Republic I, Va.",,,,,,,
1862,Fri 13 June,"New Market I, Va.",,,,,,,,
1862,Mon 16 June,"Secessionville, S.C. (James Island, Fort Johnson)",,,,,,,,
1862,Wed 18 June,"Cumberland Gap I, Tenn.",,,,,,,,
1862,Wed 25 June,"The Seven Days (Oak Grove, Henrico, French's Field, King's Schoolhouse, The Orchard, Meadow Bridge, Va.)",,,,,,,,
1862,Thurs 26 June,"The Seven Days (Mechanicsville I, Ellerson's Mill, Beaver Dam Creek, Meadow Bridge, Va.)",,,,,,,,
1862,Fri 27 June,"The Seven Days (Gaines's Mill I, Cold Harbor I, Kinney's Farm II, Hanover Court House II, Chickahominy, Va.)",,,,,,,,
1862,Sat 28 June,"The Seven Days (Garnett's Farm, Golding's Farm, Dispatch Station, Boatswain's Swamp, White House Landing, Va.)",,,,,,,,
1862,Sun 29 June,"The Seven Days (Savage's Station, Peach Orchard, Allen's Farm, Fair Oaks Station, James River Road, Va.)",,,,,,,,
1862,Mon 30 June,"The Seven Days (Glendale, Frayser's Farm, White Oak Swamp, Charles City Crossroads, New Market Road I, Willis Church, Turkey Bridge, Nelson's Crossroads, Nelson's Farm, Malvern Cliff, Va.)",,,,,,,,
1862,Tues 1 July,"The Seven Days (Malvern Hill I, Crew's Farm, Turkey Run, Poindexter's Farm, Va.) "," Booneville II, Miss.",,,,,,,
1862,Fri 4 July,"USS Maratanza vs. CSS Teaser, James River I, Va.  Morgan's Raid I commenced (Knoxville I, Sparta I, Tenn.)",,,,,,,,
1862,Sat 5 July,Morgan's Raid I,,,,,,,,
1862,Sun 6 July,Morgan's Raid I,"Forrest's Raid I commenced (McMinnville I, Tenn.)"," Devall's Bluff, Ark.  ",,,,,,
1862,Mon 7 July,Morgan's Raid I Forrest's Raid I,,,,,,,,
1862,Tues 8 July,"Morgan's Raid I (Celina, Tenn.) ",Forrest's Raid I,,,,,,,
