battle,belligerent,fullname,rank,navy,first_name,last_name,middle_name,suffix
MO005,US,J.H. Lane,Colonel,0,J.H.,Lane,,
MO006,CS,Sterling Price,Major General,0,Sterling,Price,,
MO006,US,James A. Mulligan,Colonel,0,James,Mulligan,A.,
MO007,CS,M. Jeff Thompson,Brigadier General,0,M.,Thompson,Jeff,
MO007,US,J.B. Plummer,Colonel,0,J.B.,Plummer,,
MO007,US,William P. Carlin,Colonel,0,William,Carlin,P.,
MO008,CS,James Frazier,Colonel,0,James,Frazier,,
MO008,US,James Zagonyi,Major,0,James,Zagonyi,,
MO009,CS,Gideon J. Pillow,Brigadier General,0,Gideon,Pillow,J.,
MO009,US,Ulysses S. Grant,Brigadier General,0,Ulysses,Grant,S.,
MO010,CS,Caleb Dorsey,Colonel,0,Caleb,Dorsey,,
MO010,US,Benjamin M. Prentiss,Brigadier General,0,Benjamin,Prentiss,M.,
MO011,CS,J.A. Poindexter,Colonel,0,J.A.,Poindexter,,
MO011,US,W.M.G. Torrence,Major,0,W.M.G.,Torrence,,
MO012,CS,John P. McCown,Brigadier General,0,John,McCown,P.,
MO012,CS,William W. Mackall,Brigadier General,0,William,Mackall,W.,
MO012,US,John Pope,Brigadier General,0,John,Pope,,
MO012,US,Andrew H. Foote,Flag Officer,1,Andrew,Foote,H.,
MO013,CS,Joseph C. Porter,Colonel,0,Joseph,Porter,C.,
MO013,US,John McNeil,Colonel,0,John,McNeil,,
MO014,CS,J.T. Hughes,Colonel,0,J.T.,Hughes,,
MO014,CS,G.W. Thompson,Colonel,0,G.W.,Thompson,,
MO014,US,James T. Buel,Lieutenant Colonel,0,James,Buel,T.,
MO015,CS,Jeremiah Vard Cockrell,Colonel,0,Jeremiah,Cockrell,Vard,
MO015,CS,G.W. Thompson,Colonel,0,G.W.,Thompson,,
MO015,CS,Upton Hays,Colonel,0,Upton,Hays,,
MO015,US,Emory S. Foster,Major,0,Emory,Foster,S.,
MO016,CS,Douglas H. Cooper,Colonel,0,Douglas,Cooper,H.,
MO016,US,Friedrich Salomon,Brigadier General,0,Friedrich,Salomon,,
MO017,CS,John Q. Burbridge,Colonel,0,John,Burbridge,Q.,
MO017,CS,Colton Greene,Colonel,0,Colton,Greene,,
MO017,US,Hiram E. Barstow,Captain,0,Hiram,Barstow,E.,
MO018,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
