"battle","battle_name","belligerent","commander","commander_dbpedia","rank"
"VA002","Aquia Creek","US","James H. Ward","http://dbpedia.org/resource/James_H._Ward","Commander"
"VA003","Big Bethel","CS","D.H. Hill","http://dbpedia.org/resource/Daniel_Harvey_Hill","Colonel"
"VA003","Big Bethel","US","Ebenezer Pierce","http://dbpedia.org/resource/Ebenezer_W._Peirce","Brigadier General"
"VA003","Big Bethel","CS","John B. Magruder","http://dbpedia.org/resource/John_B._Magruder","Colonel"
"VA004","Blackburns Ford","US","Irvin McDowell","http://dbpedia.org/resource/Irvin_McDowell","Brigadier General"
"VA004","Blackburns Ford","CS","P.G.T. Beauregard","http://dbpedia.org/resource/P._G._T._Beauregard","Brigadier General"
"VA005","Manassas, First","US","Irvin McDowell","http://dbpedia.org/resource/Irvin_McDowell","Brigadier General"
"VA005","Manassas, First","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","Brigadier General"
"VA005","Manassas, First","CS","P.G.T. Beauregard","http://dbpedia.org/resource/P._G._T._Beauregard","Brigadier General"
"VA006","Balls Bluff","US","Charles P. Stone","http://dbpedia.org/resource/Charles_Pomeroy_Stone","Brigadier General"
"VA006","Balls Bluff","US","Edward Baker","http://dbpedia.org/resource/Edward_Dickinson_Baker","Colonel"
"VA006","Balls Bluff","CS","Nathan Evans","http://dbpedia.org/resource/Nathan_George_Evans","Brigadier General"
"VA007","Dranesville","US","Edward O.C. Ord","http://dbpedia.org/resource/Edward_Ord","Brigadier General"
"VA007","Dranesville","CS","J.E.B. Stuart","http://dbpedia.org/resource/J.E.B._Stuart","Brigadier General"
"VA008","Hampton Roads","CS","Catesby R. Jones","http://dbpedia.org/resource/Catesby_ap_Roger_Jones","Lieutenant"
"VA008","Hampton Roads","CS","Franklin Buchanan","http://dbpedia.org/resource/Franklin_Buchanan","Captain (Naval)"
"VA008","Hampton Roads","US","John Worden","http://dbpedia.org/resource/John_Lorimer_Worden","Lieutenant"
"VA009","Yorktown","US","George B. McClellan","http://dbpedia.org/resource/George_B._McClellan","Major General"
"VA009","Yorktown","CS","John B. Magruder","http://dbpedia.org/resource/John_B._Magruder","Major General"
"VA009","Yorktown","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"VA010","Williamsburg","US","George B. McClellan","http://dbpedia.org/resource/George_B._McClellan","Major General"
"VA010","Williamsburg","CS","James Longstreet","http://dbpedia.org/resource/James_Longstreet","Major General"
"VA011","Elthams Landing","CS","Gustavius W. Smith","http://dbpedia.org/resource/Gustavus_Woodson_Smith","Major General"
"VA011","Elthams Landing","US","William B. Franklin","http://dbpedia.org/resource/William_B._Franklin","Brigadier General"
"VA012","Drewrys Bluff","CS","E. Farrand","NA","Commander"
"VA012","Drewrys Bluff","US","John Rodgers","http://dbpedia.org/resource/John_Rodgers_(American_Civil_War_naval_officer)","Commander"
"VA012","Drewrys Bluff","CS","John Taylor Wood","http://dbpedia.org/resource/John_Taylor_Wood","Lieutenant"
"VA012","Drewrys Bluff","CS","S. S. Lee","NA","Captain (Naval)"
"VA012","Drewrys Bluff","CS","William Mahone","http://dbpedia.org/resource/William_Mahone","Brigadier General"
"VA013","Hanover Court House","US","Fitz John Porter","http://dbpedia.org/resource/Fitz_John_Porter","Brigadier General"
"VA014","Seven Pines","US","George B. McClellan","http://dbpedia.org/resource/George_B._McClellan","Major General"
"VA014","Seven Pines","CS","Gustavius W. Smith","http://dbpedia.org/resource/Gustavus_Woodson_Smith","Major General"
"VA014","Seven Pines","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"VA015","Oak Grove","US","George B. McClellan","http://dbpedia.org/resource/George_B._McClellan","Major General"
"VA015","Oak Grove","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
