"id_from","id_to","relation"
"TN027","http://dbpedia.org/resource/Battle_of_Mossy_Creek","="
"TN028","http://dbpedia.org/resource/Battle_of_Dandridge","="
"TN029","http://dbpedia.org/resource/Battle_of_Fair_Garden","="
"TN030","http://dbpedia.org/resource/Battle_of_Fort_Pillow","="
"TN031","http://dbpedia.org/resource/Second_Battle_of_Memphis","="
"TN032","http://dbpedia.org/resource/Battle_of_Johnsonville","="
"TN033","http://dbpedia.org/resource/Battle_of_Bull's_Gap","="
"TN034","http://dbpedia.org/resource/Battle_of_Columbia","="
"TN035","http://dbpedia.org/resource/Battle_of_Spring_Hill","="
"TN036","http://dbpedia.org/resource/Battle_of_Franklin_(1864)","="
"TN037","http://dbpedia.org/resource/Third_Battle_of_Murfreesboro","="
"TN038","http://dbpedia.org/resource/Battle_of_Nashville","="
"TX001","http://dbpedia.org/resource/First_Battle_of_Sabine_Pass","="
"TX002","http://dbpedia.org/resource/Battle_of_Galveston_Harbor_(1862)","="
"TX003","http://dbpedia.org/resource/Battle_of_Galveston","="
"TX005","http://dbpedia.org/resource/Battle_of_Palmito_Ranch","="
"TX006","http://dbpedia.org/resource/Second_Battle_of_Sabine_Pass","="
"VA001","http://dbpedia.org/resource/Battle_of_Sewell's_Point","="
"VA002","http://dbpedia.org/resource/Battle_of_Aquia_Creek","="
"VA003","http://dbpedia.org/resource/Battle_of_Big_Bethel","="
"VA004","http://dbpedia.org/resource/Battle_of_Blackburn's_Ford","="
"VA005","http://dbpedia.org/resource/First_Battle_of_Bull_Run","="
"VA006","http://dbpedia.org/resource/Battle_of_Ball's_Bluff","="
"VA007","http://dbpedia.org/resource/Battle_of_Dranesville","="
"VA008","http://dbpedia.org/resource/Battle_of_Hampton_Roads","="
"VA009","http://dbpedia.org/resource/Siege_of_Yorktown_(1862)","="
"VA010","http://dbpedia.org/resource/Battle_of_Williamsburg","="
"VA011","http://dbpedia.org/resource/Battle_of_Eltham's_Landing","="
"VA012","http://dbpedia.org/resource/Battle_of_Drewry's_Bluff","="
"VA013","http://dbpedia.org/resource/Battle_of_Hanover_Court_House","="
"VA014","http://dbpedia.org/resource/Battle_of_Seven_Pines","="
"VA015","http://dbpedia.org/resource/Battle_of_Oak_Grove","="
"VA016","http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek","="
"VA017","http://dbpedia.org/resource/Battle_of_Gaines's_Mill","="
"VA018","http://dbpedia.org/resource/Battle_of_Garnett's_&_Golding's_Farm","="
"VA019","http://dbpedia.org/resource/Battle_of_Savage's_Station","="
"VA020","http://dbpedia.org/resource/Battle_of_White_Oak_Swamp",">"
"VA020","http://dbpedia.org/resource/Battle_of_Glendale",">"
"VA020A","http://dbpedia.org/resource/Battle_of_White_Oak_Swamp","="
"VA020B","http://dbpedia.org/resource/Battle_of_Glendale","="
"VA021","http://dbpedia.org/resource/Battle_of_Malvern_Hill","="
"VA022","http://dbpedia.org/resource/Battle_of_Cedar_Mountain","="
"VA023","http://dbpedia.org/resource/First_Battle_of_Rappahannock_Station","="
"VA024","http://dbpedia.org/resource/Manassas_Station_Operations_(Stonewall_Jackson)","="
"VA025","http://dbpedia.org/resource/Battle_of_Thoroughfare_Gap","="
"VA026","http://dbpedia.org/resource/Second_Battle_of_Bull_Run","="
"VA027","http://dbpedia.org/resource/Battle_of_Chantilly","="
"VA028","http://dbpedia.org/resource/Battle_of_Fredericksburg","="
"VA029","http://dbpedia.org/resource/Battle_of_Kelly's_Ford","="
"VA030","http://dbpedia.org/resource/Battle_of_Suffolk_(Norfleet_House)","="
"VA031","http://dbpedia.org/resource/Battle_of_Suffolk_(Hill's_Point)","="
"VA032","http://dbpedia.org/resource/Battle_of_Chancellorsville","="
"VA033","http://dbpedia.org/resource/Battle_of_Salem_Church","="
"VA034","http://dbpedia.org/resource/Second_Battle_of_Fredericksburg","="
"VA035","http://dbpedia.org/resource/Battle_of_Brandy_Station","="
"VA036","http://dbpedia.org/resource/Battle_of_Aldie","="
"VA037","http://dbpedia.org/resource/Battle_of_Middleburg","="
"VA038","http://dbpedia.org/resource/Battle_of_Upperville","="
"VA039","http://dbpedia.org/resource/First_Battle_of_Auburn","="
"VA040","http://dbpedia.org/resource/Battle_of_Bristoe_Station","="
"VA041","http://dbpedia.org/resource/Second_Battle_of_Auburn","="
"VA042","http://dbpedia.org/resource/Battle_of_Buckland_Mills","="
"VA043","http://dbpedia.org/resource/Second_Battle_of_Rappahannock_Station","="
"VA044","http://dbpedia.org/resource/Battle_of_Mine_Run","="
"VA045","http://dbpedia.org/resource/Battle_of_Morton's_Ford","="
"VA046","http://dbpedia.org/resource/Battle_of_the_Wilderness","="
"VA047","http://dbpedia.org/resource/Battle_of_Port_Walthall_Junction","="
"VA048","http://dbpedia.org/resource/Battle_of_Spotsylvania_Court_House","="
