"battle","belligerent","strength","infantry","cavalry","crewmen","corps","cavalry_corps","divisions","cavalry_divisions","brigades","companies","frigates","gunboats","ironclads","sloops","steamers","warships_and_transports","warships","wooden_warships","guns","casualties","captured","killed","wounded","missing","killed_wounded","killed_missing","captured_missing","wounded_missing","guns_lost","guns_captured","small_arms_lost","small_arms_captured","warships_sunk","warships_damaged","gunboats_sunk","gunboats_captured","ironclads_sunk","ironclads_captured","forts_captured","note","strength_mean","strength_var"
"Mechanicsville (Seven Days)","union",15631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,207,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",15631,NA
"Mechanicsville (Seven Days)","confed",16356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",16356,NA
"Gaines's Mill (Seven Days)","union",34214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,3107,NA,NA,NA,2836,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",34214,NA
"Gaines's Mill (Seven Days)","confed",57018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",57018,NA
"Savage's Station (Seven Days)","union",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",18931.467,13145625.7113484
"Savage's Station (Seven Days)","confed",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",32580.776,30746355.2366926
"White Oak Swamp (Seven Days)","union",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,1696,1804,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",25241.956,17527500.9484645
"White Oak Swamp (Seven Days)","confed",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638,2814,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",16290.388,15373177.6183463
"Malvern Hill (Seven Days)","union",83345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",83345,NA
"Malvern Hill (Seven Days)","confed",5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5355,NA
