battle,belligerent,strength,infantry,cavalry,crewmen,corps,cavalry corps,divisions,cavalry divisions,brigades,companies,frigates,gunboats,ironclads,sloops,steamers,warships and transports,warships,wooden warships,guns,casualties,captured,killed,wounded,missing,killed_wounded,killed_missing,captured_missing,wounded_missing,guns lost,guns captured,small arms lost,small arms captured,warships sunk,warships damaged,gunboats sunk,gunboats captured,ironclads sunk,ironclads captured,forts captured,note
Apache Canyon/Glorieta Pass,union,1342,,,,,,,,,,,,,,,,,,,,16,54,94,,,,,,,,,,,,,,,,,
Apache Canyon/Glorieta Pass,confed,900,,,,,,,,,,,,,,,,,,,,102,47,64,,,,,,,,,,,,,,,,,
Pea Ridge,union,1125,,,,,,,,,,,,,,,,,,,,,203,980,,,,210,,,,,,,,,,,,,
Pea Ridge,confed,17000,,,,,,,,,,,,,,,,,,,,200,,,,800,,,,,,,,,,,,,,,
Prairie Grove,union,9546,,,,,,,,,,,,,,,,,,,,,175,813,263,,,,,,,,,,,,,,,,
Prairie Grove,confed,12051,,,,,,,,,,,,,,,,,,,,,164,817,336,,,,,,,,,,,,,,,,
Mill Springs (Logan's Crossroads),union,4000,,,,,,,,,,,,,,,,,,,,,40,207,,,,,,,,,,,,,,,,,
Mill Springs (Logan's Crossroads),confed,4500,,,,,,,,,,,,,,,,,,,,,125,309,99,,,,,12,,,,,,,,,,,
Fort Donelson,union,27500,,,,,,,,,,,,,,,,,,,,,500,2108,224,,,,,,,,,,,,,,,,
Fort Donelson,confed,17500,,,,,,,,,,,,,,,,,,,14623,,,,,2000,,,,,,,,,,,,,,,
Shiloh (Pittsburg Landing),union,66812,,,,,,,,,,,,,,,,,,,,,1754,8408,,,,2885,,,,,,,,,,,,,
Shiloh (Pittsburg Landing),confed,40335,,,,,,,,,,,,,,,,,,,,,1723,8012,,,,959,,,,,,,,,,,,,
New Orleans,union,,,,,,,,,,,2,9,,7,,,,,243,,,37,149,,,,,,,,,,,,1,,,,,
New Orleans,confed,1100,,,,,,,,,,,10,,,,,,,126,,,185,39,,,,,,,,,,,,9,,,,,
Baton Rouge,union,2500,,,,,,,,,,,,,,,,,,,,33,84,266,,,,,,,,,,,,,,,,,
Baton Rouge,confed,2600,,,,,,,,,,,,,,,,,,,,57,84,315,,,,,,,,,,,,,,,,,
Iuka,union,4500,,,,,,,,,,,,,,,,,,,,,144,598,40,,,,,,,,,,,,,,,,
Iuka,confed,3179,,,,,,,,,,,,,,,,,,,,,262,692,561,,,,,,,,,,,,,,,,
Corinth,union,21147,,,,,,,,,,,,,,,,,,,,,355,1841,324,,,,,,,,,,,,,,,,
Corinth,confed,22000,,,,,,,,,,,,,,,,,,,,,473,1997,1763,,,,,,,,,,,,,,,,
Chickasaw Bluffs,union,30720,,,,,,,,,,,,,,,,,,,,,208,1005,,,,563,,,,,,,,,,,,,
Chickasaw Bluffs,confed,13792,,,,,,,,,,,,,,,,,,,,,63,134,10,,,,,,,,,,,,,,,,
Richmond (Kentucky),union,6500,,,,,,,,,,,,,,,,,,,,,206,844,,,,4303,,,,,,,,,,,,,
Richmond (Kentucky),confed,6800,,,,,,,,,,,,,,,,,,,,,78,372,1,,,,,,,,,,,,,,,,
Perryville,union,36940,,,,,,,,,,,,,,,,,,,,,845,2851,,,,515,,,,,,,,,,,,,
Perryville,confed,16000,,,,,,,,,,,,,,,,,,,,,510,2635,,,,251,,,,,,,,,,,,,
Hartsville,union,2100,,,,,,,,,,,,,,,,,,,,1762,,,,300,,,,,,,,,,,,,,,
Hartsville,confed,2000,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,
Stones River (Murfreesboro),union,44000,,,,,,,,,,,,,,,,,,,,,1677,7543,,,,3686,,,,,,,,,,,,,
Stones River (Murfreesboro),confed,37713,,,,,,,,,,,,,,,,,,,,,1294,7945,,,,2500,,,,,,,,,,,,,
Kernstown (first),union,9000,,,,,,,,,,,,,,,,,,,,,118,450,22,,,,,,,,,,,,,,,,
Kernstown (first),confed,4200,,,,,,,,,,,,,,,,,,,,,80,375,263,,,,,,,,,,,,,,,,
McDowell,union,2500,,,,,,,,,,,,,,,,,,,,,26,227,3,,,,,,,,,,,,,,,,
McDowell,confed,5000,,,,,,,,,,,,,,,,,,,,,75,423,,,,,,,,,,,,,,,,,
Front Royal,union,1063,,,,,,,,,,,,,,,,,,,904,,,,,,,,,,,,,,,,,,,,
Front Royal,confed,16000,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
Winchester (first),union,8500,,,,,,,,,,,,,,,,,,,,1714,62,243,,,,,,,,,,,,,,,,,
Winchester (first),confed,17500,,,,,,,,,,,,,,,,,,,,,68,329,3,,,,,,,,,,,,,,,,
Cross Keys,union,12000,,,,,,,,,,,,,,,,,,,,,114,443,127,,,,,,,,,,,,,,,,
Cross Keys,confed,6500,,,,,,,,,,,,,,,,,,,,,41,232,15,,,,,,,,,,,,,,,,
Port Republic,union,5000,,,,,,,,,,,,,,,,,,,,558,67,393,,,,,,,,,,,,,,,,,
Port Republic,confed,15000,,,,,,,,,,,,,,,,,,,,,98,719,45,,,,,,,,,,,,,,,,
Williamsburg (Fort Magruder),union,40768,,,,,,,,,,,,,,,,,,,,,468,1442,373,,,,,,,,,,,,,,,,
Williamsburg (Fort Magruder),confed,31823,,,,,,,,,,,,,,,,,,,,,288,975,297,,,,,,,,,,,,,,,,
Hanover Court House,union,6000,,,,,,,,,,,,,,,,,,,,,62,223,70,,,,,,,,,,,,,,,,
Hanover Court House,confed,3000,,,,,,,,,,,,,,,,,,,,730,,,,270,,,,,,,,,,,,,,,
Fair Oaks (Seven Pines),union,41797,,,,,,,,,,,,,,,,,,,,347,790,3594,647,,,,,,,,,,,,,,,,
Fair Oaks (Seven Pines),confed,41816,,,,,,,,,,,,,,,,,,,,,980,4749,405,,,,,,,,,,,,,,,,
