person,surname,battle
http://dbpedia.org/resource/John_C._Pemberton,Pemberton,http://dbpedia.org/resource/Battle_of_Champion_Hill
http://dbpedia.org/resource/John_C._Pemberton,Pemberton,http://dbpedia.org/resource/Battle_of_Chickasaw_Bayou
http://dbpedia.org/resource/Samuel_Francis_Du_Pont,Pont,http://dbpedia.org/resource/Siege_of_Fort_Pulaski
http://dbpedia.org/resource/Samuel_Francis_Du_Pont,Pont,http://dbpedia.org/resource/First_Battle_of_Charleston_Harbor
http://dbpedia.org/resource/Samuel_Francis_Du_Pont,Pont,http://dbpedia.org/resource/Battle_of_Port_Royal
http://dbpedia.org/resource/Robert_S._Granger,Granger,http://dbpedia.org/resource/Battle_of_Decatur
http://dbpedia.org/resource/Thomas_Lanier_Clingman,Clingman,http://dbpedia.org/resource/Battle_of_Goldsboro_Bridge
http://dbpedia.org/resource/John_W._Foster,Foster,http://dbpedia.org/resource/Battle_of_Blountville
http://dbpedia.org/resource/William_T._Martin,Martin,http://dbpedia.org/resource/Battle_of_Fair_Garden
http://dbpedia.org/resource/William_T._Martin,Martin,http://dbpedia.org/resource/Battle_of_Mossy_Creek
http://dbpedia.org/resource/Jesse_L._Reno,Reno,http://dbpedia.org/resource/Battle_of_South_Mills
http://dbpedia.org/resource/John_Dunovant,Dunovant,http://dbpedia.org/resource/Battle_of_Vaughan_Road
http://dbpedia.org/resource/William_A._Phillips,Phillips,http://dbpedia.org/resource/Battle_of_Fort_Gibson
http://dbpedia.org/resource/John_Stuart_Williams,Williams,http://dbpedia.org/resource/Battle_of_Blue_Springs
http://dbpedia.org/resource/Graham_N._Fitch,Fitch,http://dbpedia.org/resource/Skirmish_at_Aberdeen
http://dbpedia.org/resource/Graham_N._Fitch,Fitch,http://dbpedia.org/resource/Skirmish_at_Adam's_Bluff
http://dbpedia.org/resource/Nathan_Kimball,Kimball,http://dbpedia.org/resource/Battle_of_Cheat_Mountain
http://dbpedia.org/resource/Nathan_Kimball,Kimball,http://dbpedia.org/resource/First_Battle_of_Kernstown
http://dbpedia.org/resource/James_Sewall_Reed,Reed,http://dbpedia.org/resource/Second_Dranesville
http://dbpedia.org/resource/Daniel_L._Braine,Braine,http://dbpedia.org/resource/Battle_of_Sewell's_Point
http://dbpedia.org/resource/Robert_Gould_Shaw,Shaw,http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner
http://dbpedia.org/resource/Abel_Streight,Streight,http://dbpedia.org/resource/Battle_of_Day's_Gap
http://dbpedia.org/resource/Alexander_Murray_(1816–1884),Murray,http://dbpedia.org/resource/Battle_of_Fort_Anderson
http://dbpedia.org/resource/Alexander_Murray_(1816–1884),Murray,http://dbpedia.org/resource/Battle_of_Cockle_Creek
http://dbpedia.org/resource/John_Gregg_(CSA),Gregg,"http://dbpedia.org/resource/Battle_of_Jackson,_Mississippi"
http://dbpedia.org/resource/John_Gregg_(CSA),Gregg,http://dbpedia.org/resource/Battle_of_Raymond
http://dbpedia.org/resource/John_Rodgers_(American_Civil_War_naval_officer),Rodgers,http://dbpedia.org/resource/Battle_of_Drewry's_Bluff
http://dbpedia.org/resource/George_B._McClellan,McClellan,http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek
http://dbpedia.org/resource/George_B._McClellan,McClellan,http://dbpedia.org/resource/Battle_of_Gaines's_Mill
http://dbpedia.org/resource/George_B._McClellan,McClellan,http://dbpedia.org/resource/Battle_of_Rich_Mountain
http://dbpedia.org/resource/George_B._McClellan,McClellan,http://dbpedia.org/resource/Battle_of_Seven_Pines
http://dbpedia.org/resource/George_B._McClellan,McClellan,http://dbpedia.org/resource/Battle_of_Williamsburg
http://dbpedia.org/resource/George_B._McClellan,McClellan,http://dbpedia.org/resource/Maryland_Campaign
