uri,Union_Army_generals,Union_Army_colonels,Union_Army_officers,Union_Army_soldiers,Union_Army_personnel,Union_Navy_admirals,Union_Navy_officers,Union_Navy_sailors,Union_Navy_personnel,Confederate_States_Army_generals,Confederate_States_Army_officers,Confederate_States_Army_soldiers,Confederate_States_Army_personnel,Confederate_States_Navy_admirals,Confederate_States_Navy_officers,Confederate_States_Navy_sailors,Confederate_States_Navy_personnel
http://dbpedia.org/resource/Charles_A._Coolidge,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Charles_Chaill%C3%A9-Long,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Thomas_Flood_(Medal_of_Honor),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Henry_Thatcher,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Henry_Hull_Carlton,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://dbpedia.org/resource/James_M._Goggin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://dbpedia.org/resource/Joseph_G._Sanders,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://dbpedia.org/resource/Robert_John_Simmons,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/David_Gardiner_Tyler,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
http://dbpedia.org/resource/James_F._Epes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://dbpedia.org/resource/Smedley_Darlington,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Romulus_Zachariah_Linney,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
http://dbpedia.org/resource/Patrick_H._McEnroe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/George_W._Hulick,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Oscar_Lawrence_Jackson,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/William_B._Taliaferro,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://dbpedia.org/resource/Clark_Robinson_Griggs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/John_Echols,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://dbpedia.org/resource/James_Kendall_Hosmer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Thomas_Francis_Meagher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Abram_J._Buckles,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Case_Broderick,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Alfred_Moore_Scales,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://dbpedia.org/resource/Jacob_G._Frick,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/resource/Alexander_William_Campbell_(general),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
