battle,id,strength,casualties,notes
http://en.wikipedia.org/wiki/Battle_of_Jonesborough,,,,
http://en.wikipedia.org/wiki/Battle_of_Kelly's_Ford,,,,
http://en.wikipedia.org/wiki/Battle_of_Kennesaw_Mountain,,,,
http://en.wikipedia.org/wiki/Battle_of_Kessler's_Cross_Lanes,,,,
http://en.wikipedia.org/wiki/Battle_of_Killdeer_Mountain,,,,
http://en.wikipedia.org/wiki/Battle_of_Kinston,,,,
http://en.wikipedia.org/wiki/Battle_of_Kirksville,,,,
http://en.wikipedia.org/wiki/Battle_of_Kock's_Plantation,,,,
http://en.wikipedia.org/wiki/Battle_of_Kolb's_Farm,,,,
http://en.wikipedia.org/wiki/Battle_of_LaFourche_Crossing,,,,
http://en.wikipedia.org/wiki/Battle_of_Lewis's_Farm,,,,
http://en.wikipedia.org/wiki/Battle_of_Liberty,,,,
http://en.wikipedia.org/wiki/Battle_of_Little_Blue_River,,,,
http://en.wikipedia.org/wiki/Battle_of_Lone_Jack,,,,
http://en.wikipedia.org/wiki/Battle_of_Lookout_Mountain,,,,
http://en.wikipedia.org/wiki/Battle_of_Lovejoy's_Station,,,,
http://en.wikipedia.org/wiki/Battle_of_Lynchburg,,,,
http://en.wikipedia.org/wiki/Battle_of_Malvern_Hill,,,,
http://en.wikipedia.org/wiki/Battle_of_Manassas_Gap,,,440,
http://en.wikipedia.org/wiki/Battle_of_Mansfield,,,,
http://en.wikipedia.org/wiki/Battle_of_Mansura,,,,
http://en.wikipedia.org/wiki/Battle_of_Marais_des_Cygnes,,,,
http://en.wikipedia.org/wiki/Battle_of_Marietta,,,,
http://en.wikipedia.org/wiki/Battle_of_Marion,,,,
http://en.wikipedia.org/wiki/Battle_of_Marks'_Mills,,,,
http://en.wikipedia.org/wiki/Battle_of_Marmiton_River,,,,
http://en.wikipedia.org/wiki/Battle_of_McDowell,,,,
http://en.wikipedia.org/wiki/Battle_of_Memphis,,,,
http://en.wikipedia.org/wiki/Battle_of_Meridian,,,,
http://en.wikipedia.org/wiki/Battle_of_Middle_Boggy_Depot,,,,
http://en.wikipedia.org/wiki/Battle_of_Middle_Creek,,,,
http://en.wikipedia.org/wiki/Battle_of_Middleburg,,,,
http://en.wikipedia.org/wiki/Battle_of_Mill_Springs,,,,
http://en.wikipedia.org/wiki/Battle_of_Milliken's_Bend,,,,
http://en.wikipedia.org/wiki/Battle_of_Mine_Creek,,,,
http://en.wikipedia.org/wiki/Battle_of_Mine_Run,,,,
http://en.wikipedia.org/wiki/Battle_of_Missionary_Ridge,,,,
http://en.wikipedia.org/wiki/Battle_of_Mobile_Bay,,,,
http://en.wikipedia.org/wiki/Battle_of_Monett's_Ferry,,,,
http://en.wikipedia.org/wiki/Battle_of_Monocacy,,,,
http://en.wikipedia.org/wiki/Battle_of_Monroe's_Crossroads,,,,
http://en.wikipedia.org/wiki/Battle_of_Moorefield,,,,
http://en.wikipedia.org/wiki/Battle_of_Morton's_Ford,,,,
http://en.wikipedia.org/wiki/Battle_of_Mossy_Creek,,,,
http://en.wikipedia.org/wiki/Battle_of_Mount_Zion_Church,,,,
http://en.wikipedia.org/wiki/Battle_of_Munfordville,,,,
http://en.wikipedia.org/wiki/Battle_of_Namozine_Church,,,,
http://en.wikipedia.org/wiki/Battle_of_Nashville,,,,
http://en.wikipedia.org/wiki/Battle_of_Natural_Bridge,,,,
http://en.wikipedia.org/wiki/Battle_of_New_Bern,,,,
http://en.wikipedia.org/wiki/Battle_of_New_Hope_Church,,,,
http://en.wikipedia.org/wiki/Battle_of_New_Market,,,,
http://en.wikipedia.org/wiki/Battle_of_North_Anna,,,,
