battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
MO008,CS,,,,,,,,,,,,,,,,,,,,,,
MO008,US,,,,,,,,,,,,,,,,,,,,,,
AR014,CS,,,,,,,,,,,,,,,,,,,,,,
AR014,US,,,,,,,,,,,,,,,,,,,,,,
VA057,CS,,,,,,,,,,,,,,,,,,,,,,
VA057,US,,,,,,,,,,,,,,,,,,,,,,
NC004,CS,,,,,,,,,,,,,,,,,,,,,,
NC004,US,,,,,,,,,,,,,,,,,,,,,,
VA039,CS,,,,,,,,,,,,,,,,,,,,,,
VA039,US,,,,,,,,,,,,,,,,,,,,,,
MO015,CS,,,,,,,,,,,,,,,,,,,,,,
MO015,US,,,,,,,,,,,,,,,,,,,,,,
AR002,CS,,,,,,,,,,,,,,,,,,,,,,
AR002,US,,,,,,,,,,,,,,,,,,,,,,
LA004,CS,,,,,,,,,,,,,,,,,,,,,,
LA004,US,,,,,,,,,,,,,,,,,,,,,,
TN015,CS,,,,,,,,,,,,,,,,,,,,,,
TN015,US,,,,,,,,,,,,,,,,,,,,,,
AL007,CS,,,,,,,,,,,,,,,,,,,,,,
AL007,US,,,,,,,,,,,,,,,,,,,,,,
VA120,CS,,,,,,,,,,,,,,,,,,,,,,
VA120,US,,,,,,,,,,,,,,,,,,,,,,
PA002,CS,,,,,,,,,,,,,,,,,,,,,,
PA002,US,,,,,,,,,,,,,,,,,,,,,,
MO029,CS,,,,,,,,,,,,,,,,,,,,,,
MO029,US,,,,,,,,,,,,,,,,,,,,,,
VA116,CS,,,,,,,,,,,,,,,,,,,,,,
VA116,US,,,,,,,,,,,,,,,,,,,,,,
NC013,CS,,,,,,,,,,,,,,,,,,,,,,
NC013,US,,,,,,,,,,,,,,,,,,,,,,
MO012,CS,,,,,,,,,,,,,,,,,,,,,,
MO012,US,,,,,,,,,,,,,,,,,,,,,,
VA073,CS,,,,,,,,,,,,,,,,,,,,,,
VA073,US,,,,,,,,,,,,,,,,,,,,,,
NC006,CS,,,,,,,,,,,,,,,,,,,,,,
NC006,US,,,,,,,,,,,,,,,,,,,,,,
TN024,CS,,,,,,,,,,,,,,,,,,,,,,
TN024,US,,,,,,,,,,,,,,,,,,,,,,
MO026,CS,,,,,,,,,,,,,,,,,,,,,,
MO026,US,,,,,,,,,,,,,,,,,,,,,,
LA015,CS,,,,,,,,,,,,,,,,,,,,,,
LA015,US,,,,,,,,,,,,,,,,,,,,,,
VA026,CS,,,,,,,,,,,,,,,,,,,,,,
VA026,US,,,,,,,,,,,,,,,,,,,,,,
SC003,CS,,,,,,,,,,,,,,,,,,,,,,
SC003,US,,,,,,,,,,,,,,,,,,,,,,
MO014,CS,,,,,,,,,,,,,,,,,,,,,,
MO014,US,,,,,,,,,,,,,,,,,,,,,,
KY006,CS,,,,,,,,,,,,,,,,,,,,,,
KY006,US,,,,,,,,,,,,,,,,,,,,,,
AL004,CS,,,,,,,,,,,,,,,,,,,,,,
AL004,US,,,,,,,,,,,,,,,,,,,,,,
SC001,CS,,,,,,,,,,,,,,,,,,,,,,
SC001,US,,,,,,,,,,,,,,,,,,,,,,
VA007,CS,,,,,,,,,,,,,,,,,,,,,,
VA007,US,,,,,,,,,,,,,,,,,,,,,,
VA059,CS,,,,,,,,,,,,,,,,,,,,,,
VA059,US,,,,,,,,,,,,,,,,,,,,,,
VA043,CS,,,,,,,,,,,,,,,,,,,,,,
VA043,US,,,,,,,,,,,,,,,,,,,,,,
AR013,CS,,,,,,,,,,,,,,,,,,,,,,
AR013,US,,,,,,,,,,,,,,,,,,,,,,
TN009,CS,,,,,,,,,,,,,,,,,,,,,,
TN009,US,,,,,,,,,,,,,,,,,,,,,,
TN022,CS,,,,,,,,,,,,,,,,,,,,,,
TN022,US,,,,,,,,,,,,,,,,,,,,,,
SC010,CS,,,,,,,,,,,,,,,,,,,,,,
SC010,US,,,,,,,,,,,,,,,,,,,,,,
LA018,CS,,,,,,,,,,,,,,,,,,,,,,
LA018,US,,,,,,,,,,,,,,,,,,,,,,
AL001,CS,,,,,,,,,,,,,,,,,,,,,,
AL001,US,,,,,,,,,,,,,,,,,,,,,,
DC001,CS,,,,,,,,,,,,,,,,,,,,,,
DC001,US,,,,,,,,,,,,,,,,,,,,,,
VA072,CS,,,,,,,,,,,,,,,,,,,,,,
VA072,US,,,,,,,,,,,,,,,,,,,,,,
PA001,CS,,,,,,,,,,,,,,,,,,,,,,
PA001,US,,,,,,,,,,,,,,,,,,,,,,
NC008,CS,,,,,,,,,,,,,,,,,,,,,,
NC008,US,,,,,,,,,,,,,,,,,,,,,,
VA114,CS,,,,,,,,,,,,,,,,,,,,,,
VA114,US,,,,,,,,,,,,,,,,,,,,,,
VA111,CS,,,,,,,,,,,,,,,,,,,,,,
VA111,US,,,,,,,,,,,,,,,,,,,,,,
VA110,CS,,,,,,,,,,,,,,,,,,,,,,
VA110,US,,,,,,,,,,,,,,,,,,,,,,
VA055,CS,,,,,,,,,,,,,,,,,,,,,,
VA055,US,,,,,,,,,,,,,,,,,,,,,,
MO018,CS,,,,,,,,,,,,,,,,,,,,,,
MO018,US,,,,,,,,,,,,,,,,,,,,,,
NC002,CS,,,,,,,,,,,,,,,,,,,,,,
NC002,US,,,,,,,,,,,,,,,,,,,,,,
GA028,CS,,,,,,,,,,,,,,,,,,,,,,
GA028,US,,,,,,,,,,,,,,,,,,,,,,
MO009,CS,,,,,,,,,,,,,,,,,,,,,,
MO009,US,,,,,,,,,,,,,,,,,,,,,,
LA019,CS,,,,,,,,,,,,,,,,,,,,,,
LA019,US,,,,,,,,,,,,,,,,,,,,,,
AR010,CS,,,,,,,,,,,,,,,,,,,,,,
AR010,US,,,,,,,,,,,,,,,,,,,,,,
VA056,CS,,,,,,,,,,,,,,,,,,,,,,
VA056,US,,,,,,,,,,,,,,,,,,,,,,
AR016,CS,,,,,,,,,,,,,,,,,,,,,,
AR016,US,,,,,,,,,,,,,,,,,,,,,,
VA115,CS,,,,,,,,,,,,,,,,,,,,,,
VA115,US,,,,,,,,,,,,,,,,,,,,,,
WV012,CS,,,,,,,,,,,,,,,,,,,,,,
WV012,US,,,,,,,,,,,,,,,,,,,,,,
VA078,CS,,,,,,,,,,,,,,,,,,,,,,
VA078,US,,,,,,,,,,,,,,,,,,,,,,
OH002,CS,,,,,,,,,,,,,,,,,,,,,,
OH002,US,,,,,,,,,,,,,,,,,,,,,,
VA020,CS,,,,,,,,,,,,,,,,,,,,,,
VA020,US,,,,,,,,,,,,,,,,,,,,,,
MS013,CS,,,,,,,,,,,,,,,,,,,,,,
MS013,US,,,,,,,,,,,,,,,,,,,,,,
VA117,CS,,,,,,,,,,,,,,,,,,,,,,
VA117,US,,,,,,,,,,,,,,,,,,,,,,
TN014,CS,,,,,,,,,,,,,,,,,,,,,,
TN014,US,,,,,,,,,,,,,,,,,,,,,,
VA063,CS,,,,,,,,,,,,,,,,,,,,,,
VA063,US,,,,,,,,,,,,,,,,,,,,,,
VA041,CS,,,,,,,,,,,,,,,,,,,,,,
VA041,US,,,,,,,,,,,,,,,,,,,,,,
VA071,CS,,,,,,,,,,,,,,,,,,,,,,
VA071,US,,,,,,,,,,,,,,,,,,,,,,
VA024,CS,,,,,,,,,,,,,,,,,,,,,,
VA024,US,,,,,,,,,,,,,,,,,,,,,,
GA022,CS,,,,,,,,,,,,,,,,,,,,,,
GA022,US,,,,,,,,,,,,,,,,,,,,,,
VA089,CS,,,,,,,,,,,,,,,,,,,,,,
VA089,US,,,,,,,,,,,,,,,,,,,,,,
OK006,CS,,,,,,,,,,,,,,,,,,,,,,
OK006,US,,,,,,,,,,,,,,,,,,,,,,
MD002,CS,,,,,,,,,,,,,,,,,,,,,,
MD002,US,,,,,,,,,,,,,,,,,,,,,,
OK002,CS,,,,,,,,,,,,,,,,,,,,,,
OK002,US,,,,,,,,,,,,,,,,,,,,,,
GA025,CS,,,,,,,,,,,,,,,,,,,,,,
GA025,US,,,,,,,,,,,,,,,,,,,,,,
TN004,CS,,,,,,,,,,,,,,,,,,,,,,
TN004,US,,,,,,,,,,,,,,,,,,,,,,
NC007,CS,,,,,,,,,,,,,,,,,,,,,,
NC007,US,,,,,,,,,,,,,,,,,,,,,,
WV010,CS,,,,,,,,,,,,,,,,,,,,,,
WV010,US,,,,,,,,,,,,,,,,,,,,,,
AR009,CS,,,,,,,,,,,,,,,,,,,,,,
AR009,US,,,,,,,,,,,,,,,,,,,,,,
VA030,CS,,,,,,,,,,,,,,,,,,,,,,
VA030,US,,,,,,,,,,,,,,,,,,,,,,
GA016,CS,,,,,,,,,,,,,,,,,,,,,,
GA016,US,,,,,,,,,,,,,,,,,,,,,,
VA036,CS,,,,,,,,,,,,,,,,,,,,,,
VA036,US,,,,,,,,,,,,,,,,,,,,,,
MO028,CS,,,,,,,,,,,,,,,,,,,,,,
MO028,US,,,,,,,,,,,,,,,,,,,,,,
VA091,CS,,,,,,,,,,,,,,,,,,,,,,
VA091,US,,,,,,,,,,,,,,,,,,,,,,
LA007,CS,,,,,,,,,,,,,,,,,,,,,,
LA007,US,,,,,,,,,,,,,,,,,,,,,,
TN026,CS,,,,,,,,,,,,,,,,,,,,,,
TN026,US,,,,,,,,,,,,,,,,,,,,,,
IN001,CS,,,,,,,,,,,,,,,,,,,,,,
IN001,US,,,,,,,,,,,,,,,,,,,,,,
NC016,CS,,,,,,,,,,,,,,,,,,,,,,
NC016,US,,,,,,,,,,,,,,,,,,,,,,
MD003,CS,,,,,,,,,,,,,,,,,,,,,,
MD003,US,,,,,,,,,,,,,,,,,,,,,,
KY010,CS,,,,,,,,,,,,,,,,,,,,,,
KY010,US,,,,,,,,,,,,,,,,,,,,,,
MO004,CS,,,,,,,,,,,,,,,,,,,,,,
MO004,US,,,,,,,,,,,,,,,,,,,,,,
MD008,CS,,,,,,,,,,,,,,,,,,,,,,
MD008,US,,,,,,,,,,,,,,,,,,,,,,
VA040,CS,,,,,,,,,,,,,,,,,,,,,,
VA040,US,,,,,,,,,,,,,,,,,,,,,,
KS002,CS,,,,,,,,,,,,,,,,,,,,,,
KS002,US,,,,,,,,,,,,,,,,,,,,,,
TX002,CS,,,,,,,,,,,,,,,,,,,,,,
TX002,US,,,,,,,,,,,,,,,,,,,,,,
LA020,CS,,,,,,,,,,,,,,,,,,,,,,
LA020,US,,,,,,,,,,,,,,,,,,,,,,
KY009,CS,,,,,,,,,,,,,,,,,,,,,,
KY009,US,,,,,,,,,,,,,,,,,,,,,,
GA008,CS,,,,,,,,,,,,,,,,,,,,,,
GA008,US,,,,,,,,,,,,,,,,,,,,,,
VA009,CS,,,,,,,,,,,,,,,,,,,,,,
VA009,US,,,,,,,,,,,,,,,,,,,,,,
NM001,CS,,,,,,,,,,,,,,,,,,,,,,
NM001,US,,,,,,,,,,,,,,,,,,,,,,
VA047,CS,,,,,,,,,,,,,,,,,,,,,,
VA047,US,,,,,,,,,,,,,,,,,,,,,,
TN011,CS,,,,,,,,,,,,,,,,,,,,,,
TN011,US,,,,,,,,,,,,,,,,,,,,,,
GA004,CS,,,,,,,,,,,,,,,,,,,,,,
GA004,US,,,,,,,,,,,,,,,,,,,,,,
GA012,CS,,,,,,,,,,,,,,,,,,,,,,
GA012,US,,,,,,,,,,,,,,,,,,,,,,
MD004,CS,,,,,,,,,,,,,,,,,,,,,,
MD004,US,,,,,,,,,,,,,,,,,,,,,,
GA005,CS,,,,,,,,,,,,,,,,,,,,,,
GA005,US,,,,,,,,,,,,,,,,,,,,,,
NC020,CS,,,,,,,,,,,,,,,,,,,,,,
NC020,US,,,,,,,,,,,,,,,,,,,,,,
MO010,CS,,,,,,,,,,,,,,,,,,,,,,
MO010,US,,,,,,,,,,,,,,,,,,,,,,
MS003,CS,,,,,,,,,,,,,,,,,,,,,,
MS003,US,,,,,,,,,,,,,,,,,,,,,,
VA034,CS,,,,,,,,,,,,,,,,,,,,,,
VA034,US,,,,,,,,,,,,,,,,,,,,,,
AL006,CS,,,,,,,,,,,,,,,,,,,,,,
AL006,US,,,,,,,,,,,,,,,,,,,,,,
VA092,CS,,,,,,,,,,,,,,,,,,,,,,
VA092,US,,,,,,,,,,,,,,,,,,,,,,
WV014,CS,,,,,,,,,,,,,,,,,,,,,,
WV014,US,,,,,,,,,,,,,,,,,,,,,,
MS012,CS,,,,,,,,,,,,,,,,,,,,,,
MS012,US,,,,,,,,,,,,,,,,,,,,,,
VA031,CS,,45000,,,,,,,,,,,,,,,,,,,,
VA031,US,,45000,,,,,,,,,,,,,,,,,,,,
VA080,CS,,,,,,,,,,,,,,,,,,,,,,
VA080,US,,,,,,,,,,,,,,,,,,,,,,
VA005,CS,,,,,,,,,,,,,,,,,,,,,,
VA005,US,,,,,,,,,,,,,,,,,,,,,,
NM002,CS,,,,,,,,,,,,,,,,,,,,,,
NM002,US,,,,,,,,,,,,,,,,,,,,,,
OK004,CS,,,,,,,,,,,,,,,,,,,,,,
OK004,US,,,,,,,,,,,,,,,,,,,,,,
GA001,CS,,,,,,,,,,,,,,,,,,,,,,
GA001,US,,,,,,,,,,,,,,,,,,,,,,
VA094,CS,,,,,,,,,,,,,,,,,,,,,,
VA094,US,,,,,,,,,,,,,,,,,,,,,,
AR005,CS,,,,,,,,,,,,,,,,,,,,,,
AR005,US,,,,,,,,,,,,,,,,,,,,,,
VA037,CS,,,,,,,,,,,,,,,,,,,,,,
VA037,US,,,,,,,,,,,,,,,,,,,,,,
VA074,CS,,,,,,,,,,,,,,,,,,,,,,
VA074,US,,,,,,,,,,,,,,,,,,,,,,
VA122,CS,,,,,,,,,,,,,,,,,,,,,,
VA122,US,,,,,,,,,,,,,,,,,,,,,,
VA105,CS,,,,,,,,,,,,,,,,,,,,,,
VA105,US,,,,,,,,,,,,,,,,,,,,,,
MS011,CS,,,,,,,,,,,,,,,,,,,,,,
MS011,US,,,,,,,,,,,,,,,,,,,,,,
ND002,US,,,,,,,,,,,,,,,,,,,,,,
ND002,I,,,,,,,,,,,,,,,,,,,,,,
TN025,CS,,,,,,,,,,,,,,,,,,,,,,
TN025,US,,,,,,,,,,,,,,,,,,,,,,
WV004,CS,,,,,,,,,,,,,,,,,,,,,,
