"","battle","combatant","fullname","rank","cwsac","cwsac2"
"842","VA026","US","John Pope","Major General",TRUE,TRUE
"843","VA027","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"844","VA027","US","Isaac Stevens","Major General",TRUE,TRUE
"845","VA027","US","Philip Kearny","Major General",TRUE,TRUE
"846","VA028","CS","Robert E. Lee","General",TRUE,TRUE
"847","VA028","US","Ambrose E. Burnside","Major General",TRUE,TRUE
"848","VA029","CS","Fitzhugh Lee","Brigadier General",TRUE,TRUE
"849","VA029","US","William W. Averell","Brigadier General",TRUE,TRUE
"850","VA030","CS","James Longstreet","Lieutenant General",TRUE,TRUE
"851","VA030","US","John Peck","Brigadier General",TRUE,TRUE
"852","VA031","CS","James Longstreet","Lieutenant General",TRUE,TRUE
"853","VA031","US","John Peck","Brigadier General",TRUE,TRUE
"854","VA032","CS","Robert E. Lee","General",TRUE,TRUE
"855","VA032","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"856","VA032","US","Joseph Hooker","Major General",TRUE,TRUE
"857","VA033","CS","Cadmus M. Wilcox","Brigadier General",NA,TRUE
"858","VA033","CS","Lafayette McLaws","Major General",NA,TRUE
"859","VA033","CS","Robert E. Lee","General",TRUE,NA
"860","VA033","US","John Sedgwick","Major General",TRUE,TRUE
"861","VA034","CS","Jubal A. Early","Major General",TRUE,TRUE
"862","VA034","US","John Sedgwick","Major General",TRUE,TRUE
"863","VA035","CS","J.E.B. Stuart","Major General",TRUE,TRUE
"864","VA035","US","Alfred Pleasonton","Major General",TRUE,NA
"865","VA035","US","Pleasonton","Major General",NA,TRUE
"866","VA036","CS","Thomas Munford","Colonel",TRUE,TRUE
"867","VA036","US","H. Judson Kilpatrick","Brigadier General",TRUE,NA
"868","VA036","US","Judson Kilpatrick","Brigadier General",NA,TRUE
"869","VA037","CS","J.E.B. Stuart","Major General",TRUE,TRUE
"870","VA037","US","David M. Gregg","Brigadier General",TRUE,TRUE
"871","VA038","CS","Beverly Robertson","Brigadier General",TRUE,TRUE
"872","VA038","CS","Wade Hampton","Brigadier General",TRUE,TRUE
"873","VA038","US","Alfred Pleasonton","Major General",TRUE,TRUE
"874","VA039","CS","J.E.B. Stuart","Major General",TRUE,TRUE
"875","VA039","US","William H. French","Major General",TRUE,TRUE
"876","VA040","CS","A.P. Hill","Lieutenant General",TRUE,TRUE
"877","VA040","US","G.K. Warren","Major General",TRUE,TRUE
"878","VA041","CS","J.E.B. Stuart","Major General",TRUE,TRUE
"879","VA041","US","G.K. Warren","Major General",TRUE,TRUE
"880","VA042","CS","J.E.B. Stuart","Major General",TRUE,TRUE
"881","VA042","US","H. Judson Kilpatrick","Major General",TRUE,NA
"882","VA042","US","J. Kilpatrick","Major General",NA,TRUE
"883","VA043","CS","Robert E. Lee","General",TRUE,TRUE
"884","VA043","US","George G. Meade","Major General",TRUE,TRUE
"885","VA044","CS","Robert E. Lee","General",TRUE,TRUE
"886","VA044","US","George G. Meade","Major General",TRUE,TRUE
"887","VA045","CS","Richard S. Ewell","Lieutenant General",TRUE,TRUE
"888","VA045","US","J.C. Caldwell","Brigadier General",TRUE,NA
"889","VA045","US","John C. Caldwell","Major General",NA,TRUE
"890","VA046","CS","Robert E. Lee","General",TRUE,TRUE
"891","VA046","US","George G. Meade","Major General",TRUE,TRUE
"892","VA046","US","Ulysses S. Grant","Lieutenant General",TRUE,TRUE
"893","VA047","CS","Johnson Hagood","Brigadier General",TRUE,TRUE
"894","VA047","US","Benjamin Butler","Major General",TRUE,TRUE
"895","VA048","CS","Robert E. Lee","General",TRUE,TRUE
"896","VA048","US","George G. Meade","Major General",TRUE,TRUE
"897","VA048","US","Ulysses S. Grant","Lieutenant General",TRUE,TRUE
"898","VA049","CS","Albert Jenkins","Brigadier General",TRUE,TRUE
"899","VA049","US","George Crook","Brigadier General",TRUE,TRUE
"900","VA050","CS","P.G.T. Beauregard","General",TRUE,TRUE
"901","VA050","US","Benjamin Butler","Major General",TRUE,TRUE
"902","VA051","CS","P.G.T. Beauregard","General",TRUE,TRUE
"903","VA051","US","Benjamin Butler","General",NA,TRUE
"904","VA051","US","Benjamin Butler","Major General",TRUE,NA
"905","VA052","CS","J.E.B. Stuart","Major General",TRUE,TRUE
"906","VA052","US","Philip Sheridan","Major General",TRUE,TRUE
"907","VA053","CS","P.G.T. Beauregard","General",TRUE,TRUE
"908","VA053","US","Benjamin Butler","Major General",TRUE,TRUE
"909","VA054","CS","P.G.T. Beauregard","General",TRUE,TRUE
"910","VA054","US","Benjamin Butler","Major General",TRUE,TRUE
"911","VA055","CS","Robert E. Lee","General",TRUE,TRUE
"912","VA055","US","George G. Meade","Major General",TRUE,TRUE
"913","VA055","US","Ulysses S. Grant","Lieutenant General",TRUE,TRUE
"914","VA056","CS","Fitzhugh Lee","Major General",TRUE,TRUE
"915","VA056","US","Edward Wild","Brigadier General",TRUE,TRUE
"916","VA057","CS","Robert E. Lee","General",TRUE,TRUE
"917","VA057","US","George G. Meade","Major General",TRUE,TRUE
"918","VA057","US","Ulysses S. Grant","Lieutenant General",TRUE,TRUE
"919","VA058","CS","Fitzhugh Lee","Major General",TRUE,TRUE
"920","VA058","CS","Wade Hampton","Major General",TRUE,TRUE
"921","VA058","US","David M. Gregg","Brigadier General",TRUE,TRUE
"922","VA059","CS","Matthew C. Butler","Brigadier General",TRUE,TRUE
"923","VA059","US","Alfred Torbert","Brigadier General",TRUE,TRUE
"924","VA062","CS","Robert E. Lee","General",TRUE,TRUE
"925","VA062","US","George G. Meade","Major General",TRUE,TRUE
"926","VA062","US","Ulysses S. Grant","Lieutenant General",TRUE,TRUE
"927","VA063","CS","P.G.T. Beauregard","General",TRUE,TRUE
"928","VA063","CS","Robert E. Lee","General",TRUE,TRUE
"929","VA063","US","George G. Meade","Major General",TRUE,TRUE
"930","VA063","US","Ulysses S. Grant","Lieutenant General",TRUE,TRUE
"931","VA064","CS","Jubal A. Early","Lieutenant General",TRUE,TRUE
"932","VA064","US","David Hunter","Major General",TRUE,TRUE
"933","VA065","CS","A.P. Hill","Major General",NA,TRUE
"934","VA065","CS","Robert E. Lee","General",TRUE,NA
"935","VA065","US","David B. Birney","Major General",NA,TRUE
"936","VA065","US","George G. Meade","Major General",TRUE,NA
"937","VA065","US","Horatio Wright","Major General",NA,TRUE
"938","VA065","US","Ulysses S. Grant","Lieutenant General",TRUE,NA
"939","VA066","CS","Wade Hampton","Major General",TRUE,TRUE
"940","VA066","US","Philip Sheridan","Major General",TRUE,TRUE
"941","VA067","CS","Wade Hampton","Major General",TRUE,TRUE
"942","VA067","US","August Kautz","Brigadier General",TRUE,TRUE
"943","VA067","US","James Wilson","Brigadier General",TRUE,TRUE
"944","VA068","CS","Fitzhugh Lee","Major General",TRUE,TRUE
"945","VA068","CS","William Mahone","Major General",TRUE,TRUE
"946","VA068","US","August Kautz","Brigadier General",TRUE,TRUE
"947","VA068","US","James Wilson","Major General",TRUE,TRUE
"948","VA069","CS","Charles Field","Major General",TRUE,TRUE
"949","VA069","US","Winfield Scott Hancock","Major General",TRUE,TRUE
"950","VA070","CS","Robert E. Lee","General",TRUE,TRUE
"951","VA070","US","Ambrose E. Burnside","Major General",TRUE,TRUE
"952","VA071","CS","Charles Field","Major General",TRUE,TRUE
"953","VA071","CS","Robert E. Lee","General",TRUE,TRUE
"954","VA071","US","Winfield Scott Hancock","Major General",TRUE,TRUE
"955","VA072","CS","A.P. Hill","Lieutenant General",TRUE,TRUE
"956","VA072","CS","Henry Heth","Major General",TRUE,TRUE
"957","VA072","CS","Robert E. Lee","General",TRUE,TRUE
"958","VA072","CS","William Mahone","Major General",TRUE,TRUE
"959","VA072","US","G.K. Warren","Major General",TRUE,TRUE
"960","VA073","CS","Henry Heth","Major General",TRUE,TRUE
"961","VA073","US","Winfield Scott Hancock","Major General",TRUE,TRUE
"962","VA074","CS","A.P. Hill","Lieutenant General",TRUE,TRUE
"963","VA074","CS","Wade Hampton","Major General",TRUE,TRUE
"964","VA074","US","George G. Meade","Major General",TRUE,TRUE
"965","VA074","US","G.K. Warren","Major General",TRUE,TRUE
"966","VA074","US","John G. Parke","Major General",TRUE,TRUE
"967","VA075","CS","Richard S. Ewell","Lieutenant General",TRUE,TRUE
"968","VA075","CS","Robert E. Lee","General",TRUE,TRUE
"969","VA075","US","Benjamin Butler","Major General",TRUE,TRUE
"970","VA076","CS","Alfred E. Jackson","Brigadier General",TRUE,TRUE
"971","VA076","US","Stephen Burbridge","Brigadier General",TRUE,TRUE
"972","VA077","CS","Robert E. Lee","General",TRUE,TRUE
"973","VA077","US","A. Kautz","Brigadier General",NA,TRUE
"974","VA077","US","August Kautz","Brigadier General",TRUE,NA
"975","VA077","US","David Birney","Major General",TRUE,TRUE
"976","VA078","CS","Richard Anderson","Lieutenant General",TRUE,TRUE
"977","VA078","US","Alfred H. Terry","Major General",TRUE,NA
"978","VA078","US","Alfred Terry","Major General",NA,TRUE
"979","VA079","CS","Henry Heth","Major General",TRUE,TRUE
"980","VA079","US","Winfield Scott Hancock","Major General",TRUE,TRUE
"981","VA080","CS","James Longstreet","Lieutenant General",TRUE,TRUE
"982","VA080","US","Benjamin Butler","Major General",TRUE,TRUE
"983","VA081","CS","John C. Breckinridge","Major General",TRUE,TRUE
"984","VA081","US","George Stoneman","Major General",TRUE,TRUE
"985","VA082","CS","John C. Breckinridge","Major General",TRUE,TRUE
"986","VA082","US","George Stoneman","Major General",TRUE,TRUE
"987","VA083","CS","John B. Gordon","Major General",TRUE,TRUE
"988","VA083","US","A.A. Humphreys","Major General",TRUE,TRUE
"989","VA083","US","G.K. Warren","Major General",TRUE,TRUE
"990","VA084","CS","John B. Gordon","Major General",TRUE,TRUE
"991","VA084","CS","Robert E. Lee","General",TRUE,TRUE
"992","VA084","US","John G. Parke","Major General",TRUE,TRUE
"993","VA085","CS","Bushrod R. Johnson","Major General",TRUE,TRUE
"994","VA085","US","G.K. Warren","Major General",TRUE,TRUE
"995","VA086","CS","Fitzhugh Lee","Major General",TRUE,TRUE
"996","VA086","CS","George Pickett","Major General",TRUE,TRUE
"997","VA086","US","Philip Sheridan","Major General",TRUE,TRUE
"998","VA087","CS","Richard Anderson","Lieutenant General",TRUE,NA
"999","VA087","CS","Richard H. Anderson","Lieutenant General",NA,TRUE
"1000","VA087","CS","Robert E. Lee","General",TRUE,TRUE
"1001","VA087","US","G.K. Warren","Major General",TRUE,TRUE
"1002","VA088","CS","George Pickett","Major General",TRUE,TRUE
"1003","VA088","US","Philip Sheridan","Major General",TRUE,TRUE
"1004","VA089","CS","Robert E. Lee","General",TRUE,TRUE
"1005","VA089","US","Ulysses S. Grant","Lieutenant General",TRUE,TRUE
"1006","VA090","CS","Cadmus Wilcox","Major General",TRUE,TRUE
"1007","VA090","CS","Henry Heth","Major General",TRUE,TRUE
"1008","VA090","US","Nelson A. Miles","Major General",TRUE,TRUE
"1009","VA091","CS","Fitzhugh Lee","Major General",TRUE,TRUE
"1010","VA091","CS","Rosser","Major General",NA,TRUE
"1011","VA091","CS","Thomas Rosser","Major General",TRUE,NA
"1012","VA091","US","George Crook","Major General",TRUE,TRUE
"1013","VA092","CS","James Longstreet","Lieutenant General",TRUE,TRUE
"1014","VA092","US","John Gibbon","Major General",TRUE,TRUE
"1015","VA093","CS","John B. Gordon","Major General",TRUE,TRUE
"1016","VA093","CS","Richard Ewell","Lieutenant General",NA,TRUE
"1017","VA093","CS","Richard S. Ewell","Lieutenant General",TRUE,NA
"1018","VA093","US","Philip Sheridan","Major General",TRUE,TRUE
"1019","VA094","CS","Robert E. Lee","General",TRUE,TRUE
"1020","VA094","US","A.A. Humphreys","Major General",TRUE,TRUE
"1021","VA095","CS","Thomas Rosser","Major General",NA,TRUE
"1022","VA095","CS","William Mahone","Major General",NA,TRUE
"1023","VA095","US","A.A. Humphreys","Major General",NA,TRUE
"1024","VA095","US","T. Read","Colonel",TRUE,TRUE
"1025","VA096","CS","Lindsay Walker","Brigadier General",TRUE,TRUE
"1026","VA096","US","George A. Custer","Major General",TRUE,TRUE
"1027","VA097","CS","Robert E. Lee","General",TRUE,TRUE
"1028","VA097","US","Ulysses S. Grant","Lieutenant General",TRUE,TRUE
"1029","VA098","CS","P.G.T. Beauregard","General",TRUE,TRUE
"1030","VA098","US","Quincy Gillmore","Major General",TRUE,TRUE
"1031","VA099","CS","Wade Hampton","Major General",TRUE,TRUE
"1032","VA099","US","Philip Sheridan","Major General",TRUE,TRUE
"1033","VA100","CS","Samuel G. French","Brigadier General",TRUE,NA
"1034","VA100","CS","S.G. French","Brigadier General",NA,TRUE
"1035","VA100","US","R.H. Wyman","Lieutenant",TRUE,TRUE
"1036","VA101","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"1037","VA101","US","Nathan Kimball","Colonel",TRUE,TRUE
"1038","VA102","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"1039","VA102","US","Robert Milroy","Brigadier General",TRUE,TRUE
"1040","VA102","US","Robert Schenck","Brigadier General",TRUE,TRUE
"1041","VA103","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"1042","VA103","US","John R. Kenly","Colonel",TRUE,TRUE
"1043","VA104","CS","Thomas J. Jackson","Major General",TRUE,NA
"1044","VA104","CS","T.J. Jackson","Major General",NA,TRUE
"1045","VA104","US","Nathaniel P. Banks","Major General",TRUE,TRUE
"1046","VA105","CS","Richard S. Ewell","Major General",TRUE,TRUE
"1047","VA105","US","John C. Frémont","Major General",TRUE,TRUE
"1048","VA106","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"1049","VA106","US","Erastus Tyler","Brigadier General",TRUE,TRUE
"1050","VA107","CS","Richard S. Ewell","Lieutenant General",TRUE,TRUE
"1051","VA107","US","Robert Milroy","Brigadier General",TRUE,TRUE
"1052","VA108","CS","Richard Anderson","Major General",TRUE,TRUE
"1053","VA108","US","William H. French","Major General",TRUE,TRUE
"1054","VA109","CS","William E. Jones","Brigadier General",TRUE,NA
"1055","VA109","US","William W. Averell","Brigadier General",TRUE,TRUE
"1056","VA110","CS","John C. Breckinridge","Major General",TRUE,TRUE
"1057","VA110","US","Franz Sigel","Major General",TRUE,TRUE
"1058","VA111","CS","William E. Jones","Brigadier General",TRUE,TRUE
"1059","VA111","US","David Hunter","Major General",TRUE,TRUE
"1060","VA113","CS","William H.F. ""Rooney"" Lee","Major General",TRUE,NA
"1061","VA113","US","August Kautz","Brigadier General",TRUE,TRUE
"1062","VA113","US","James Wilson","Brigadier General",TRUE,TRUE
"1063","VA114","CS","Jubal A. Early","Lieutenant General",TRUE,TRUE
"1064","VA114","US","Horatio Wright","Major General",TRUE,TRUE
"1065","VA115","CS","S.D. Ramseur","Major General",TRUE,TRUE
"1066","VA115","US","William W. Averell","Brigadier General",TRUE,TRUE
"1067","VA116","CS","Jubal A. Early","Lieutenant General",TRUE,NA
"1068","VA116","CS","Jubal Early","Lieutenant General",NA,TRUE
"1069","VA116","US","George Crook","Brigadier General",TRUE,TRUE
"1070","VA117","CS","Richard Anderson","Lieutenant General",TRUE,TRUE
"1071","VA117","US","Wesley Merritt","Brigadier General",TRUE,TRUE
"1072","VA118","CS","Jubal A. Early","Lieutenant General",TRUE,NA
"1073","VA118","CS","Jubal Early","Lieutenant General",NA,TRUE
"1074","VA118","US","Philip Sheridan","Major General",TRUE,TRUE
"1075","VA119","CS","Jubal A. Early","Lieutenant General",TRUE,TRUE
"1076","VA119","US","Philip Sheridan","Major General",TRUE,TRUE
"1077","VA120","CS","Jubal A. Early","Lieutenant General",TRUE,TRUE
"1078","VA120","US","Philip Sheridan","Major General",TRUE,TRUE
"1079","VA121","CS","Thomas Rosser","Major General",TRUE,TRUE
"1080","VA121","US","Alfred Torbert","Brigadier General",TRUE,TRUE
"1081","VA122","CS","Jubal A. Early","Lieutenant General",TRUE,NA
"1082","VA122","CS","Jubal Early","Lieutenant General",NA,TRUE
"1083","VA122","US","Horatio Wright","Major General",TRUE,TRUE
"1084","VA122","US","Philip Sheridan","Major General",TRUE,TRUE
"1085","VA123","CS","Jubal A. Early","Lieutenant General",TRUE,NA
"1086","VA123","CS","Jubal Early","Lieutenant General",NA,TRUE
"1087","VA123","US","Philip Sheridan","Major General",TRUE,TRUE
"1088","VA124","CS","Fitzhugh Lee","Major General",TRUE,TRUE
"1089","VA124","US","George A. Custer","Major General",TRUE,TRUE
"1090","VA125","CS","Judson Kilpatrick","Brigadier General",NA,TRUE
"1091","VA125","CS","Ulric Dahlgren","Colonel",NA,TRUE
"1092","VA125","CS","Wade Hampton","Major General",TRUE,NA
"1093","VA125","US","H. Judson Kilpatrick","Brigadier General",TRUE,NA
"1094","VA125","US","Ulric Dahlgren","Colonel",TRUE,NA
"1095","VA125","US","Wade Hampton","Major General",NA,TRUE
"1096","WV001","CS","George A. Porterfield","Colonel",TRUE,TRUE
"1097","WV001","US","Thomas A. Morris","Brigadier General",NA,TRUE
"1098","WV001","US","Thomas A. Morris","Colonel",TRUE,NA
"1099","WV002","CS","Thomas J. Jackson","Brigadier General",TRUE,NA
"1100","WV002","CS","Thomas J. Jackson","Colonel",NA,TRUE
"1101","WV002","US","George H. Thomas","Colonel",NA,TRUE
"1102","WV002","US","John J. Abercrombie","Colonel",NA,TRUE
"1103","WV002","US","Robert Patterson","Major General",TRUE,NA
"1104","WV003","CS","John Pegram","Lieutenant Colonel",TRUE,TRUE
"1105","WV003","CS","Robert S. Garnett","Brigadier General",TRUE,NA
"1106","WV003","US","George B. McClellan","Major General",TRUE,TRUE
"1107","WV003","US","William S. Rosecrans","Brigadier General",TRUE,TRUE
"1108","WV004","CS","John Floyd","Brigadier General",TRUE,TRUE
"1109","WV004","US","Erastus Tyler","Colonel",TRUE,TRUE
"1110","WV005","CS","Albert Rust","Colonel",TRUE,NA
"1111","WV005","CS","Robert E. Lee","General",TRUE,TRUE
"1112","WV005","US","Joseph J. Reynolds","Brigadier General",NA,TRUE
"1113","WV005","US","Joseph Reynolds","Brigadier General",TRUE,NA
"1114","WV006","CS","John Floyd","Brigadier General",TRUE,TRUE
"1115","WV006","US","William S. Rosecrans","Brigadier General",TRUE,TRUE
"1116","WV007","CS","Henry R. Jackson","Brigadier General",TRUE,TRUE
"1117","WV007","US","Joseph J. Reynolds","Brigadier General",NA,TRUE
"1118","WV007","US","Joseph Reynolds","Brigadier General",TRUE,NA
"1119","WV008","CS","Edward ""Allegheny"" Johnson","Colonel",TRUE,NA
"1120","WV008","CS","Edward Johnson","Colonel",NA,TRUE
"1121","WV008","US","Robert Milroy","Brigadier General",TRUE,TRUE
"1122","WV009","CS","Humphery Marshall","Brigadier General",TRUE,NA
"1123","WV009","CS","Humphrey Marshall","Brigadier General",NA,TRUE
"1124","WV009","US","Jacob D. Cox","Brigadier General",TRUE,TRUE
"1125","WV010","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"1126","WV010","US","Dixon S. Miles","Colonel",TRUE,TRUE
"1127","WV012","CS","John Echols","Brigadier General",TRUE,TRUE
"1128","WV012","US","William W. Averell","Brigadier General",TRUE,TRUE
"1129","WV013","CS","Bradley T. Johnson","Brigadier General",NA,TRUE
"1130","WV013","CS","John McCausland","Brigadier General",TRUE,NA
"1131","WV013","US","William W. Averell","Brigadier General",TRUE,TRUE
"1132","WV014","CS","Jubal A. Early","Lieutenant General",TRUE,NA
"1133","WV014","CS","Jubal Early","Lieutenant General",NA,TRUE
"1134","WV014","US","Philip Sheridan","Major General",TRUE,TRUE
"1135","WV015","CS","Jubal A. Early","Lieutenant General",TRUE,NA
"1136","WV015","CS","Jubal Early","Lieutenant General",NA,TRUE
"1137","WV015","US","Wesley Merritt","Brevet Major General",NA,TRUE
"1138","WV015","US","Wesley Merritt","Brigadier General",TRUE,NA
"1139","WV016","CS","A.P. Hill","Major General",TRUE,TRUE
"1140","WV016","CS","Robert E. Lee","General",NA,TRUE
"1141","WV016","CS","William Pendleton","Brigadier General",TRUE,TRUE
"1142","WV016","US","Fitz John Porter","Major General",TRUE,TRUE
"1143","WV016","US","George B. McClellan","Major General",NA,TRUE
