battle_id,event_type,state,year,battle_name,start_date,end_date,text,casualties,killed,wounded,killed_wounded,missing_captured
,,IT,1862,Expedition toward Fort Gibson,Dec,Dec,"INDIANA--2d Battery Light Arty. KANSAS--1st, 2d and 3d Indian Home Guard.",,,,,
,,IT,1862,"Skirmish, Saline",Dec. 2,Dec 2,KANSAS--3d Indian Home Guard.,,,,,
,,IT,1862,Operations in Cherokee Country,Dec. 4,Dec 12,Stand Wattle and Confederate Indians.,,,,,
,,IT,1863,Skirmish. Cherokee Country,Jan. 18,Jan 18,KANSAS--3d Indian Home Guard.,,,,,
,,IT,1863,"Action, Fort Gibson",Feb. 28,Feb 28,KANSAS--3d Indian Home Guard.,,,,,
,,IT,1863,"Action, Greenleaf Prairie",March 12,March 12,KANSAS--3d Indian Home Guard.,,,,,
,,IT,1863,"Action, Fort Gibson",March 27,March 27,KANSAS--3d Indian Home Guard.,,,,,
,,IT,1863,"Skirmish, Tahlequah",March 30,March 30,"KANSAS--3d Indian Home Guard. Union loss, 2 killed.",,,,,
,,IT,1863,"Skirmish, Webber Falls",April 11,April 11,KANSAS--6th Cavalry.,,,,,
,,IT,1863,"Skirmish, Webber Falls",April 25,April 25,KANSAS--6th Cavalry.,,,,,
,,IT,1863,"Skirmish, Fort Gibson",April 30,April 30,KANSAS--1st Indian Home Guard.,,,,,
,,IT,1863,"Skirmish. Martin's House, Cabin Creek.",May 8,May 8,(No Reports.),,,,,
,,IT,1863,"Scout from Creek Agency to Jasper County, Mo",May 6,May 19,"KANSAS--2d Battery Light Arty. (Detachment): 1st Colored Infantry (Detachment). Union loss, 3 killed, 5 wounded. Total, 8.",,,,,
,,IT,1863,"Skirmish, Fort Gibson",May 14,May 14,(No Reports.),,,,,
,,IT,1863,Action near Fort Gibson,May 20,May 20,"KANSAS--1st, 2d and 3d Indian Home Guard; 6th Cavalry. WISCONSIN--3d Cavalry.",,,,,
,,IT,1863,"Action, Fort Blunt",May 20,May 20,KANSAS--1st and 3d Indian Home Guard.,,,,,
,,IT,1863,"Skirmish, Fort Blunt",May 22,May 22,KANSAS--2d Indian Home Guard.,,,,,
,,IT,1863,"Skirmish, Fort Gibson",May 22,May 22,"KANSAS--6th Cavalry: 2d Battery Light Arty.; 1st, 2d and 3d Indian Home Guard.",,,,,
,,IT,1863,"Action, Fort Gibson",May 25,May 25,"KANSAS----6th Cavalry; 1st Indian Home Guard. WISCONSIN--2d Cavalry. Union loss, 25 killed, 12 wounded. Total, 37.",,,,,
,,IT,1863,"Skirmish, Fort Blunt",May 25,May 25,KANSAS---3d Indian Home Guard. Loss included in Fort Gibson. May 25.,,,,,
,,IT,1863,"Skirmish, Fort Gibson",May 28,May 28,"COLORADO--2d Infantry. KANSAS---2d Battery Light Arty.; 1st Colored Infantry. Union loss, 5 killed, 7 wounded. Total, 12.",,,,,
,,IT,1863,"Skirmish, Fort Gibson",June 1,June 1,KANSAS--3d Indian Home Guard.,,,,,
,,IT,1863,"Skirmish, Spring Creek.",June 6,June 6,,,,,,
,,IT,1863,Operations about Fort Gibson,June 6,June 20,"KANSAS--3d Indian Home Guard. KANSAS--2d Battery Light Arty.; 1st, 2d and 3d Indian Home Guard.",,,,,
,,IT,1863,"Skirmish, Fort Gibson",June 9,June 9,KANSAS--1st Indian Home Guard.,,,,,
,,IT,1863,"Skirmish, Greenleaf Prairie",June 16,June 16,"KANSAS--2d Battery Light Arty.: 6th Cavalry: 1st, 2d and 3d Indian Home Guard. Union loss, 4 killed, 8 wounded. Total, 12.",,,,,
,,IT,1863,"Skirmish, Fort Gibson",June 19,June 19,KANSAS--3d Indian Home Guard.,,,,,
,,IT,1863,"Skirmish, Hudson's Ford, Neosho River.",June 30,June 30,(No Reports.),,,,,
,,IT,1863,"Engagement, Cabin Creek",July 1,July 2,"COLORADO--2d and 3d Cavalry. KANSAS----2d, 6th and 9th Cavalry: 2d Battery; 14th Infantry; (Co. ""B,"") 1st Colored Infantry: 1st, 2d and 3d Indian Home Guard. WISCONSIN--3d Cavalry (Co. ""B""). Union loss. 1 killed. 20 wounded. Total, 21.",,,,,
,,IT,1863,"Skirmish, Cabin Creek",July 5,July 5,KANSAS----2d Battery Light Arty.,,,,,
,,IT,1863,"Engagement, Elk Creek, near Honey Springs",July 17,July 17,"COLORADO--2d Cavalry (Detachment). KANSAS---2d, 6th and 9th Cavalry: 2d Battery Light Arty.; Hopkin's Battery Light Arty.; 1st Colored Infantry; 1st, 2d and 3d Indian Home Guard. Union loss, 13 killed, 62 wounded. Total, 75.",,,,,
,,IT,1863,"Skirmish, Cheyenne Fork",July 19,July 19,OHIO--11th Cavalry.,,,,,
,,IT,1863,"Skirmish, Cabin Creek.",July 20,July 20,KANSAS---1st Indian Home Guard.,,,,,
,,IT,1863,"Action, Perryville",Aug. 26,Aug 26,"ARKANSAS--1st Infantry. INDIANA--2d Battery Light Arty. COLORADO--2d Cavalry. KANSAS---6th Cavalry. MISSOURI--6th State Militia Cavalry. WISCONSIN--3d Cavalry. Union loss, 4 wounded.",,,,,
,,IT,1863,"Skirmishes, Scullyville",Aug. 30,Aug 31,INDIANA--2d Battery Light Arty. KANSAS---2d Cavalry, 10th and 13th Infantry. MISSOURI--6th Cavalry.,,,,
,,IT,1863,"Skirmish, Weber Fails",Sept. 9,Sept 9,COLORADO--2d Cavalry.,,,,,
,,IT,1863,"Skirmish, Seneca Station",Sept. 14,Sept 14,ARKANSAS--1st Infantry.,,,,,
,,IT,1863,Operations in Cherokee Nation,Sept. 11,Sept 25,"KANSAS--2d, 6th and 14th Cavalry; 1st Colored Infantry; 2d and 3d Indian Home Guard.",,,,,
,,IT,1863,"Skirmish, Choctaw Nation",Oct. 7,Oct 7,WISCONSIN--3d Cavalry.,,,,,
,,IT,1863,"Skirmish, Brazil Creek",Oct. 11,Oct 11,WISCONSIN--3d Cavalry.,,,,,
,,IT,1863,"Skirmish, Weber Falls",Oct. 12,Oct 12,KANSAS---6th Cavalry.,,,,,
,,IT,1863,"Skirmishes, Creek Agency",Oct. 15,and 25,INDIANA--2d Battery Light Arty. KANSAS---1st Indian Home Guard.,,,,,
,,IT,1863,"Skirmish, 14-mile Creek",Oct. 30,Oct 30,KANSAS--3d Indian Home Guard.,,,,,
,,IT,1863,"Skirmish, Choctaw Nation",Nov. 9,Nov 9,KANSAS---2d Cavalry.,,,,,
,,IT,1863,"Skirmishes, Greenleaf Prairie",Nov. 11,Nov 12,(No Reports.),,,,,
,,IT,1863,Attack on Fort Gibson,Dec. 16,Dec 16,"KANSAS--1st, 2d and 3d Indian Home Guard; Repulse of Quantrell.",,,,,
,,IT,1863,"Skirmish near Sheldon Place, Barren Fork",Dec. 18,Dec 18,"KANSAS---1st, 2d and 3d Indian Home Guard. Union loss, 1 killed, 2 wounded. Total, 3.",,,,,
,,IT,1863,Skirmish near Fort Gibson,Dec. 26,Dec 26,KANSAS--3d Indian Home Guard.,,,,,
,,IT,1864,Operations in Indian Territory,Feb. 1,Feb 21,KANSAS--14th Cavalry, 1st and 3d Indian Home Guard.,,,,
,,IT,1864,"Skirmish, Fort Gibson",April 3,April 3,(No Reports.) ,,,,,
,,IT,1864,"Action, Scullyville",April 16,April 16,"KANSAS--3d Indian Home Guard. Loss, 2 killed.",,,,,
