"","battle_id","event_type","state","year","battle_name","start_date","end_date","text","casualties","killed","wounded","killed_wounded","missing_captured"
"191",NA,"Skirmish","IT",1865,"April 16: Skirmish, Boggy Station",1865-04-16,1865-04-16,"Scouts, 3d Division, 7th Corps.","","","","",NA
"192",NA,"Attack","NB",1863,"April 16: Attack on Sweetwater Station",1863-04-16,1863-04-16,"(No Reports.)","","","","",NA
"193",NA,"Attack","NB",1863,"June 16: Attack on Pawnee Agency",1863-06-16,1863-06-16,"NEBRASKA--2d Cavalry (Co. ""D""). Union loss, 1 killed, 2 wounded. Total, 3.","","","","",NA
"194",NA,"Skirmish","NB",1863,"Dec. 4: Skirmish, Niobrara",1863-12-04,1863-12-04,"IOWA--7th Cavalry (1 Co.).","","","","",NA
"195",NA,"Skirmish","NB",1864,"May 16: Skirmish, Smith's Station",1864-05-16,1864-05-16,"NEBRASKA--1st Battalion Cavalry. Union loss, 1 killed, 4 wounded. Total, 5.","","","","",NA
"196",NA,"Operations","NB",1864,"Aug. 11: Operations against Indians in Nebraska Territory",1864-08-11,1864-08-11,"IOWA--7th Cavalry. KANSAS--11th Cavalry (1 Co.). NEBRASKA--1st Cavalry"," Arty. Detachment"," Indian Scouts. OHIO---11th Cavalry.","","",NA
"197",NA,"Skirmish","NB",1864,"Aug. 28: Skirmish, Fort Cottonwood",1864-08-28,1864-08-28,"IOWA--7th Cavalry (Detachment).","","","","",NA
"198",NA,"Skirmish","NB",1864,"Sept. 20: Skirmish, Fort Cottonwood",1864-09-20,1864-09-20,"IOWA--7th Cavalry (Detachment). Union loss, 3 wounded.","","","","",NA
"199",NA,"Operations","NB",1864,"Sept. 29: Operations against Indians in Nebraska and Colorado Territory",1864-09-29,1864-09-29,"IOWA--7th Cavalry (1st Battalion). NEBRASKA--1st Cavalry.","","","","",NA
"200",NA,"Skirmish","NB",1864,"Dec. 8: Skirmish, Plum Creek",1864-12-08,1864-12-08,"Indian attack on Train.","","","","",NA
"201",NA,"Action","NB",1865,"Feb. 4 6: Action, Mud Springs Station",0006-02-04,0006-02-04,"IOWA--7th Cavalry (Detachment). OHIO---11th Cavalry.","","","","",NA
"202",NA,"Action","NB",1865,"Feb. 8 9: Action, Rush Creek",0009-02-08,0009-02-08,"IOWA--7th Cavalry (Detachment). OHIO--11th Cavalry.","","","","",NA
"203",NA,"Operations","NB",1865,"April 16: Operations about Fort Laramie",1865-04-16,1865-04-16,"KANSAS--11th Cavalry.","","","","",NA
"204",NA,"Scout","NB",1865,"April 16: Scout from Dakota City.",1865-04-16,1865-04-16,"NEBRASKA--1st Cavalry (Detachment).","","","","",NA
"205",NA,"Scout","NB",1865,"April 16: Scout from Dakota City to Middle Bow River",1865-04-16,1865-04-16,"NEBRASKA--1st Cavalry (Detachment).","","","","",NA
"206",NA,"Scout","NB",1865,"May 16: Scout from Fort Laramie to Wind River",1865-05-16,1865-05-16,"IOWA--7th Cavalry (Detachment). NEBRASKA--1st Cavalry (Detachment). OHIO---11th Cavalry (Detachment).","","","","",NA
"207",NA,"Affair","NB",1865,"May 16: Affair, Mullahla's Station",1865-05-16,1865-05-16,"Attack on Wagon Train.","","","","",NA
"208",NA,"Scout","NB",1865,"May 16: Scout from Plum Creek to Midway Station, Wind River ",1865-05-16,1865-05-16,"NEBRASKA--1st Cavalry (Detachment).","","","","",NA
"209",NA,"Scout","NB",1865,"May 16: Scout from Fort Kearney to Little Blue River ",1865-05-16,1865-05-16,"NEBRASKA--1st Cavalry (Detachment).","","","","",NA
"210",NA,"Skirmish","NB",1865,"May 16: Skirmish near Fort Kearney",1865-05-16,1865-05-16,"UNITED STATES---gd Volunteers (Detachment).","","","","",NA
"211",NA,"Scout","NB",1865,"May 16: Scout from Cottonwood",1865-05-16,1865-05-16,"NEBRASKA--1st Cavalry (1st Battalion).","","","","",NA
"212",NA,"Scout","NB",1865,"May 16: Scout from Fort Kearney",1865-05-16,1865-05-16,"NEBRASKA---Omaha Scouts (Co. ""A"").","","","","",NA
"213",NA,"Skirmish","NB",1865,"May 16: Skirmish, Sweetwater",1865-05-16,1865-05-16,"OHIO--11th Cavalry (Detachment).","","","","",NA
"214",NA,"Scout","NB",1865,"May 16: Scout from Plum Creek",1865-05-16,1865-05-16,"NEBRASKA--1st Cavalry (Detachment Co. ""A"").","","","","",NA
"215",NA,"Operations","NB",1865,"May 16: Operations on Platte and Sweetwater Rivers, Overland Stage Route",1865-05-16,1865-05-16,"OHIO--11th Cavalry (Detachment).","","","","",NA
"216",NA,"Skirmish","NB",1865,"May 16: Skirmish, Sweetwater Station",1865-05-16,1865-05-16,"OHIO--11th Cavalry (Detachment).","","","","",NA
"217",NA,"Skirmish","NB",1865,"June 16: Skirmish, Sweetwater Station",1865-06-16,1865-06-16,"OHIO---11th Cavalry (Detachment).","","","","",NA
"218",NA,"Expedition","NB",1865,"June 16: Expedition to Platte and Niobrara Rivers",1865-06-16,1865-06-16,"NEBRASKA--1st Cavalry (Detachment).","","","","",NA
"219",NA,"Expedition","NV",1862,"Sept. 30: Expedition from Fort Ruby to Camp Douglass, Utah",1862-09-30,1862-09-30,"California--2d Cavalry (Detachment).","","","","",NA
"220",NA,"Affair","NV",1862,"Oct. 11: Affair, Humboldt River",1862-10-11,1862-10-11,"CALIFORNIA--2d Cavalry (2 Cos.).","","","","",NA
"221",NA,"Affair","NV",1862,"Oct. 15: Affair, Humboldt River",1862-10-15,1862-10-15,"CALIFORNIA--2d Cavalry (2 Cos.).","","","","",NA
"222",NA,"Scouts","NV",1862,"Nov. 3: Scouts from Fort Churchill to Honey Lake Valley. Cali",1862-11-03,1862-11-03,"CALIFORNIA--3d Infantry.","","","","",NA
"223",NA,"Expedition","NV",1862,"Nov. 22: Expedition from Fort Ruby to Sierra Nevada Mountains-",1862-11-22,1862-11-22,"CALIFORNIA--3d Infantry (Co. ""F"").","","","","",NA
"224",NA,"Skirmish.","NV",1863,"April 16: Skirmish. Platte River Bridge",1863-04-16,1863-04-16,"OHIO---11th Cavalry (Detachment).","","","","",NA
"225",NA,"Affair","NV",1863,"June 16: Affair, Canon Station",1863-06-16,1863-06-16,"CALIFORNIA--3d Infantry (3 men).","","","","",NA
"226",NA,"Expedition","NV",1864,"June 16: Expedition from Fort Churchill to Humboldt River",1864-06-16,1864-06-16,"NEVADA--1st Cavalry (Co. ""D"").","","","","",NA
"227",NA,"Skirmish","NV",1864,"Aug. 15: Skirmish, Elk Creek",1864-08-15,1864-08-15,"NEBRASKA--1st Veteran Cavalry.","","","","",NA
"228",NA,"Expedition","NV",1865,"March 16: Expedition from Fort Churchill to Pyramid and Walker's Lakes",1865-03-16,1865-03-16,"NEVADA--1st Cavalry (Co. ""D"").","","","","",NA
"229",NA,"Skirmish","NV",1865,"March 16: Skirmish, Mud Lake",1865-03-16,1865-03-16,"NEVADA--1st Cavalry (Co. ""D"").","","","","",NA
"230",NA,"Affair.","NV",1865,"March 16: Affair. Walker's Lake",1865-03-16,1865-03-16,"NEVADA--1st Cavalry (Co. ""C"").","","","","",NA
"231",NA,"Fort","NV",1865,"May 16: Fort Churchill to Carson Lake and Truckee and Humboldt Rivers-",1865-05-16,1865-05-16,"NEVADA--1st Cavalry (Co. ""E""); 1st Infantry (Co. ""C"").","","","","",NA
"232",NA,"Skirmish","NV",1865,"May 16: Skirmish, Austin",1865-05-16,1865-05-16,"NEVADA--1st Infantry (Detachment).","","","","",NA
"233",NA,"Expedition","NV",1865,"May 16: Expedition from Fort Ruby to Humboldt River ",1865-05-16,1865-05-16,"NEVADA--1st Infantry (Co. ""B"").","","","","",NA
"234",NA,"Expedition","NV",1865,"June 16: Expedition from Dun Glen to Fairbank's Station ",1865-06-16,1865-06-16,"CALIFORNIA--2d Cavalry (Co. ""B"").","","","","",NA
